"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"99&  cSd q. Bi qj  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"4"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"6"	"1"	"29"	"33"	"274"	"15"	"2"	"5"	"4"	"9"	"10"	""	"1"	"5"	"7"	"2"	"10"	"406"	""	"406"	""
"7"	"2"	"23"	"30"	"260"	"19"	"13"	"4"	"3"	"5"	"5"	""	"0"	"1"	"1"	"2"	"3"	"369"	""	"369"	""
"8"	"3"	"16"	"60"	"376"	"40"	"4"	"5"	"0"	"20"	"14"	""	"3"	"3"	"10"	"4"	"22"	"577"	""	"577"	""
"9"	"4"	"12"	"100"	"445"	"26"	"16"	"11"	"4"	"17"	"13"	""	"7"	"2"	"18"	"10"	"31"	"712"	""	"712"	""
"10"	"5"	"21"	"50"	"377"	"16"	"2"	"9"	"4"	"16"	"17"	""	"6"	"6"	"17"	"13"	"31"	"585"	""	"585"	""
"11"	"6"	"19"	"39"	"243"	"6"	"1"	"9"	"1"	"6"	"6"	""	"3"	"1"	"4"	"3"	"6"	"347"	""	"347"	""
"12"	"7"	"23"	"86"	"338"	"8"	"2"	"3"	"0"	"10"	"10"	""	"2"	"1"	"13"	"5"	"14"	"515"	""	"515"	""
"13"	"8"	"15"	"132"	"276"	"9"	"1"	"8"	"5"	"10"	"11"	""	"2"	"3"	"21"	"20"	"38"	"551"	""	"551"	""
"14"	"9"	"45"	"402"	"199"	"9"	"4"	"8"	"5"	"7"	"8"	""	"1"	"6"	"25"	"34"	"61"	"814"	""	"814"	""
"15"	"10"	"8"	"126"	"323"	"17"	"2"	"2"	"3"	"8"	"7"	""	"1"	"4"	"3"	"5"	"11"	"520"	""	"520"	""
"16"	"11"	"10"	"69"	"305"	"21"	"8"	"9"	"7"	"19"	"6"	""	"3"	"1"	"5"	"3"	"6"	"472"	""	"472"	""
"17"	"12"	"13"	"65"	"452"	"12"	"3"	"6"	"3"	"10"	"8"	""	"4"	"4"	"12"	"7"	"6"	"605"	""	"605"	""
"18"	"13"	"15"	"114"	"302"	"3"	"3"	"1"	"3"	"10"	"4"	""	"0"	"0"	"2"	"4"	"10"	"471"	""	"471"	""
"19"	"14"	"6"	"52"	"293"	"5"	"3"	"4"	"2"	"4"	"2"	""	"0"	"0"	"6"	"1"	"4"	"382"	""	"382"	""
