"No....Name.of.Assembly.Constituency...222.Kutumba.sc."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"2"	"222"	"1"	""	"28"	"97"	"6"	"205"	"159"	"5"	"5"	"7"	"11"	"12"	"536"	"1"
"3"	"222"	"2"	""	"6"	"9"	"3"	"172"	"54"	"6"	"3"	"4"	"12"	"7"	"278"	"2"
"4"	"222"	"3"	""	"13"	"49"	"6"	"181"	"25"	"3"	"6"	"3"	"9"	"6"	"304"	"3"
"5"	"222"	"4"	""	"22"	"16"	"7"	"278"	"148"	"16"	"13"	"6"	"15"	"31"	"556"	"4"
"6"	"222"	"5"	""	"11"	"38"	"6"	"327"	"205"	"9"	"5"	"2"	"6"	"7"	"621"	"5"
"7"	"222"	"6"	""	"12"	"85"	"3"	"180"	"59"	"9"	"5"	"4"	"13"	"6"	"382"	"6"
"8"	"222"	"7"	""	"8"	"32"	"3"	"85"	"47"	"5"	"4"	"5"	"13"	"17"	"226"	"7"
"9"	"222"	"8"	""	"15"	"47"	"3"	"176"	"45"	"2"	"7"	"2"	"5"	"20"	"330"	"8"
"10"	"222"	"9"	""	"4"	"45"	"2"	"186"	"67"	"7"	"7"	"8"	"7"	"12"	"354"	"9"
"11"	"222"	"10"	""	"4"	"24"	"0"	"114"	"63"	"4"	"2"	"1"	"1"	"2"	"225"	"10"
"12"	"222"	"11"	""	"5"	"80"	"3"	"244"	"46"	"1"	"6"	"1"	"3"	"5"	"405"	"11"
"13"	"222"	"12"	""	"31"	"27"	"5"	"350"	"192"	"9"	"8"	"6"	"6"	"9"	"655"	"12"
"14"	"222"	"13"	""	"14"	"17"	"2"	"133"	"17"	"0"	"3"	"1"	"2"	"2"	"204"	"13"
"15"	"222"	"14"	""	"17"	"16"	"4"	"213"	"107"	"5"	"5"	"3"	"15"	"11"	"410"	"14"
"16"	"222"	"15"	""	"18"	"59"	"5"	"290"	"74"	"6"	"2"	"1"	"11"	"9"	"490"	"15"
