"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"1"	"[CHAPTER XIV PARA 26.9] FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"205- BHABHUA ASSEMBLY SEGMENT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY - 206491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"NAME OF THE ASSEMBLY SEGMENT - 205 BHABUA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"9"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"10"	"1"	"75"	"165"	""	"4"	""	"1"	"5"	"2"	"1"	"7"	"82"	"1"	"2"	"2"	"4"	"4"	"7"	"56"	"5"	"1"	"2"	"1"	"2"	"6"	"435"	"0"	"435"	""	"0"
"11"	"2"	"28"	"45"	""	"2"	""	"3"	"31"	"1"	"2"	"1"	"1"	"2"	"1"	"8"	"44"	"4"	"6"	"174"	"2"	"4"	"2"	"0"	"3"	"2"	"366"	"0"	"366"	""	"0"
"12"	"3"	"268"	"70"	""	"31"	""	"45"	"11"	"6"	"55"	"3"	"31"	"2"	"0"	"0"	"0"	"2"	"2"	"79"	"10"	"2"	"7"	"2"	"5"	"4"	"635"	"0"	"635"	""	"0"
"13"	"4"	"187"	"42"	""	"10"	""	"2"	"66"	"5"	"2"	"0"	"89"	"1"	"1"	"1"	"4"	"7"	"2"	"9"	"7"	"6"	"5"	"1"	"1"	"4"	"452"	"0"	"452"	""	"0"
"14"	"5"	"39"	"234"	""	"6"	""	"3"	"18"	"2"	"1"	"1"	"31"	"0"	"1"	"0"	"1"	"1"	"4"	"8"	"5"	"6"	"4"	"0"	"0"	"1"	"366"	"0"	"366"	""	"0"
