"Candidates.Name"	"AMIT.KUMAR"	"PAPPU.KUMAR"	"RAJ.KISHORE.KESHARI"	"RAM.CHARITRA.YADAV"	"SHAIKH.AKBAR.ALI"	"SYED.GULAM.HUSAIN"	"ANIRUDH.MEHTA"	"ALOK.KUMAR.SINHA"	"KUMAR.ADITYA"	"KRISHNA.KR..JHA"	"KAILASH.LAHOTI"	"BACHCHI.SHARMA"	"SUMITA.NAND.SHANKAR"	"Total"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	1	121	4	263	215	7	2	3	2	7	10	6	6	18	664
"4"	2	72	6	342	175	2	0	0	10	3	5	6	0	6	627
"5"	3	157	58	390	188	8	15	4	3	6	15	15	13	29	901
"6"	4	76	7	367	161	7	9	4	3	3	1	5	1	7	651
"7"	5	79	4	515	43	2	1	2	1	0	0	2	0	1	650
"8"	6	82	2	171	26	1	0	0	2	1	0	0	0	1	286
"9"	7	26	4	219	124	11	34	0	1	0	1	2	2	7	431
"10"	8	44	3	292	45	0	29	0	1	7	0	2	1	1	425
"11"	9	54	2	346	39	1	12	0	3	1	0	0	1	1	460
"12"	10	148	16	379	79	4	8	1	3	8	8	5	3	11	673
"13"	11	45	1	264	113	0	10	0	5	2	0	0	1	1	442
"14"	12	38	5	512	92	0	9	0	11	25	4	4	6	6	712
"15"	13	25	1	149	208	11	27	3	2	14	1	2	1	6	450
"16"	14	27	4	175	62	2	4	0	9	15	0	1	1	1	301
"17"	15	151	13	230	225	14	46	7	7	10	8	9	10	13	743
"18"	16	113	5	142	207	2	26	1	4	1	4	3	11	11	530
"19"	17	63	5	246	57	0	2	2	1	4	1	5	2	2	390
"20"	18	22	9	297	87	5	2	3	3	3	3	7	5	3	449
"21"	19	39	33	157	54	1	0	3	3	2	2	3	4	7	308
"22"	20	62	15	295	99	1	2	4	1	5	6	8	5	12	515
"23"	21	103	55	330	110	2	2	2	3	3	4	2	7	16	639
"24"	22	16	1	279	31	0	5	0	19	6	0	0	1	0	358
"25"	23	29	3	327	99	0	5	1	4	10	2	3	2	5	490
"26"	24	31	3	288	29	0	8	1	2	6	3	6	4	8	389
"27"	NA	40	5	272	70	7	2	1	1	5	3	4	0	3	413
"28"	25	46	5	286	117	1	3	0	0	5	1	3	3	5	475
"29"	26	27	4	307	141	2	11	2	1	4	3	1	2	5	510
"30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	27	31	1	116	232	6	59	1	1	1	3	1	3	9	464
"34"	28	19	1	281	116	3	45	0	1	2	2	3	1	3	477
"35"	29	36	4	242	123	2	5	0	2	1	0	1	1	2	419
"36"	30	13	4	207	135	4	3	2	0	3	2	4	1	3	381
"37"	31	29	2	191	69	2	2	1	0	0	1	0	0	0	297
"38"	32	14	4	164	74	0	0	0	1	2	1	3	2	4	269
"39"	33	26	3	164	70	1	0	0	14	0	0	5	2	1	286
"40"	34	20	2	214	41	0	1	0	6	7	0	4	3	1	299
"41"	35	29	8	133	182	5	2	0	1	5	3	4	14	16	402
"42"	36	19	3	238	77	0	0	0	0	0	0	1	1	2	341
"43"	37	10	7	299	76	3	2	7	0	1	0	5	2	3	415
"44"	38	17	10	290	92	1	2	1	0	3	3	2	0	1	422
"45"	39	28	14	416	163	3	12	3	0	2	4	7	2	11	665
"46"	40	82	59	311	70	7	17	3	1	2	3	5	2	2	564
"47"	41	30	15	201	37	1	16	0	0	0	2	0	3	5	310
"48"	42	39	10	175	81	0	19	1	0	0	0	1	1	2	329
"49"	43	37	5	344	335	8	32	5	4	7	10	12	11	11	821
"50"	44	30	1	398	66	1	14	0	2	1	1	4	2	5	525
"51"	45	17	5	222	42	1	13	1	0	3	0	3	0	0	307
"52"	46	36	5	245	66	2	3	2	1	2	0	2	3	1	368
"53"	47	44	0	200	30	1	1	0	0	4	0	1	0	0	281
"54"	48	15	1	247	111	2	54	0	4	2	0	1	1	3	441
"55"	49	21	3	402	126	2	3	7	5	0	3	0	2	2	576
"56"	50	51	7	359	244	2	13	2	2	4	5	0	0	3	692
"57"	51	42	1	375	136	5	12	1	4	2	2	4	3	10	597
"58"	52	19	3	323	49	1	1	3	0	6	2	1	1	0	409
"59"	53	6	2	245	39	2	0	0	0	2	0	1	0	3	300
"60"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	54	14	2	271	58	2	1	3	1	9	1	1	0	3	366
"64"	55	109	4	258	31	0	0	0	0	0	0	1	2	8	413
"65"	56	72	4	302	26	0	1	1	0	6	0	0	1	4	417
"66"	57	75	6	264	35	0	0	0	2	38	0	0	0	2	422
"67"	58	50	1	348	92	4	5	1	4	1	0	0	5	10	521
"68"	59	70	2	453	69	5	9	1	1	0	1	3	0	5	619
"69"	60	137	1	391	38	1	1	1	2	1	0	2	2	5	582
"70"	61	158	4	219	50	2	3	0	1	1	10	4	4	9	465
"71"	62	61	2	292	33	3	2	0	1	0	0	1	2	4	401
"72"	63	111	4	172	66	3	0	1	2	7	4	3	5	4	382
"73"	64	136	4	220	75	5	16	2	2	2	2	1	2	9	476
"74"	65	33	1	152	180	11	21	1	3	5	5	2	3	6	423
"75"	66	149	3	325	47	2	4	2	0	7	1	4	0	3	547
"76"	67	100	6	387	65	8	0	8	2	2	2	7	5	9	601
"77"	68	67	6	317	72	2	5	0	2	2	2	9	3	5	492
"78"	69	38	2	301	41	3	1	0	2	1	0	1	0	0	390
"79"	70	45	0	47	524	6	86	1	2	1	4	3	4	4	727
"80"	71	119	2	146	354	6	59	2	0	1	1	6	1	1	698
"81"	72	24	3	330	33	3	2	1	1	1	1	1	2	14	416
"82"	73	47	4	176	262	3	29	0	2	2	3	5	2	5	540
"83"	74	18	2	54	151	5	54	2	2	3	1	2	1	4	299
"84"	75	65	2	110	196	6	23	1	4	0	5	5	1	5	423
"85"	76	105	7	125	220	3	23	1	0	2	0	1	3	10	500
"86"	77	233	3	20	47	1	13	1	1	0	1	1	2	7	330
"87"	78	28	0	58	261	5	229	4	4	0	5	0	2	2	598
"88"	79	38	3	188	188	3	244	8	3	2	6	3	3	4	693
"89"	80	138	10	372	114	2	3	0	0	1	3	1	1	2	647
"90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"92"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	81	40	5	161	146	4	4	3	4	1	4	4	4	8	388
"94"	82	123	8	276	124	1	2	0	4	1	4	6	3	21	573
"95"	83	24	5	291	91	1	1	1	1	2	0	2	3	4	426
"96"	84	43	0	254	122	2	0	0	0	1	4	9	5	6	446
"97"	85	76	7	240	134	4	16	1	2	0	2	2	3	7	494
"98"	86	61	3	156	109	4	2	0	1	1	2	1	4	3	347
"99"	87	54	6	14	343	8	29	2	1	5	7	5	9	17	500
"100"	NA	12	3	48	288	13	68	4	4	5	7	9	6	14	481
"101"	88	79	12	33	441	20	18	5	5	18	5	5	3	15	659
"102"	89	119	5	13	316	8	74	3	2	11	5	9	2	20	587
"103"	90	100	11	91	439	20	92	5	2	7	12	12	4	5	800
"104"	91	100	14	29	488	26	79	13	6	14	10	7	4	12	802
"105"	92	46	7	168	264	13	36	2	2	25	1	4	4	3	575
"106"	93	28	1	183	119	2	4	0	0	2	4	7	2	5	357
"107"	94	205	8	320	128	7	13	2	4	7	5	19	2	6	726
"108"	95	104	2	78	121	4	5	0	1	1	2	2	0	1	321
"109"	96	244	7	283	142	9	5	1	1	18	3	7	6	14	740
"110"	97	263	11	402	70	5	2	0	2	1	1	10	13	18	798
"111"	98	228	5	396	92	6	0	0	1	0	3	6	2	5	744
"112"	99	208	6	371	173	11	22	0	0	2	0	5	2	8	808
"113"	100	130	4	400	74	4	0	2	0	2	2	5	6	13	642
"114"	101	73	1	267	55	4	2	3	1	0	0	4	1	4	415
"115"	102	136	7	388	32	4	2	2	2	4	3	10	7	6	603
"116"	103	56	9	240	63	6	3	2	0	1	7	5	11	7	410
"117"	104	135	5	312	89	4	2	1	2	0	5	46	6	11	618
"118"	105	103	4	304	135	6	3	2	2	3	7	50	13	10	642
"119"	106	90	11	509	133	4	3	5	4	7	9	49	5	16	845
"120"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"122"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	107	35	5	433	67	0	0	2	0	1	3	17	3	11	577
"124"	108	42	5	360	113	3	0	1	4	1	1	10	4	4	548
"125"	109	38	5	395	107	3	4	1	0	0	6	37	0	3	599
"126"	110	84	4	420	107	2	2	3	0	1	2	14	7	6	652
"127"	111	28	3	316	69	7	4	3	1	2	4	10	0	10	457
"128"	112	19	4	399	53	1	2	0	1	4	2	30	4	12	531
"129"	113	24	7	303	112	6	4	3	1	3	5	17	7	15	507
"130"	114	60	8	378	210	7	7	4	2	5	1	19	4	20	725
"131"	115	14	7	191	541	10	1	2	2	6	8	12	18	18	830
"132"	116	54	21	278	371	11	4	3	3	6	3	3	4	13	774
"133"	117	595	18	130	85	2	1	2	4	16	5	4	8	31	901
"134"	118	38	10	358	260	9	5	4	5	15	4	6	37	20	771
"135"	119	30	6	274	85	1	2	1	1	9	4	2	8	10	433
"136"	120	19	7	433	177	1	1	2	6	21	0	2	4	4	677
"137"	121	46	14	545	119	15	4	7	13	5	2	19	6	5	800
"138"	122	39	12	319	87	3	4	2	2	16	2	9	0	4	499
"139"	123	17	4	547	99	7	3	10	3	6	2	14	9	8	729
"140"	124	41	11	464	68	6	0	1	2	4	1	2	1	0	601
"141"	125	73	2	250	60	1	1	3	2	1	3	4	0	3	403
"142"	126	286	4	162	152	5	35	5	3	6	6	4	8	8	684
"143"	127	64	6	172	302	17	107	2	3	9	6	8	6	12	714
"144"	128	190	11	386	79	3	1	7	2	2	4	9	6	11	711
"145"	129	164	16	479	181	11	4	3	3	6	8	11	7	20	913
"146"	130	211	36	227	88	8	42	5	7	6	6	3	10	19	668
"147"	131	277	49	253	33	3	7	20	3	9	11	9	17	25	716
"148"	132	53	34	563	41	3	9	16	4	4	8	13	12	17	777
"149"	133	45	12	72	318	5	3	4	5	2	6	5	3	16	496
"150"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"152"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
