"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"3"	"1"	""	"9"	"8"	"84"	"93"	"7"	"4"	"2"	""	"3"	"1"	"25"	"2"	"5"	"243"
"4"	"2"	""	"7"	"2"	"52"	"249"	"9"	"5"	"3"	""	"3"	"5"	"125"	"3"	"9"	"472"
"5"	"3"	""	"20"	"4"	"91"	"71"	"5"	"0"	"0"	""	"1"	"2"	"12"	"2"	"8"	"216"
"6"	"4"	""	"76"	"16"	"139"	"58"	"11"	"11"	"7"	""	"8"	"15"	"142"	"21"	"23"	"527"
"7"	"5"	""	"21"	"3"	"200"	"109"	"11"	"6"	"2"	""	"8"	"11"	"89"	"13"	"28"	"501"
"8"	"6"	""	"33"	"4"	"119"	"39"	"1"	"2"	"0"	""	"2"	"6"	"23"	"6"	"10"	"245"
"9"	"7"	""	"92"	"4"	"145"	"43"	"3"	"2"	"8"	""	"7"	"7"	"111"	"9"	"11"	"442"
"10"	"8"	""	"21"	"7"	"43"	"212"	"10"	"13"	"14"	""	"7"	"18"	"236"	"28"	"47"	"656"
"11"	"9"	""	"7"	"11"	"78"	"236"	"11"	"14"	"5"	""	"13"	"19"	"121"	"15"	"36"	"566"
"12"	"10"	""	"23"	"2"	"23"	"13"	"11"	"4"	"2"	""	"15"	"2"	"135"	"3"	"6"	"239"
"13"	"11"	""	"30"	"9"	"71"	"149"	"17"	"8"	"5"	""	"6"	"23"	"61"	"18"	"37"	"434"
"14"	"12"	""	"20"	"5"	"26"	"182"	"16"	"9"	"9"	""	"13"	"16"	"163"	"20"	"45"	"524"
"15"	"13"	""	"70"	"11"	"73"	"201"	"7"	"10"	"1"	""	"8"	"10"	"36"	"4"	"21"	"452"
"16"	"14"	""	"5"	"3"	"4"	"84"	"27"	"5"	"3"	""	"11"	"5"	"478"	"14"	"9"	"648"
"17"	"15"	""	"46"	"163"	"105"	"24"	"2"	"5"	"4"	""	"8"	"5"	"82"	"17"	"26"	"487"
"18"	"15"	"A"	"110"	"45"	"55"	"91"	"13"	"15"	"4"	""	"5"	"5"	"65"	"4"	"12"	"424"
"19"	"16"	""	"55"	"0"	"130"	"114"	"17"	"5"	"4"	""	"2"	"2"	"121"	"11"	"15"	"476"
"20"	"17"	""	"25"	"13"	"122"	"78"	"18"	"12"	"2"	""	"5"	"4"	"80"	"7"	"18"	"384"
"21"	"18"	""	"20"	"14"	"76"	"196"	"18"	"14"	"1"	""	"3"	"12"	"104"	"17"	"22"	"497"
"22"	"19"	""	"102"	"4"	"80"	"44"	"20"	"5"	"0"	""	"2"	"5"	"65"	"4"	"6"	"337"
"23"	"20"	""	"121"	"3"	"112"	"49"	"9"	"6"	"0"	""	"2"	"2"	"70"	"2"	"11"	"387"
"24"	"21"	""	"178"	"9"	"113"	"14"	"10"	"4"	"0"	""	"3"	"2"	"198"	"3"	"8"	"542"
"25"	"22"	""	"118"	"32"	"70"	"71"	"15"	"12"	"4"	""	"7"	"5"	"161"	"9"	"26"	"530"
"26"	"23"	""	"56"	"30"	"71"	"112"	"10"	"15"	"5"	""	"9"	"10"	"275"	"17"	"16"	"626"
"27"	"24"	""	"43"	"60"	"83"	"168"	"15"	"21"	"12"	""	"10"	"17"	"131"	"19"	"31"	"610"
"28"	"25"	""	"25"	"4"	"43"	"166"	"18"	"22"	"7"	""	"12"	"10"	"156"	"15"	"47"	"525"
"29"	"26"	""	"38"	"6"	"16"	"149"	"12"	"11"	"2"	""	"6"	"8"	"373"	"7"	"15"	"643"
"30"	"27"	""	"63"	"1"	"10"	"17"	"14"	"2"	"3"	""	"4"	"4"	"251"	"18"	"19"	"406"
"31"	"28"	""	"41"	"7"	"51"	"156"	"19"	"13"	"1"	""	"12"	"7"	"158"	"14"	"30"	"509"
"32"	"29"	""	"47"	"5"	"64"	"67"	"5"	"4"	"3"	""	"8"	"8"	"186"	"19"	"24"	"440"
"33"	"30"	""	"95"	"10"	"21"	"99"	"22"	"7"	"1"	""	"2"	"8"	"67"	"8"	"11"	"351"
"34"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"37"	"31"	""	"34"	"0"	"15"	"34"	"5"	"6"	"3"	""	"4"	"6"	"16"	"4"	"9"	"136"
"38"	"32"	""	"32"	"8"	"33"	"44"	"7"	"7"	"2"	""	"3"	"4"	"66"	"7"	"10"	"223"
"39"	"33"	""	"15"	"0"	"4"	"3"	"17"	"1"	"0"	""	"0"	"0"	"394"	"2"	"1"	"437"
"40"	"34"	""	"13"	"56"	"150"	"35"	"8"	"8"	"3"	""	"0"	"8"	"88"	"10"	"10"	"389"
"41"	"35"	""	"4"	"59"	"26"	"9"	"11"	"3"	"2"	""	"0"	"3"	"110"	"5"	"13"	"245"
"42"	"36"	""	"127"	"17"	"81"	"99"	"69"	"6"	"8"	""	"8"	"3"	"167"	"16"	"12"	"613"
"43"	"37"	""	"88"	"4"	"70"	"75"	"10"	"5"	"3"	""	"0"	"2"	"35"	"2"	"12"	"306"
"44"	"38"	""	"33"	"26"	"359"	"92"	"18"	"10"	"7"	""	"7"	"5"	"71"	"8"	"15"	"651"
"45"	"39"	""	"64"	"30"	"112"	"208"	"48"	"18"	"8"	""	"17"	"13"	"77"	"15"	"50"	"660"
"46"	"40"	""	"38"	"7"	"126"	"52"	"14"	"9"	"3"	""	"2"	"2"	"73"	"8"	"5"	"339"
"47"	"41"	""	"19"	"6"	"84"	"178"	"11"	"12"	"4"	""	"6"	"10"	"51"	"11"	"22"	"414"
"48"	"42"	""	"29"	"13"	"38"	"220"	"16"	"22"	"4"	""	"11"	"14"	"167"	"25"	"17"	"576"
"49"	"43"	""	"8"	"4"	"181"	"106"	"7"	"14"	"5"	""	"4"	"12"	"87"	"3"	"6"	"437"
"50"	"44"	""	"31"	"5"	"179"	"200"	"7"	"28"	"2"	""	"8"	"14"	"162"	"9"	"24"	"669"
"51"	"45"	""	"43"	"17"	"326"	"88"	"15"	"11"	"5"	""	"6"	"16"	"158"	"10"	"34"	"729"
"52"	"46"	""	"20"	"12"	"257"	"188"	"14"	"14"	"1"	""	"4"	"5"	"100"	"4"	"8"	"627"
"53"	"47"	""	"10"	"14"	"164"	"109"	"21"	"9"	"3"	""	"10"	"8"	"75"	"10"	"21"	"454"
"54"	"48"	""	"34"	"18"	"294"	"107"	"22"	"22"	"6"	""	"7"	"6"	"166"	"13"	"10"	"705"
"55"	"49"	""	"11"	"9"	"175"	"190"	"25"	"15"	"4"	""	"6"	"6"	"111"	"17"	"6"	"575"
"56"	"50"	""	"24"	"1"	"35"	"79"	"183"	"11"	"0"	""	"4"	"4"	"25"	"3"	"15"	"384"
"57"	"51"	""	"6"	"23"	"45"	"11"	"121"	"4"	"5"	""	"2"	"4"	"15"	"7"	"23"	"266"
"58"	"52"	""	"11"	"242"	"71"	"4"	"57"	"3"	"0"	""	"5"	"4"	"39"	"6"	"3"	"445"
"59"	"53"	""	"14"	"1"	"158"	"12"	"164"	"4"	"2"	""	"1"	"3"	"22"	"1"	"3"	"385"
"60"	"54"	""	"12"	"14"	"89"	"112"	"75"	"25"	"5"	""	"9"	"9"	"47"	"9"	"12"	"418"
"61"	"55"	""	"10"	"30"	"167"	"248"	"20"	"18"	"7"	""	"4"	"15"	"177"	"8"	"15"	"719"
"62"	"56"	""	"28"	"4"	"215"	"65"	"10"	"4"	"0"	""	"3"	"43"	"41"	"1"	"0"	"414"
"63"	"57"	""	"13"	"17"	"172"	"51"	"27"	"4"	"1"	""	"5"	"12"	"141"	"17"	"12"	"472"
"64"	"58"	""	"8"	"27"	"95"	"129"	"18"	"7"	"9"	""	"7"	"11"	"128"	"13"	"13"	"465"
"65"	"59"	""	"13"	"16"	"21"	"162"	"46"	"14"	"3"	""	"6"	"10"	"70"	"1"	"7"	"369"
