"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 138---Bibhutipur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :138---Bibhutipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of Voters :206716"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Candidates  Name ----->"	"ALOK KUMAR"	""	"MOHAMMAD KYAMUDDIN"	""	"RAMESH KUMAR ROY"	""	"RAMDEO VERMA"	""	""	"RAM BALAK SINGH"	""	"RAM BILAS MAHTO"	""	"BHOLA SAH"	""	"SUBODH KR. RAI"	""	"RAM NARESH YADAV"	""	"Total Valid Votes"	""
"8"	"BOOTH NO ----->"	"1"	""	"2"	""	"3"	""	"4"	""	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""
"9"	"1"	"4"	""	"3"	""	"11"	""	"210"	""	""	"251"	""	"9"	""	"64"	""	"4"	""	"7"	""	"563"	""
"10"	"2"	"4"	""	"2"	""	"31"	""	"84"	""	""	"257"	""	"7"	""	"64"	""	"10"	""	"13"	""	"472"	""
"11"	"3"	"10"	""	"5"	""	"279"	""	"59"	""	""	"186"	""	"13"	""	"53"	""	"8"	""	"30"	""	"643"	""
"12"	"4"	"18"	""	"7"	""	"197"	""	"67"	""	""	"276"	""	"22"	""	"31"	""	"1"	""	"6"	""	"625"	""
"13"	"5"	"3"	""	"0"	""	"82"	""	"75"	""	""	"177"	""	"8"	""	"39"	""	"2"	""	"12"	""	"398"	""
"14"	"6"	"4"	""	"2"	""	"32"	""	"162"	""	""	"207"	""	"49"	""	"46"	""	"4"	""	"12"	""	"518"	""
"15"	"6A"	"9"	""	"1"	""	"145"	""	"124"	""	""	"286"	""	"7"	""	"20"	""	"4"	""	"8"	""	"604"	""
"16"	"7"	"27"	""	"6"	""	"24"	""	"22"	""	""	"542"	""	"15"	""	"28"	""	"9"	""	"15"	""	"688"	""
"17"	"8"	"36"	""	"2"	""	"61"	""	"35"	""	""	"361"	""	"9"	""	"47"	""	"5"	""	"12"	""	"568"	""
"18"	"9"	"20"	""	"4"	""	"74"	""	"71"	""	""	"332"	""	"13"	""	"19"	""	"2"	""	"6"	""	"541"	""
"19"	"10"	"18"	""	"8"	""	"9"	""	"28"	""	""	"304"	""	"7"	""	"46"	""	"8"	""	"16"	""	"444"	""
"20"	"11"	"26"	""	"8"	""	"15"	""	"51"	""	""	"341"	""	"7"	""	"34"	""	"4"	""	"9"	""	"495"	""
"21"	"12"	"27"	""	"7"	""	"11"	""	"192"	""	""	"410"	""	"16"	""	"36"	""	"8"	""	"16"	""	"723"	""
"22"	"13"	"4"	""	"5"	""	"37"	""	"240"	""	""	"499"	""	"15"	""	"44"	""	"4"	""	"6"	""	"854"	""
"23"	"14"	"8"	""	"3"	""	"79"	""	"301"	""	""	"317"	""	"16"	""	"41"	""	"10"	""	"11"	""	"786"	""
"24"	"15"	"2"	""	"1"	""	"10"	""	"301"	""	""	"333"	""	"11"	""	"16"	""	"1"	""	"3"	""	"678"	""
"25"	"16"	"6"	""	"1"	""	"75"	""	"299"	""	""	"191"	""	"12"	""	"24"	""	"3"	""	"7"	""	"618"	""
"26"	"17"	"13"	""	"3"	""	"7"	""	"544"	""	""	"149"	""	"12"	""	"28"	""	"7"	""	"23"	""	"786"	""
"27"	"17A"	"1"	""	"0"	""	"1"	""	"96"	""	""	"31"	""	"3"	""	"2"	""	"1"	""	"5"	""	"140"	""
"28"	"18"	"3"	""	"3"	""	"14"	""	"275"	""	""	"164"	""	"5"	""	"34"	""	"10"	""	"12"	""	"520"	""
"29"	"19"	"15"	""	"4"	""	"166"	""	"81"	""	""	"146"	""	"10"	""	"20"	""	"9"	""	"11"	""	"462"	""
"30"	"20"	"8"	""	"2"	""	"45"	""	"163"	""	""	"188"	""	"18"	""	"45"	""	"7"	""	"20"	""	"496"	""
"31"	"21"	"9"	""	"4"	""	"33"	""	"263"	""	""	"355"	""	"12"	""	"60"	""	"11"	""	"35"	""	"782"	""
"32"	"22"	"10"	""	"7"	""	"86"	""	"146"	""	""	"230"	""	"30"	""	"90"	""	"10"	""	"28"	""	"637"	""
"33"	"23"	"14"	""	"2"	""	"212"	""	"18"	""	""	"87"	""	"11"	""	"19"	""	"2"	""	"2"	""	"367"	""
"34"	"24"	"23"	""	"7"	""	"131"	""	"41"	""	""	"161"	""	"8"	""	"18"	""	"2"	""	"3"	""	"394"	""
"35"	"25"	"20"	""	"4"	""	"168"	""	"93"	""	""	"270"	""	"14"	""	"42"	""	"7"	""	"12"	""	"630"	""
"36"	"26"	"7"	""	"0"	""	"11"	""	"327"	""	""	"320"	""	"21"	""	"40"	""	"4"	""	"12"	""	"742"	""
"37"	"27"	"5"	""	"2"	""	"11"	""	"204"	""	""	"464"	""	"8"	""	"34"	""	"6"	""	"21"	""	"755"	""
"38"	"28"	"4"	""	"2"	""	"2"	""	"104"	""	""	"661"	""	"9"	""	"23"	""	"3"	""	"8"	""	"816"	""
"39"	"29"	"8"	""	"7"	""	"72"	""	"319"	""	""	"363"	""	"14"	""	"40"	""	"4"	""	"12"	""	"839"	""
"40"	"30"	"18"	""	"9"	""	"71"	""	"130"	""	""	"559"	""	"15"	""	"26"	""	"3"	""	"6"	""	"837"	""
"41"	"31"	"2"	""	"0"	""	"13"	""	"107"	""	""	"288"	""	"4"	""	"19"	""	"1"	""	"7"	""	"441"	""
"42"	"31A"	"9"	""	"1"	""	"12"	""	"212"	""	""	"329"	""	"11"	""	"21"	""	"3"	""	"8"	""	"606"	""
"43"	"32"	"11"	""	"9"	""	"151"	""	"256"	""	""	"189"	""	"24"	""	"46"	""	"8"	""	"20"	""	"714"	""
"44"	"33"	"11"	""	"15"	""	"19"	""	"338"	""	""	"463"	""	"18"	""	"42"	""	"5"	""	"15"	""	"926"	""
"45"	"34"	"10"	""	"5"	""	"120"	""	"287"	""	""	"36"	""	"13"	""	"15"	""	"3"	""	"2"	""	"491"	""
"46"	"35"	"13"	""	"4"	""	"174"	""	"59"	""	""	"444"	""	"27"	""	"45"	""	"14"	""	"15"	""	"795"	""
"47"	"36"	"11"	""	"3"	""	"163"	""	"54"	""	""	"269"	""	"12"	""	"38"	""	"5"	""	"37"	""	"592"	""
"48"	"37"	"13"	""	"2"	""	"71"	""	"36"	""	""	"415"	""	"23"	""	"36"	""	"11"	""	"37"	""	"644"	""
"49"	"38"	"2"	""	"1"	""	"99"	""	"94"	""	""	"246"	""	"3"	""	"23"	""	"1"	""	"6"	""	"475"	""
"50"	"39"	"11"	""	"2"	""	"186"	""	"69"	""	""	"363"	""	"14"	""	"46"	""	"7"	""	"12"	""	"710"	""
"51"	"40"	"6"	""	"5"	""	"231"	""	"49"	""	""	"119"	""	"6"	""	"18"	""	"1"	""	"7"	""	"442"	""
"52"	"41"	"35"	""	"1"	""	"111"	""	"21"	""	""	"165"	""	"7"	""	"31"	""	"4"	""	"6"	""	"381"	""
"53"	"41A"	"5"	""	"4"	""	"121"	""	"127"	""	""	"209"	""	"8"	""	"26"	""	"4"	""	"6"	""	"510"	""
"54"	"42"	"24"	""	"8"	""	"286"	""	"27"	""	""	"94"	""	"3"	""	"22"	""	"4"	""	"7"	""	"475"	""
"55"	"42A"	"9"	""	"2"	""	"274"	""	"77"	""	""	"53"	""	"6"	""	"22"	""	"5"	""	"9"	""	"457"	""
"56"	"43"	"6"	""	"3"	""	"118"	""	"314"	""	""	"229"	""	"12"	""	"27"	""	"10"	""	"8"	""	"727"	""
"57"	"44"	"8"	""	"7"	""	"109"	""	"130"	""	""	"197"	""	"17"	""	"24"	""	"6"	""	"14"	""	"512"	""
"58"	"45"	"9"	""	"1"	""	"57"	""	"239"	""	""	"243"	""	"15"	""	"32"	""	"9"	""	"20"	""	"625"	""
"59"	"46"	"7"	""	"3"	""	"50"	""	"319"	""	""	"301"	""	"17"	""	"30"	""	"7"	""	"5"	""	"739"	""
"60"	"47"	"2"	""	"1"	""	"20"	""	"155"	""	""	"209"	""	"20"	""	"34"	""	"4"	""	"8"	""	"453"	""
"61"	"47A"	"9"	""	"2"	""	"45"	""	"54"	""	""	"243"	""	"12"	""	"44"	""	"3"	""	"17"	""	"429"	""
"62"	"48"	"12"	""	"10"	""	"230"	""	"152"	""	""	"52"	""	"3"	""	"8"	""	"3"	""	"5"	""	"475"	""
"63"	"49"	"12"	""	"4"	""	"4"	""	"219"	""	""	"198"	""	"10"	""	"28"	""	"1"	""	"5"	""	"481"	""
"64"	"50"	"13"	""	"1"	""	"46"	""	"225"	""	""	"194"	""	"18"	""	"77"	""	"7"	""	"21"	""	"602"	""
"65"	"51"	"9"	""	"2"	""	"100"	""	"49"	""	""	"170"	""	"5"	""	"22"	""	"2"	""	"4"	""	"363"	""
"66"	"52"	"13"	""	"1"	""	"28"	""	"113"	""	""	"284"	""	"13"	""	"37"	""	"3"	""	"24"	""	"516"	""
"67"	"53"	"16"	""	"1"	""	"95"	""	"159"	""	""	"345"	""	"8"	""	"41"	""	"13"	""	"32"	""	"710"	""
"68"	"54"	"4"	""	"0"	""	"51"	""	"60"	""	""	"285"	""	"16"	""	"24"	""	"2"	""	"14"	""	"456"	""
"69"	"55"	"12"	""	"2"	""	"325"	""	"33"	""	""	"125"	""	"20"	""	"63"	""	"7"	""	"29"	""	"616"	""
"70"	"56"	"6"	""	"2"	""	"141"	""	"37"	""	""	"143"	""	"6"	""	"19"	""	"5"	""	"4"	""	"363"	""
"71"	"57"	"10"	""	"2"	""	"208"	""	"37"	""	""	"110"	""	"5"	""	"12"	""	"1"	""	"13"	""	"398"	""
"72"	"58"	"12"	""	"5"	""	"111"	""	"161"	""	""	"249"	""	"15"	""	"34"	""	"6"	""	"6"	""	"599"	""
"73"	"59"	"6"	""	"3"	""	"73"	""	"88"	""	""	"144"	""	"42"	""	"11"	""	"1"	""	"6"	""	"374"	""
"74"	"60"	"12"	""	"7"	""	"328"	""	"95"	""	""	"285"	""	"14"	""	"43"	""	"11"	""	"28"	""	"823"	""
"75"	"61"	"8"	""	"18"	""	"209"	""	"141"	""	""	"260"	""	"16"	""	"26"	""	"13"	""	"36"	""	"727"	""
"76"	"62"	"6"	""	"1"	""	"229"	""	"93"	""	""	"52"	""	"9"	""	"12"	""	"2"	""	"6"	""	"410"	""
"77"	"63"	"9"	""	"0"	""	"244"	""	"112"	""	""	"203"	""	"13"	""	"45"	""	"10"	""	"25"	""	"661"	""
"78"	"64"	"8"	""	"10"	""	"194"	""	"41"	""	""	"65"	""	"6"	""	"16"	""	"3"	""	"12"	""	"355"	""
"79"	"65"	"14"	""	"5"	""	"227"	""	"73"	""	""	"101"	""	"13"	""	"17"	""	"5"	""	"4"	""	"459"	""
"80"	"66"	"8"	""	"0"	""	"290"	""	"116"	""	""	"169"	""	"5"	""	"34"	""	"6"	""	"23"	""	"651"	""
"81"	"67"	"12"	""	"3"	""	"286"	""	"53"	""	""	"272"	""	"11"	""	"26"	""	"3"	""	"8"	""	"674"	""
"82"	"68"	"19"	""	"5"	""	"634"	""	"71"	""	""	"95"	""	"1"	""	"8"	""	"4"	""	"8"	""	"845"	""
"83"	"69"	"16"	""	"2"	""	"275"	""	"61"	""	""	"264"	""	"11"	""	"28"	""	"2"	""	"3"	""	"662"	""
"84"	"70"	"1"	""	"1"	""	"117"	""	"90"	""	""	"141"	""	"9"	""	"13"	""	"0"	""	"1"	""	"373"	""
"85"	"71"	"8"	""	"5"	""	"239"	""	"92"	""	""	"53"	""	"8"	""	"19"	""	"4"	""	"15"	""	"443"	""
"86"	"72"	"7"	""	"6"	""	"321"	""	"120"	""	""	"146"	""	"14"	""	"51"	""	"5"	""	"14"	""	"684"	""
"87"	"73"	"15"	""	"7"	""	"252"	""	"83"	""	""	"259"	""	"13"	""	"21"	""	"10"	""	"15"	""	"675"	""
"88"	"74"	"5"	""	"2"	""	"9"	""	"143"	""	""	"246"	""	"5"	""	"42"	""	"6"	""	"3"	""	"461"	""
"89"	"74A"	"8"	""	"0"	""	"24"	""	"168"	""	""	"192"	""	"13"	""	"19"	""	"1"	""	"11"	""	"436"	""
"90"	"75"	"15"	""	"9"	""	"16"	""	"426"	""	""	"255"	""	"25"	""	"40"	""	"5"	""	"14"	""	"805"	""
"91"	"76"	"9"	""	"9"	""	"147"	""	"209"	""	""	"291"	""	"16"	""	"76"	""	"14"	""	"32"	""	"803"	""
"92"	"77"	"6"	""	"7"	""	"136"	""	"47"	""	""	"210"	""	"15"	""	"36"	""	"11"	""	"13"	""	"481"	""
"93"	"78"	"6"	""	"1"	""	"33"	""	"198"	""	""	"188"	""	"48"	""	"22"	""	"2"	""	"6"	""	"504"	""
"94"	"78A"	"5"	""	"4"	""	"124"	""	"61"	""	""	"213"	""	"22"	""	"37"	""	"9"	""	"9"	""	"484"	""
"95"	"79"	"11"	""	"3"	""	"7"	""	"84"	""	""	"306"	""	"156"	""	"36"	""	"9"	""	"4"	""	"616"	""
