"er.nku.dsUnz.l.a....k"	"v..kksd.dqekj.i.zl.kn"	"j.kek...k.ekW.h"	"X..kekZuUn.j.ke"	"f..ko.dqekj.ekW.h"	"l.qeh.k.nsoh"	"ek.kqj.h.nsoh"	"j.ke.i.qdkj.gfj.t.u"	"l.R..nso.j.ke"	"uUn.t.h.j.ke"	"j..kqukFk.j.ke"	"j.ket.hr.Hkkj.r.h"	"j.ke.l.dy.j.ke"	"Jh...kadj.pkS.kj.h"	"l.fPknkl.uUn.l.k.kq"	"dqy..fof.kekU..er"	"i.zfr..ksfi.r..er.ksa.dh.dqy..l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy..l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"2"	1	6	288	9	62	15	24	5	158	16	14	3	5	12	17	634	NA	NA	NA
"3"	2	9	45	8	175	15	24	13	170	15	32	19	18	17	18	578	NA	NA	NA
"4"	3	7	40	23	126	30	5	0	15	4	16	8	3	1	5	283	NA	NA	NA
"5"	4	8	73	12	26	22	10	6	132	7	14	0	4	1	2	317	NA	NA	NA
"6"	5	10	249	6	120	15	13	13	85	79	15	23	19	16	19	682	NA	NA	NA
"7"	6	13	77	3	22	4	12	6	186	74	4	5	6	2	4	418	NA	NA	NA
"8"	7	5	134	8	73	60	19	5	49	8	17	8	9	7	14	416	NA	NA	NA
"9"	8	4	165	8	59	12	10	8	212	16	8	8	4	9	10	533	NA	NA	NA
"10"	NA	62	1071	77	663	173	117	56	1007	219	120	74	68	65	89	3861	0	0	0
"11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
