"BOOTH.NO"	"ATAUR.RAHMAN"	"AWADHESH.PRASAD.KUSHWAHA"	"NAWIN.KUMAR.SINGH"	"RAJ.MANGAL.PRASAD"	"SANJEEV.KUMAR.SINGH"	"SUBHODH.YADAV"	"AKHTAR.ALI"	"NAGENDRA.SAHANI"	"RAJENDRA.PASWAN"	"VIKRAM.KUMAR"	"SHASHI.BHUSAN.KUMAR"	"SURENDRA.RAI"	"ABHAY.KUMAR.YADAV"	"DINESH.PATHAK"	"DEVILAL.PRASAD"	"NAWAL.KISHOR"	"VIRENDRA.NARAYAN.SINGH"	"SHIVAJI.SINGH"	"SAHDEO.PASWAN"	"SURESH.PRASAD.YADAV"	"ALAUDDIN.AZAD"	"KANHAIA.SINGH"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"2"	1	6	282	8	44	22	86	5	2	10	3	4	13	3	2	9	20	12	10	16	19	5	19	600
"3"	2	9	107	2	9	4	200	12	0	1	1	3	2	1	3	3	3	7	0	0	3	2	2	374
"4"	3	1	84	1	4	29	51	1	0	1	2	2	4	0	0	4	5	4	1	1	4	2	3	204
"5"	4	2	95	0	10	31	28	3	2	3	3	2	3	1	3	15	18	2	2	1	32	4	2	262
"6"	5	1	192	3	16	59	63	8	1	8	4	10	3	3	6	8	19	15	2	3	15	8	4	451
"7"	6	6	191	3	15	40	29	1	0	3	2	8	7	1	7	12	33	2	13	9	45	4	10	441
"8"	7	20	253	10	37	52	106	7	1	7	3	4	7	2	6	4	8	21	3	11	16	6	15	599
"9"	8	7	61	1	9	10	224	6	1	2	0	2	1	0	2	3	5	3	4	3	6	3	15	368
"10"	9	8	45	0	11	11	27	8	7	8	5	19	9	5	3	6	17	15	12	19	371	53	23	682
"11"	10	10	268	0	7	9	13	0	4	4	2	3	3	1	5	14	3	6	5	2	26	3	6	394
"12"	11	35	134	3	11	79	141	10	99	10	5	3	15	7	8	16	73	4	1	2	21	6	8	691
"13"	12	6	208	6	23	28	66	2	73	6	6	13	20	4	9	12	29	5	2	4	51	5	8	586
"14"	13	9	188	2	17	13	148	5	2	9	2	12	15	9	5	12	16	2	5	3	46	9	8	537
"15"	14	3	167	4	11	6	43	3	0	3	4	4	21	3	6	11	7	3	0	0	6	6	3	314
"16"	15	20	250	7	12	10	188	3	31	4	2	1	15	4	4	2	5	8	8	2	6	9	4	595
"17"	16	14	54	3	7	4	124	3	9	2	1	3	6	2	3	4	1	9	0	1	8	6	2	266
"18"	17	4	79	0	13	2	86	3	0	3	1	6	5	3	5	6	13	2	1	1	17	2	3	255
"19"	18	58	197	5	19	29	43	6	10	3	2	8	4	2	3	10	17	9	4	5	81	228	23	766
"20"	19	3	17	3	10	15	6	3	2	2	2	8	3	1	0	6	13	1	0	2	192	72	9	370
"21"	20	9	64	3	7	264	24	2	1	3	3	2	6	1	4	10	18	3	0	1	3	10	0	438
"22"	21	17	109	2	17	4	179	6	15	5	3	7	9	3	1	5	4	7	2	2	9	12	3	421
"23"	22	4	159	5	33	7	60	5	1	4	2	3	25	5	4	8	28	15	11	2	10	9	20	420
"24"	23	13	90	4	8	8	37	0	35	1	0	4	2	1	4	4	7	18	8	8	16	100	10	378
"25"	24	3	102	2	9	8	18	4	1	0	0	1	1	1	3	7	19	31	3	4	29	43	7	296
"26"	25	8	304	9	22	11	78	5	6	2	5	4	17	4	7	11	24	6	10	5	7	7	5	557
"27"	26	6	254	4	21	29	88	2	0	0	3	2	3	0	17	1	29	3	0	5	5	14	8	494
"28"	27	10	171	5	19	4	15	2	1	0	0	2	3	2	5	11	113	10	1	8	11	7	12	412
"29"	28	8	102	0	6	7	3	2	3	1	2	1	1	2	1	6	279	9	0	1	1	3	7	445
"30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"32"	29	7	265	5	17	9	30	2	2	4	1	6	10	3	7	17	146	8	1	0	2	26	1	569
"33"	30	6	169	1	10	41	121	5	1	0	1	3	4	2	6	2	8	3	1	0	1	11	5	401
"34"	31	10	84	2	9	2	109	2	8	4	1	1	9	1	0	16	110	8	14	2	2	3	1	398
