"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"3"	"1"	"3"	"67"	"7"	"6"	"224"	"129"	"8"	"4"	"4"	"4"	"8"	"6"	"4"	"8"	"3"	"16"	"1"	"3"	"0"	"3"	"508"
"4"	"2"	"14"	"141"	"20"	"4"	"432"	"14"	"7"	"6"	"2"	"3"	"2"	"4"	"3"	"3"	"2"	"6"	"10"	"1"	"8"	"8"	"690"
"5"	"3"	"13"	"5"	"15"	"8"	"307"	"146"	"8"	"11"	"3"	"5"	"8"	"5"	"8"	"9"	"14"	"9"	"15"	"11"	"22"	"18"	"640"
"6"	"4"	"13"	"76"	"7"	"3"	"150"	"170"	"8"	"6"	"7"	"7"	"24"	"12"	"6"	"12"	"7"	"22"	"2"	"4"	"2"	"10"	"548"
"7"	"5"	"6"	"90"	"8"	"6"	"134"	"54"	"3"	"2"	"1"	"2"	"1"	"10"	"2"	"1"	"3"	"11"	"2"	"0"	"3"	"2"	"341"
"8"	"6"	"22"	"4"	"5"	"3"	"130"	"284"	"10"	"8"	"7"	"2"	"8"	"6"	"2"	"3"	"1"	"7"	"9"	"1"	"6"	"5"	"523"
"9"	"7"	"23"	"6"	"13"	"11"	"571"	"15"	"4"	"2"	"2"	"5"	"14"	"23"	"2"	"5"	"1"	"10"	"8"	"2"	"7"	"17"	"741"
"10"	"8"	"2"	"174"	"16"	"0"	"135"	"23"	"3"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"363"
"11"	"8 A"	"1"	"142"	"7"	"2"	"113"	"9"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"3"	"2"	"1"	"2"	"1"	"289"
"12"	"9"	"9"	"5"	"1"	"2"	"102"	"102"	"8"	"4"	"2"	"6"	"2"	"4"	"0"	"2"	"1"	"9"	"13"	"2"	"3"	"9"	"286"
"13"	"10"	"5"	"41"	"10"	"5"	"261"	"43"	"6"	"1"	"9"	"5"	"0"	"7"	"5"	"5"	"2"	"6"	"6"	"4"	"9"	"6"	"436"
"14"	"11"	"0"	"58"	"5"	"3"	"156"	"8"	"3"	"1"	"3"	"2"	"2"	"0"	"1"	"5"	"3"	"3"	"0"	"2"	"4"	"1"	"260"
"15"	"12"	"10"	"3"	"54"	"11"	"378"	"258"	"17"	"8"	"7"	"8"	"14"	"9"	"10"	"11"	"8"	"27"	"5"	"2"	"9"	"11"	"860"
"16"	"13"	"1"	"3"	"2"	"2"	"112"	"492"	"17"	"4"	"3"	"6"	"17"	"6"	"4"	"5"	"2"	"16"	"1"	"0"	"0"	"4"	"697"
"17"	"14"	"9"	"4"	"3"	"10"	"162"	"284"	"15"	"10"	"8"	"7"	"11"	"7"	"21"	"14"	"6"	"41"	"3"	"1"	"1"	"12"	"629"
"18"	"15"	"12"	"17"	"5"	"6"	"220"	"297"	"11"	"10"	"10"	"8"	"12"	"9"	"11"	"19"	"10"	"27"	"2"	"2"	"2"	"11"	"701"
"19"	"16"	"4"	"12"	"4"	"5"	"204"	"44"	"8"	"3"	"5"	"4"	"5"	"5"	"1"	"7"	"4"	"14"	"0"	"1"	"1"	"1"	"332"
"20"	"16 A"	"6"	"12"	"4"	"1"	"82"	"169"	"11"	"7"	"4"	"6"	"6"	"4"	"2"	"2"	"6"	"7"	"2"	"1"	"1"	"2"	"335"
"21"	"17"	"6"	"20"	"1"	"4"	"24"	"307"	"11"	"8"	"8"	"3"	"20"	"6"	"6"	"1"	"3"	"10"	"3"	"1"	"1"	"1"	"444"
"22"	"18"	"8"	"9"	"5"	"2"	"159"	"155"	"15"	"8"	"8"	"15"	"11"	"17"	"7"	"11"	"10"	"24"	"2"	"1"	"6"	"10"	"483"
"23"	"19"	"8"	"38"	"9"	"6"	"175"	"203"	"12"	"11"	"8"	"2"	"6"	"5"	"6"	"3"	"0"	"4"	"4"	"1"	"0"	"2"	"503"
"24"	"20"	"7"	"22"	"14"	"9"	"527"	"95"	"0"	"5"	"5"	"4"	"7"	"9"	"3"	"10"	"5"	"35"	"6"	"2"	"8"	"28"	"801"
"25"	"21"	"4"	"96"	"13"	"1"	"206"	"160"	"4"	"6"	"6"	"3"	"9"	"11"	"4"	"10"	"6"	"23"	"1"	"2"	"3"	"3"	"571"
"26"	"22"	"2"	"16"	"5"	"9"	"577"	"27"	"11"	"1"	"3"	"8"	"8"	"11"	"7"	"8"	"5"	"7"	"4"	"1"	"12"	"4"	"726"
"27"	"23"	"7"	"79"	"16"	"4"	"166"	"166"	"8"	"5"	"18"	"3"	"10"	"3"	"8"	"4"	"2"	"1"	"4"	"1"	"3"	"5"	"513"
"28"	"24"	"4"	"19"	"5"	"2"	"319"	"81"	"3"	"2"	"0"	"1"	"1"	"4"	"0"	"3"	"2"	"6"	"0"	"0"	"1"	"1"	"454"
"29"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"31"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"32"	"25"	"5"	"4"	"2"	"5"	"237"	"210"	"15"	"6"	"7"	"12"	"21"	"21"	"15"	"8"	"10"	"23"	"3"	"2"	"8"	"16"	"630"
"33"	"26"	"8"	"31"	"8"	"8"	"243"	"254"	"11"	"6"	"6"	"25"	"10"	"3"	"6"	"7"	"5"	"4"	"11"	"4"	"8"	"9"	"667"
