"PS.NO"	"NAND.KUMAR.RAI"	"BALDEO.MAHTO"	"BRIJ.KISHOR.SINGH"	"RANJAN.KUMAR"	"LAKHAN.LAL.SINGH"	"LALAN.KUMAR"	"KIRAN.DEVI"	"KEDAR.NATH.GUPTA"	"MAKESHWAR.CHAUDHARY"	"MD..RAZAULLAH"	"RINKU.RANI"	"KRISHAN.KUMAR"	"KRISHNA.KUMAR.CHOUDHARY"	"RAM.EKWAL.ROY"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	66	197	268	13	3	2	10	11	5	7	6	4	7	9	608	""	""
"2"	2	205	74	288	16	47	8	23	8	1	7	1	9	7	18	712	""	""
"3"	3	162	9	147	3	5	1	15	14	4	3	5	5	50	13	436	""	""
"4"	4	155	30	143	6	8	2	14	0	2	6	1	4	9	12	392	""	""
"5"	5	232	22	208	5	3	4	13	4	2	9	8	16	8	40	574	""	""
"6"	6	83	19	113	4	0	2	6	3	0	4	5	2	8	8	257	""	""
"7"	7	61	52	166	2	3	0	5	5	1	3	0	3	29	10	340	""	""
"8"	8	84	19	148	3	1	0	7	2	0	1	0	1	1	9	276	""	""
"9"	9	87	33	96	1	11	1	16	0	0	5	2	0	1	5	258	""	""
"10"	10	313	106	108	3	3	4	24	49	8	6	6	3	7	29	669	""	""
"11"	11	191	51	90	9	3	2	23	23	5	20	5	8	28	43	501	""	""
"12"	12	319	10	195	4	8	12	35	8	1	5	6	6	7	21	637	""	""
"13"	13	156	58	191	9	1	0	20	5	6	9	3	4	9	31	502	""	""
"14"	14	13	4	337	1	0	0	4	3	2	2	2	0	1	10	379	""	""
"15"	15	40	67	77	9	2	3	11	3	1	2	2	3	15	5	240	""	""
"16"	16	114	32	299	5	2	2	11	2	3	8	3	6	10	20	517	""	""
"17"	17	59	14	177	8	2	1	17	2	2	42	7	11	22	24	388	""	""
"18"	18	10	68	188	5	1	0	6	1	0	0	1	5	2	4	291	""	""
"19"	19	65	16	365	4	1	1	12	8	3	7	3	5	9	15	514	""	""
"20"	20	120	31	60	5	1	0	12	2	2	2	1	0	7	13	256	""	""
"21"	21	216	94	252	11	4	5	31	2	4	9	11	6	12	36	693	""	""
"22"	22	123	19	157	7	0	1	17	10	4	4	6	16	76	20	460	""	""
"23"	23	129	23	292	8	7	7	14	4	4	7	7	13	23	39	577	""	""
"24"	24	152	128	339	20	6	8	32	17	4	14	5	11	11	22	769	""	""
"25"	25	130	63	224	7	1	1	5	0	0	0	2	0	4	6	443	""	""
"26"	26	167	115	240	16	5	0	40	8	6	8	7	11	32	90	745	""	""
"27"	27	40	139	131	8	2	0	13	4	1	3	9	6	100	21	477	""	""
"28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"29"	28	110	44	417	8	4	9	18	2	6	8	5	21	43	22	717	""	""
"30"	29	91	45	301	10	3	9	13	2	6	7	6	7	57	28	585	""	""
"31"	30	177	19	158	2	3	4	22	1	2	7	3	3	40	13	454	""	""
"32"	31	68	140	55	15	3	1	6	3	2	5	3	4	39	26	370	""	""
"33"	32	229	29	225	7	1	2	13	4	4	6	5	8	40	24	597	""	""
"34"	33	51	22	313	62	1	7	10	0	0	10	2	13	15	24	530	""	""
"35"	34	197	53	223	115	4	4	15	11	5	2	1	3	19	11	663	""	""
"36"	35	224	29	284	13	3	4	22	15	7	17	7	8	22	33	688	""	""
"37"	36	103	49	216	17	3	9	17	10	0	6	4	3	6	19	462	""	""
"38"	37	72	7	96	5	1	1	9	0	2	0	1	1	3	8	206	""	""
"39"	38	153	13	136	3	2	0	8	5	0	4	1	0	11	10	346	""	""
"40"	39	41	54	248	5	3	0	3	2	0	3	4	7	9	11	390	""	""
"41"	40	84	77	127	4	0	1	2	0	0	1	3	4	4	7	314	""	""
"42"	41	69	96	210	10	4	2	20	1	4	3	4	6	5	24	458	""	""
"43"	42	67	13	209	5	2	0	4	0	0	2	2	13	6	16	339	""	""
"44"	43	29	2	515	6	1	0	12	3	0	0	1	0	31	3	603	""	""
"45"	44	91	28	431	10	0	25	15	0	1	1	0	2	13	6	623	""	""
"46"	45	122	41	375	9	7	2	18	3	3	10	4	17	15	28	654	""	""
"47"	46	27	11	440	12	1	2	4	0	5	1	2	10	6	26	547	""	""
"48"	47	69	46	506	10	4	4	10	3	3	3	2	14	10	57	741	""	""
"49"	48	88	35	401	14	4	4	15	5	2	2	8	15	5	24	622	""	""
"50"	49	69	44	241	6	0	0	6	0	0	3	0	4	8	4	385	""	""
