"X."	"Candidates..Name"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.Valid.Votes"
"1"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"4"	"Round - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"1"	"224"	"20"	"520"	"36"	"5"	"8"	"12"	"11"	"21"	"9"	"10"	"20"	"18"	"34"	"948"
"6"	"2"	"360"	"28"	"249"	"152"	"14"	"2"	"3"	"12"	"7"	"5"	"10"	"9"	"10"	"26"	"887"
"7"	"3"	"231"	"47"	"302"	"45"	"7"	"3"	"4"	"3"	"5"	"13"	"2"	"3"	"7"	"9"	"681"
"8"	"4"	"207"	"32"	"669"	"21"	"6"	"6"	"7"	"16"	"11"	"10"	"6"	"7"	"6"	"21"	"1025"
"9"	"5"	"432"	"12"	"362"	"20"	"3"	"1"	"6"	"5"	"3"	"7"	"5"	"13"	"10"	"36"	"915"
"10"	"6"	"513"	"18"	"20"	"7"	"32"	"2"	"3"	"4"	"2"	"1"	"1"	"1"	"4"	"23"	"631"
"11"	"7"	"229"	"12"	"21"	"5"	"51"	"2"	"0"	"3"	"2"	"0"	"1"	"3"	"1"	"5"	"335"
"12"	"8"	"323"	"25"	"223"	"23"	"4"	"2"	"8"	"8"	"9"	"4"	"11"	"11"	"16"	"48"	"715"
"13"	"9"	"186"	"23"	"56"	"63"	"1"	"1"	"5"	"7"	"1"	"1"	"2"	"2"	"2"	"72"	"422"
"14"	"10"	"205"	"36"	"240"	"169"	"70"	"5"	"9"	"4"	"4"	"7"	"6"	"3"	"12"	"37"	"807"
"15"	"11"	"474"	"10"	"64"	"146"	"3"	"5"	"10"	"8"	"8"	"6"	"13"	"12"	"18"	"70"	"847"
"16"	"12"	"613"	"61"	"4"	"79"	"48"	"3"	"1"	"5"	"6"	"4"	"3"	"3"	"4"	"53"	"887"
"17"	"13"	"22"	"14"	"272"	"40"	"3"	"2"	"5"	"1"	"2"	"6"	"6"	"8"	"15"	"275"	"671"
"18"	"14"	"241"	"9"	"218"	"41"	"5"	"2"	"6"	"4"	"6"	"2"	"3"	"11"	"15"	"148"	"711"
"19"	"Round
Total"	"4260"	"347"	"3220"	"847"	"252"	"44"	"79"	"91"	"87"	"75"	"79"	"106"	"138"	"857"	"10482"
"20"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"23"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"24"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"26"	"Round - 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"15"	"55"	"7"	"18"	"1"	"9"	"2"	"0"	"1"	"1"	"2"	"1"	"8"	"17"	"493"	"615"
"28"	"16"	"200"	"23"	"3"	"17"	"3"	"4"	"1"	"4"	"4"	"2"	"5"	"8"	"27"	"301"	"602"
"29"	"17"	"415"	"8"	"79"	"40"	"1"	"3"	"3"	"2"	"3"	"5"	"1"	"3"	"1"	"37"	"601"
"30"	"18"	"158"	"12"	"219"	"9"	"9"	"1"	"5"	"5"	"1"	"4"	"4"	"8"	"8"	"209"	"652"
"31"	"19"	"408"	"9"	"6"	"6"	"6"	"33"	"1"	"4"	"1"	"1"	"3"	"2"	"3"	"26"	"509"
"32"	"20"	"138"	"15"	"369"	"32"	"4"	"3"	"13"	"11"	"11"	"8"	"11"	"14"	"17"	"54"	"700"
"33"	"21"	"413"	"39"	"206"	"25"	"6"	"4"	"7"	"11"	"10"	"4"	"5"	"15"	"8"	"29"	"782"
"34"	"22"	"69"	"12"	"299"	"21"	"4"	"2"	"5"	"3"	"2"	"2"	"0"	"5"	"1"	"3"	"428"
"35"	"23"	"352"	"17"	"200"	"19"	"5"	"4"	"8"	"10"	"5"	"6"	"3"	"14"	"7"	"40"	"690"
"36"	"24"	"333"	"26"	"121"	"16"	"3"	"2"	"5"	"6"	"11"	"7"	"6"	"7"	"6"	"18"	"567"
"37"	"25"	"206"	"13"	"105"	"154"	"7"	"2"	"4"	"5"	"3"	"8"	"4"	"6"	"7"	"17"	"541"
"38"	"26"	"31"	"14"	"302"	"74"	"5"	"2"	"10"	"2"	"9"	"5"	"6"	"15"	"7"	"16"	"498"
"39"	"27"	"291"	"31"	"104"	"77"	"7"	"2"	"5"	"5"	"5"	"4"	"6"	"6"	"17"	"26"	"586"
"40"	"28"	"87"	"13"	"373"	"120"	"8"	"2"	"8"	"10"	"9"	"10"	"4"	"9"	"19"	"25"	"697"
"41"	"Round
Total"	"3156"	"239"	"2404"	"611"	"77"	"66"	"75"	"79"	"75"	"68"	"59"	"120"	"145"	"1294"	"8468"
"42"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"45"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"46"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"48"	"Round - 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"29"	"453"	"24"	"151"	"55"	"8"	"4"	"10"	"0"	"4"	"5"	"2"	"5"	"5"	"25"	"751"
"50"	"30"	"473"	"15"	"148"	"76"	"2"	"5"	"4"	"5"	"3"	"6"	"9"	"2"	"5"	"11"	"764"
"51"	"31"	"86"	"14"	"568"	"34"	"8"	"1"	"9"	"6"	"8"	"4"	"3"	"3"	"2"	"13"	"759"
"52"	"32"	"187"	"10"	"474"	"26"	"7"	"5"	"4"	"8"	"18"	"5"	"8"	"10"	"7"	"49"	"818"
"53"	"33"	"296"	"9"	"370"	"49"	"5"	"0"	"2"	"6"	"24"	"5"	"7"	"6"	"5"	"16"	"800"
"54"	"34"	"126"	"11"	"529"	"32"	"4"	"2"	"5"	"3"	"20"	"3"	"4"	"4"	"4"	"15"	"762"
"55"	"35"	"140"	"15"	"426"	"50"	"3"	"2"	"2"	"4"	"8"	"6"	"1"	"11"	"0"	"11"	"679"
"56"	"36"	"276"	"20"	"457"	"31"	"6"	"3"	"10"	"7"	"20"	"5"	"10"	"6"	"26"	"32"	"909"
"57"	"37"	"104"	"14"	"656"	"39"	"4"	"2"	"6"	"4"	"7"	"2"	"5"	"4"	"11"	"19"	"877"
"58"	"38"	"366"	"14"	"481"	"29"	"6"	"2"	"4"	"2"	"4"	"1"	"4"	"2"	"9"	"8"	"932"
"59"	"39"	"33"	"15"	"483"	"23"	"3"	"2"	"6"	"2"	"4"	"1"	"0"	"8"	"3"	"11"	"594"
"60"	"40"	"486"	"22"	"151"	"88"	"12"	"6"	"9"	"14"	"18"	"6"	"4"	"9"	"8"	"27"	"860"
"61"	"41"	"295"	"15"	"348"	"33"	"11"	"4"	"4"	"10"	"17"	"3"	"8"	"7"	"21"	"42"	"818"
"62"	"42"	"176"	"5"	"301"	"23"	"2"	"3"	"8"	"6"	"17"	"6"	"5"	"11"	"16"	"28"	"607"
"63"	"Round
Total"	"3497"	"203"	"5543"	"588"	"81"	"41"	"83"	"77"	"172"	"58"	"70"	"88"	"122"	"307"	"10930"
"64"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"67"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"68"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"70"	"Round - 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"43"	"37"	"3"	"404"	"24"	"1"	"1"	"3"	"2"	"29"	"1"	"3"	"10"	"6"	"18"	"542"
"72"	"44"	"344"	"51"	"384"	"45"	"10"	"4"	"5"	"14"	"10"	"5"	"3"	"12"	"15"	"16"	"918"
"73"	"45"	"150"	"11"	"460"	"92"	"2"	"2"	"18"	"16"	"22"	"9"	"4"	"16"	"15"	"30"	"847"
"74"	"46"	"465"	"28"	"160"	"13"	"45"	"1"	"3"	"5"	"5"	"2"	"4"	"13"	"14"	"43"	"801"
"75"	"47"	"265"	"15"	"384"	"25"	"4"	"2"	"6"	"5"	"12"	"6"	"9"	"21"	"11"	"43"	"808"
"76"	"48"	"289"	"16"	"237"	"71"	"31"	"2"	"7"	"4"	"11"	"0"	"2"	"0"	"14"	"9"	"693"
"77"	"49"	"312"	"27"	"375"	"14"	"4"	"6"	"8"	"7"	"11"	"59"	"2"	"10"	"7"	"11"	"853"
"78"	"50"	"359"	"10"	"357"	"20"	"8"	"6"	"4"	"6"	"6"	"1"	"2"	"4"	"7"	"7"	"797"
"79"	"51"	"510"	"6"	"217"	"11"	"2"	"3"	"3"	"5"	"5"	"2"	"5"	"4"	"6"	"18"	"797"
"80"	"52"	"432"	"15"	"163"	"22"	"3"	"4"	"14"	"12"	"6"	"5"	"1"	"5"	"2"	"10"	"694"
"81"	"53"	"93"	"14"	"571"	"26"	"0"	"4"	"9"	"3"	"4"	"2"	"0"	"4"	"1"	"9"	"740"
