"Candidates.Name"	"IRSHAD.AHMAD.KHAN"	"OMPRAKASH.MEHTA"	"DILIP.KUMAR.YADAV"	"RAJKUMAR.ORAON"	"LESHI.SINGH"	"SHIVCHARAN.MEHTA"	"NAVIN.KR..MAHTO"	"PATWARI.HANSDA"	"YAMUNA.PD..MURMU"	"LAKSHMAN.MANDAL"	"UPENDRA.NATH.SAGAR"	"CHANDRADEV.PASWAN"	"NAVIN.KUMAR.SINGH"	"MD..NAUSAD"	"PRAFUL.CHANDRA.ROY"	"BALRAM.SINGH"	"BHAVENDRA.KUMAR"	"YOGENDRA.SINGH"	"VINAY.KUMAR.PODDAR"	"Total.Valid.Votes"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"3"	"1"	"82"	"8"	"80"	"6"	"431"	"13"	"7"	"62"	"13"	"4"	"11"	"25"	"67"	"11"	"10"	"14"	"7"	"3"	"7"	"861"
"4"	"2"	"39"	"9"	"157"	"15"	"302"	"9"	"1"	"50"	"5"	"3"	"7"	"7"	"2"	"5"	"4"	"8"	"10"	"11"	"4"	"648"
"5"	"3"	"9"	"7"	"168"	"5"	"231"	"8"	"0"	"51"	"7"	"3"	"8"	"18"	"95"	"5"	"4"	"22"	"5"	"2"	"4"	"652"
"6"	"4"	"6"	"6"	"97"	"42"	"244"	"10"	"1"	"45"	"8"	"5"	"10"	"18"	"82"	"8"	"5"	"20"	"2"	"4"	"14"	"627"
"7"	"5"	"3"	"1"	"119"	"5"	"122"	"12"	"4"	"30"	"3"	"2"	"6"	"27"	"204"	"16"	"0"	"18"	"4"	"2"	"7"	"585"
"8"	"6"	"165"	"3"	"73"	"20"	"231"	"6"	"2"	"7"	"3"	"0"	"2"	"3"	"0"	"19"	"4"	"7"	"1"	"1"	"3"	"550"
"9"	"7"	"24"	"13"	"64"	"14"	"277"	"5"	"3"	"31"	"9"	"1"	"11"	"9"	"94"	"132"	"6"	"13"	"0"	"1"	"4"	"711"
"10"	"8"	"9"	"4"	"106"	"106"	"286"	"6"	"1"	"44"	"10"	"1"	"15"	"19"	"8"	"25"	"5"	"14"	"7"	"3"	"9"	"678"
"11"	"9"	"68"	"1"	"88"	"6"	"144"	"2"	"1"	"14"	"4"	"0"	"3"	"5"	"6"	"369"	"8"	"7"	"3"	"1"	"3"	"733"
"12"	"10"	"6"	"10"	"320"	"8"	"306"	"5"	"1"	"49"	"2"	"2"	"5"	"14"	"6"	"11"	"9"	"12"	"2"	"1"	"6"	"775"
"13"	"11"	"9"	"14"	"85"	"9"	"479"	"8"	"3"	"70"	"7"	"5"	"20"	"34"	"72"	"14"	"2"	"9"	"2"	"2"	"7"	"851"
"14"	"12"	"14"	"5"	"341"	"13"	"433"	"6"	"2"	"35"	"3"	"0"	"10"	"14"	"5"	"14"	"11"	"18"	"13"	"4"	"5"	"946"
