"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 135---Morwa CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 135-MORWA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Assembly Constituency :135---Morwa                                                                                                                                                                                               No of Voters :198063"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Candidates  Name -
---->"	"ASHOK SINGH"	"NAGMANI"	"BAIDHNATH SAHANI"	"SHISHIR KUMAR"	"SANTOSH KUMAR"	"CHANDRESHWAR PANDEY"	"DINESH RAI"	"PRASHANT KUMAR"	"MAHMAD MUSLAM"	"RAJIV RANJAN"	"RAM YATAN ROY"	"WAKIL CHAUDHARY"	"SANJAY KUMAR SINGH"	"ARJUN SAHANI"	"DILIP KUMAR THAKUR"	"BHUPENDRA PRASAD"	"MANOJ KUMAR RAI"	"MOHAN PAUL"	"SHWETA KUMARI"	"Total Valid Votes"
"9"	"BOOTH NO"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
