"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"6"	"1"	"79"	"33"	"7"	"5"	"155"	"5"	"182"	"2"	"132"	"4"	"84"	"688"
"7"	"2"	"27"	"71"	"19"	"6"	"26"	"2"	"224"	"9"	"48"	"8"	"17"	"457"
"8"	"3"	"119"	"13"	"29"	"33"	"267"	"4"	"121"	"7"	"8"	"8"	"9"	"618"
"9"	"4"	"154"	"15"	"36"	"106"	"36"	"5"	"318"	"14"	"94"	"8"	"25"	"811"
"10"	"5"	"7"	"7"	"4"	"12"	"426"	"8"	"14"	"3"	"4"	"6"	"8"	"499"
"11"	"5A"	"40"	"23"	"2"	"56"	"270"	"6"	"137"	"4"	"5"	"5"	"5"	"553"
"12"	"6"	"22"	"31"	"12"	"101"	"221"	"8"	"74"	"9"	"143"	"5"	"37"	"663"
"13"	"7"	"13"	"1"	"4"	"16"	"25"	"1"	"348"	"12"	"198"	"6"	"16"	"640"
"14"	"8"	"29"	"2"	"93"	"38"	"56"	"3"	"281"	"12"	"50"	"4"	"13"	"581"
"15"	"9"	"5"	"4"	"3"	"19"	"234"	"7"	"191"	"7"	"86"	"2"	"13"	"571"
"16"	"10"	"8"	"12"	"4"	"85"	"587"	"18"	"42"	"6"	"5"	"2"	"12"	"781"
"17"	"11"	"109"	"75"	"18"	"213"	"8"	"3"	"69"	"12"	"218"	"5"	"18"	"748"
"18"	"12"	"184"	"15"	"14"	"13"	"357"	"7"	"88"	"10"	"72"	"3"	"12"	"775"
"19"	"13"	"230"	"77"	"17"	"35"	"268"	"11"	"22"	"9"	"17"	"4"	"13"	"703"
"20"	"14"	"152"	"9"	"2"	"0"	"66"	"3"	"49"	"6"	"39"	"4"	"7"	"337"
"21"	"15"	"169"	"30"	"4"	"29"	"272"	"5"	"118"	"5"	"74"	"8"	"3"	"717"
"22"	"16"	"125"	"7"	"4"	"32"	"375"	"2"	"99"	"13"	"10"	"3"	"12"	"682"
"23"	"17"	"238"	"15"	"12"	"38"	"22"	"3"	"149"	"4"	"121"	"4"	"9"	"615"
