"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"2"	"1"	"42"	"16"	"9"	"25"	"36"	"6"	"8"	"9"	"12"	"10"	"22"	"479"	"61"	"735"	"0"	"735"	"0"
"3"	"2"	"57"	"4"	"5"	"4"	"10"	"2"	"3"	"0"	"2"	"1"	"0"	"81"	"6"	"175"	"0"	"175"	"0"
"4"	"3"	"9"	"2"	"0"	"3"	"30"	"0"	"0"	"2"	"4"	"2"	"15"	"272"	"24"	"363"	"0"	"363"	"0"
"5"	"4"	"16"	"1"	"0"	"5"	"53"	"1"	"4"	"2"	"4"	"4"	"8"	"180"	"13"	"291"	"0"	"291"	"0"
"6"	"5"	"21"	"3"	"3"	"6"	"39"	"2"	"1"	"0"	"2"	"2"	"15"	"222"	"23"	"339"	"0"	"339"	"0"
"7"	"6"	"475"	"5"	"6"	"7"	"5"	"4"	"3"	"1"	"2"	"5"	"9"	"151"	"15"	"688"	"0"	"688"	"0"
"8"	"7"	"76"	"2"	"2"	"1"	"22"	"0"	"3"	"0"	"0"	"2"	"4"	"114"	"5"	"231"	"0"	"231"	"0"
"9"	"8"	"55"	"9"	"2"	"5"	"88"	"4"	"5"	"2"	"6"	"7"	"12"	"428"	"32"	"655"	"0"	"655"	"0"
"10"	"9"	"36"	"1"	"0"	"1"	"15"	"2"	"0"	"2"	"2"	"0"	"6"	"297"	"39"	"401"	"0"	"401"	"0"
