"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…87 - Jale"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 241909"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"8"	""	""	"Anil Ram"	"Aftab Alam"	"Ahmad Ali
Tamann e"	"Ir fanurahm an"	"Ramn iwas Pd."	""	"Vijay Kumar Mishra"	"Chandra Bhushan Pratap
Singh"	"Lal  Babu Yadav"	"Amitabh Jha"	"Jiwesh Kumar"	"Md. Nasim Haidar"	"Prabhash Kumar
Jha"	""	"Rajeev Kumar Ranjan"	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	"19"	""
"10"	"1"	"1"	"4"	"0"	"25"	"6"	"9"	""	"63"	"5"	"1"	"7"	"262"	"7"	"2"	""	"6"	"397"	"-"	"397"	""	""
"11"	"2"	"2"	"12"	"7"	"260"	"10"	"4"	""	"70"	"5"	"6"	"4"	"91"	"7"	"13"	""	"12"	"501"	"-"	"501"	""	""
"12"	"3"	"3"	"20"	"11"	"201"	"8"	"51"	""	"319"	"4"	"3"	"5"	"12"	"9"	"12"	""	"10"	"665"	"-"	"665"	""	""
"13"	"4"	"4"	"17"	"12"	"49"	"4"	"48"	""	"307"	"11"	"6"	"3"	"19"	"2"	"1"	""	"3"	"482"	"-"	"482"	""	""
"14"	"5"	"5"	"2"	"7"	"96"	"4"	"68"	""	"307"	"3"	"1"	"2"	"9"	"10"	"5"	""	"7"	"521"	"-"	"521"	""	""
"15"	"6"	"6"	"2"	"3"	"20"	"3"	"10"	""	"264"	"3"	"2"	"1"	"3"	"4"	"2"	""	"4"	"321"	"-"	"321"	""	""
"16"	"7"	"7"	"20"	"4"	"49"	"3"	"64"	""	"483"	"9"	"7"	"1"	"4"	"8"	"4"	""	"7"	"663"	"-"	"663"	""	""
"17"	"8"	"8"	"4"	"29"	"150"	"5"	"248"	""	"75"	"1"	"1"	"1"	"2"	"1"	"2"	""	"2"	"521"	"-"	"521"	""	""
"18"	"9"	"9"	"4"	"8"	"41"	"4"	"239"	""	"71"	"6"	"3"	"3"	"1"	"5"	"17"	""	"20"	"422"	"-"	"422"	""	""
"19"	"10"	"10"	"6"	"2"	"28"	"8"	"421"	""	"86"	"10"	"12"	"10"	"7"	"7"	"23"	""	"11"	"631"	"-"	"631"	""	""
"20"	"11"	"11"	"7"	"5"	"15"	"4"	"269"	""	"92"	"3"	"3"	"4"	"2"	"1"	"12"	""	"8"	"425"	"-"	"425"	""	""
"21"	"12"	"12"	"3"	"4"	"33"	"7"	"227"	""	"128"	"4"	"9"	"9"	"21"	"9"	"21"	""	"20"	"495"	"-"	"495"	""	""
"22"	"13"	"13"	"6"	"9"	"141"	"10"	"216"	""	"145"	"7"	"6"	"4"	"25"	"6"	"8"	""	"14"	"597"	"-"	"597"	""	""
"23"	"14"	"14"	"8"	"4"	"164"	"3"	"83"	""	"244"	"5"	"5"	"4"	"3"	"8"	"14"	""	"16"	"561"	"-"	"561"	""	""
"24"	"15"	"15"	"4"	"8"	"291"	"5"	"159"	""	"34"	"4"	"1"	"2"	"2"	"3"	"10"	""	"8"	"531"	"-"	"531"	""	""
"25"	"16"	"16"	"8"	"2"	"66"	"9"	"265"	""	"192"	"7"	"2"	"6"	"10"	"14"	"16"	""	"15"	"612"	"-"	"612"	""	""
"26"	"17"	"17"	"12"	"5"	"66"	"7"	"105"	""	"337"	"6"	"8"	"2"	"1"	"4"	"7"	""	"8"	"568"	"-"	"568"	""	""
"27"	"18"	"18"	"3"	"3"	"19"	"6"	"94"	""	"311"	"10"	"3"	"5"	"3"	"7"	"6"	""	"6"	"476"	"-"	"476"	""	""
"28"	"19"	"19"	"6"	"17"	"42"	"5"	"145"	""	"293"	"25"	"7"	"2"	"6"	"5"	"11"	""	"7"	"571"	"-"	"571"	""	""
