"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 149---Khagaria CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :149---Khagaria                                                                                                                 No of Voters :198563"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates  Name BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	"DANGE PRASAD SINGH"	"POONAM DEVI YADAV"	"PRITI VERMA"	"RAJ KUMARI DEVI YADAV"	"SUSHILA DEVI"	"MD. HARUN RASID"	"AJAY KUMAR SINGH"	"RAJENDRA KUMAR VERMA"	"SADASHIV PRASAD JAISWAL"	"SUJAY KUMAR"	"JITENDRA KUMAR"	"DHARMENDRA KUMAR"	"VARSHA RANI"	"MD. SHAHAB UDDIN"	"SANJAY YADAV"	"Total Valid Votes"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"8"	"1"	"10"	"112"	"5"	"0"	"95"	"1"	"1"	"0"	"3"	"6"	"4"	"76"	"10"	"13"	"13"	"349"
"9"	"2"	"38"	"202"	"3"	"0"	"18"	"1"	"0"	"2"	"3"	"2"	"1"	"7"	"2"	"1"	"2"	"282"
"10"	"3"	"8"	"166"	"17"	"4"	"59"	"0"	"1"	"3"	"1"	"6"	"2"	"111"	"2"	"11"	"13"	"404"
"11"	"4"	"11"	"204"	"11"	"2"	"23"	"1"	"1"	"4"	"3"	"2"	"3"	"139"	"11"	"4"	"5"	"424"
"12"	"5"	"17"	"151"	"39"	"5"	"36"	"1"	"2"	"2"	"3"	"2"	"5"	"122"	"12"	"6"	"3"	"406"
"13"	"6"	"24"	"265"	"135"	"7"	"50"	"1"	"1"	"3"	"4"	"4"	"3"	"103"	"5"	"4"	"6"	"615"
"14"	"7"	"30"	"541"	"11"	"2"	"27"	"2"	"3"	"1"	"2"	"2"	"1"	"63"	"7"	"13"	"17"	"722"
"15"	"8"	"16"	"266"	"11"	"2"	"77"	"4"	"0"	"2"	"2"	"9"	"7"	"88"	"4"	"42"	"8"	"538"
"16"	"9"	"17"	"113"	"16"	"2"	"40"	"8"	"1"	"0"	"3"	"5"	"5"	"85"	"8"	"23"	"6"	"332"
"17"	"10"	"21"	"610"	"48"	"7"	"38"	"1"	"1"	"4"	"1"	"3"	"5"	"96"	"10"	"19"	"23"	"887"
"18"	"11"	"8"	"307"	"38"	"10"	"37"	"0"	"1"	"5"	"4"	"6"	"3"	"63"	"8"	"28"	"13"	"531"
"19"	"12"	"3"	"67"	"36"	"2"	"87"	"6"	"3"	"0"	"1"	"6"	"5"	"112"	"2"	"9"	"7"	"346"
"20"	"13"	"10"	"221"	"11"	"1"	"185"	"2"	"4"	"1"	"4"	"10"	"25"	"120"	"9"	"8"	"11"	"622"
"21"	"14"	"7"	"337"	"17"	"4"	"138"	"3"	"3"	"1"	"9"	"11"	"10"	"112"	"8"	"8"	"7"	"675"
"22"	"15"	"12"	"195"	"5"	"3"	"97"	"8"	"1"	"4"	"5"	"13"	"14"	"17"	"10"	"16"	"15"	"415"
"23"	"16"	"11"	"47"	"10"	"3"	"252"	"13"	"3"	"1"	"5"	"28"	"9"	"38"	"7"	"108"	"21"	"556"
"24"	"17"	"6"	"16"	"16"	"1"	"84"	"2"	"0"	"0"	"2"	"30"	"8"	"27"	"11"	"292"	"18"	"513"
"25"	"18"	"7"	"143"	"40"	"3"	"196"	"7"	"6"	"27"	"3"	"10"	"11"	"86"	"8"	"15"	"14"	"576"
"26"	"19"	"5"	"38"	"6"	"3"	"172"	"3"	"1"	"6"	"6"	"13"	"29"	"53"	"4"	"17"	"12"	"368"
"27"	"20"	"14"	"191"	"17"	"3"	"51"	"2"	"6"	"10"	"4"	"7"	"11"	"371"	"19"	"13"	"24"	"743"
"28"	"21"	"7"	"82"	"22"	"4"	"34"	"2"	"8"	"2"	"3"	"3"	"11"	"215"	"4"	"2"	"5"	"404"
"29"	"22"	"5"	"158"	"27"	"1"	"15"	"1"	"21"	"4"	"2"	"1"	"3"	"235"	"8"	"3"	"7"	"491"
"30"	"23"	"7"	"117"	"9"	"5"	"6"	"0"	"3"	"0"	"3"	"3"	"5"	"226"	"3"	"5"	"6"	"398"
"31"	"24"	"29"	"451"	"22"	"5"	"90"	"5"	"7"	"4"	"6"	"11"	"13"	"43"	"16"	"18"	"58"	"778"
"32"	"25"	"24"	"172"	"4"	"2"	"144"	"42"	"3"	"6"	"3"	"14"	"14"	"28"	"12"	"66"	"21"	"555"
"33"	"26"	"66"	"398"	"24"	"2"	"31"	"13"	"1"	"1"	"3"	"3"	"5"	"71"	"15"	"21"	"34"	"688"
