"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…82 - Darbhanga Rural Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 223198"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"9"	""	""	"Abdul Hadi
Siddiqui"	"Ashraf Hussain"	"Md. Tarikul Islam"	"Narendra Ku mar
Jha"	""	"Lalit Ku mar Yadav"	"Badre Alam"	"Shanichri Devi"	"Ashok Ku mar"	"Ganeshi Sahu"	"Dr. Chaudhry Chandramani Nagendra"	"Dhu ruv Narayan Jha"	"Madan Ku mar Yadav"	"Vinod Ku mar Mahto"	""	"Shamshad Ahmad Khan"	"Sanjay Ku mar Jha"	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	""
"11"	"1"	"1"	"17"	"64"	"8"	"3"	""	"337"	"11"	"3"	"6"	"3"	"25"	"25"	"4"	"6"	""	"11"	"6"	"529"	"-"	"529"	""	""
"12"	"2"	"2"	"8"	"101"	"3"	"13"	""	"52"	"3"	"3"	"7"	"1"	"62"	"4"	"2"	"6"	""	"1"	"2"	"268"	"-"	"268"	""	""
"13"	"3"	"3"	"15"	"88"	"2"	"6"	""	"153"	"5"	"1"	"6"	"4"	"46"	"7"	"7"	"3"	""	"5"	"4"	"352"	"-"	"352"	""	""
"14"	"4"	"4"	"20"	"29"	"1"	"48"	""	"17"	"0"	"2"	"2"	"2"	"46"	"3"	"2"	"2"	""	"5"	"1"	"180"	"-"	"180"	""	""
"15"	"5"	"5"	"4"	"37"	"2"	"1"	""	"198"	"7"	"3"	"6"	"2"	"42"	"4"	"16"	"2"	""	"2"	"3"	"329"	"-"	"329"	""	""
"16"	"6"	"5A"	"5"	"31"	"2"	"3"	""	"249"	"3"	"1"	"3"	"1"	"58"	"9"	"22"	"4"	""	"8"	"7"	"406"	"-"	"406"	""	""
"17"	"7"	"6"	"8"	"54"	"1"	"2"	""	"157"	"5"	"4"	"3"	"2"	"47"	"9"	"0"	"1"	""	"3"	"9"	"305"	"-"	"305"	""	""
"18"	"8"	"7"	"14"	"99"	"5"	"8"	""	"187"	"9"	"13"	"20"	"9"	"28"	"32"	"27"	"5"	""	"19"	"20"	"495"	"-"	"495"	""	""
"19"	"9"	"8"	"46"	"17"	"0"	"1"	""	"164"	"6"	"1"	"2"	"3"	"12"	"3"	"11"	"2"	""	"3"	"3"	"274"	"-"	"274"	""	""
"20"	"10"	"9"	"20"	"29"	"2"	"2"	""	"64"	"2"	"1"	"1"	"3"	"45"	"2"	"1"	"1"	""	"0"	"2"	"175"	"-"	"175"	""	""
"21"	"11"	"10"	"6"	"27"	"0"	"2"	""	"226"	"6"	"0"	"22"	"1"	"38"	"5"	"24"	"5"	""	"5"	"4"	"371"	"-"	"371"	""	""
"22"	"12"	"11"	"13"	"67"	"0"	"6"	""	"81"	"3"	"4"	"33"	"0"	"18"	"2"	"0"	"5"	""	"1"	"4"	"237"	"-"	"237"	""	""
"23"	"13"	"12"	"15"	"22"	"1"	"2"	""	"222"	"1"	"10"	"67"	"6"	"87"	"14"	"12"	"2"	""	"3"	"10"	"474"	"-"	"474"	""	""
"24"	"14"	"13"	"43"	"78"	"6"	"7"	""	"427"	"21"	"33"	"17"	"6"	"115"	"14"	"26"	"3"	""	"20"	"19"	"835"	"-"	"835"	""	""
"25"	"15"	"14"	"6"	"6"	"3"	"1"	""	"574"	"7"	"8"	"2"	"1"	"12"	"4"	"36"	"3"	""	"2"	"12"	"677"	"-"	"677"	""	""
"26"	"16"	"15"	"68"	"104"	"3"	"4"	""	"206"	"8"	"2"	"3"	"1"	"16"	"16"	"6"	"8"	""	"15"	"20"	"480"	"-"	"480"	""	""
"27"	"17"	"16"	"36"	"59"	"9"	"5"	""	"155"	"9"	"39"	"15"	"3"	"41"	"7"	"46"	"12"	""	"6"	"9"	"451"	"-"	"451"	""	""
"28"	"18"	"17"	"15"	"38"	"3"	"5"	""	"176"	"8"	"25"	"9"	"7"	"25"	"19"	"59"	"7"	""	"8"	"22"	"426"	"-"	"426"	""	""
"29"	"19"	"18"	"17"	"231"	"3"	"4"	""	"71"	"10"	"12"	"6"	"7"	"115"	"13"	"9"	"10"	""	"65"	"12"	"585"	"-"	"585"	""	""
"30"	"20"	"19"	"15"	"142"	"46"	"2"	""	"89"	"1"	"1"	"4"	"3"	"30"	"4"	"2"	"9"	""	"25"	"9"	"382"	"-"	"382"	""	""
"31"	"21"	"20"	"14"	"91"	"13"	"1"	""	"43"	"2"	"0"	"0"	"3"	"55"	"0"	"3"	"1"	""	"76"	"3"	"305"	"-"	"305"	""	""
"32"	"22"	"20A"	"19"	"120"	"3"	"1"	""	"70"	"6"	"2"	"2"	"1"	"16"	"4"	"2"	"2"	""	"46"	"2"	"296"	"-"	"296"	""	""
"33"	"23"	"21"	"20"	"179"	"14"	"5"	""	"112"	"3"	"5"	"4"	"2"	"32"	"4"	"0"	"1"	""	"4"	"3"	"388"	"-"	"388"	""	""
"34"	"24"	"22"	"14"	"134"	"12"	"2"	""	"109"	"2"	"13"	"12"	"3"	"7"	"8"	"1"	"4"	""	"13"	"10"	"344"	"-"	"344"	""	""
"35"	"25"	"23"	"39"	"93"	"8"	"2"	""	"71"	"2"	"5"	"2"	"3"	"6"	"7"	"3"	"7"	""	"142"	"10"	"400"	"-"	"400"	""	""
"36"	"26"	"24"	"53"	"113"	"3"	"2"	""	"75"	"5"	"9"	"40"	"3"	"35"	"3"	"3"	"5"	""	"8"	"10"	"367"	"-"	"367"	""	""
"37"	"27"	"25"	"22"	"90"	"1"	"5"	""	"228"	"7"	"3"	"11"	"4"	"15"	"2"	"3"	"1"	""	"10"	"3"	"405"	"-"	"405"	""	""
"38"	"28"	"26"	"7"	"168"	"1"	"2"	""	"16"	"2"	"1"	"5"	"4"	"14"	"5"	"2"	"5"	""	"9"	"6"	"247"	"-"	"247"	""	""
"39"	"29"	"27"	"13"	"102"	"7"	"1"	""	"228"	"3"	"3"	"0"	"2"	"38"	"6"	"2"	"1"	""	"13"	"0"	"419"	"-"	"419"	""	""
"40"	"30"	"28"	"26"	"60"	"2"	"3"	""	"156"	"5"	"7"	"1"	"3"	"7"	"9"	"40"	"6"	""	"7"	"14"	"346"	"-"	"346"	""	""
"41"	"31"	"29"	"74"	"218"	"20"	"7"	""	"111"	"5"	"33"	"19"	"6"	"18"	"7"	"5"	"0"	""	"10"	"7"	"540"	"-"	"540"	""	""
"42"	"32"	"30"	"7"	"19"	"200"	"3"	""	"46"	"3"	"1"	"3"	"0"	"26"	"1"	"2"	"7"	""	"0"	"2"	"320"	"-"	"320"	""	""
"43"	"33"	"31"	"13"	"20"	"185"	"14"	""	"113"	"2"	"1"	"2"	"0"	"8"	"1"	"2"	"6"	""	"13"	"1"	"381"	"-"	"381"	""	""
