"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 123---Hajipur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of Voters :234880"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :123---Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"8"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"10"	"1"	"3"	"8"	"290"	"8"	"3"	"55"	"4"	"3"	"2"	"1"	"3"	"0"	"2"	"1"	"41"	"4"	"1"	"6"	"10"	"0"	"3"	"1"	"0"	"2"	"451"
