"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X241638.97.241735.37.Rajnagar..SC."	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"2"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"4"	"1"	"151"	"227"	"77"	"3"	"13"	"1"	"5"	"9"	"7"	"9"	"502"	""	"502"	""	""
"5"	"2"	"45"	"46"	"115"	"8"	"2"	"0"	"4"	"8"	"6"	"11"	"245"	""	"245"	""	""
"6"	"3"	"161"	"336"	"82"	"10"	"21"	"2"	"1"	"5"	"3"	"7"	"628"	""	"628"	""	""
"7"	"4"	"34"	"149"	"179"	"9"	"12"	"11"	"9"	"16"	"20"	"31"	"470"	""	"470"	""	""
"8"	"5"	"65"	"122"	"347"	"20"	"9"	"10"	"6"	"7"	"5"	"7"	"598"	""	"598"	""	""
"9"	"6"	"31"	"126"	"156"	"5"	"2"	"3"	"3"	"3"	"5"	"2"	"336"	""	"336"	""	""
"10"	"7"	"33"	"94"	"85"	"5"	"15"	"0"	"6"	"3"	"6"	"12"	"259"	""	"259"	""	""
"11"	"8"	"100"	"29"	"288"	"13"	"5"	"5"	"4"	"12"	"9"	"10"	"475"	""	"475"	""	""
"12"	"9"	"43"	"103"	"313"	"19"	"2"	"0"	"3"	"10"	"6"	"17"	"516"	""	"516"	""	""
"13"	"10"	"96"	"53"	"169"	"1"	"4"	"2"	"4"	"5"	"7"	"11"	"352"	""	"352"	""	""
"14"	"11"	"173"	"176"	"31"	"5"	"5"	"5"	"1"	"6"	"14"	"12"	"428"	""	"428"	""	""
"15"	"12"	"120"	"337"	"153"	"12"	"14"	"14"	"13"	"16"	"9"	"17"	"705"	""	"705"	""	""
"16"	"13"	"132"	"257"	"166"	"17"	"8"	"5"	"10"	"17"	"11"	"8"	"631"	""	"631"	""	""
"17"	"14"	"335"	"196"	"116"	"11"	"10"	"11"	"8"	"10"	"7"	"9"	"713"	""	"713"	""	""
"18"	"Total -1"	"1519"	"2251"	"2277"	"138"	"122"	"69"	"77"	"127"	"115"	"163"	"6858"	"0"	"6858"	""	"0"
"19"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"20"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"21"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"23"	"B.F."	"1519"	"2251"	"2277"	"138"	"122"	"69"	"77"	"127"	"115"	"163"	"6858"	"0"	"6858"	""	""
"24"	"15"	"60"	"273"	"32"	"4"	"4"	"5"	"11"	"7"	"14"	"9"	"419"	""	"419"	""	""
"25"	"16"	"49"	"108"	"66"	"4"	"0"	"0"	"5"	"2"	"3"	"4"	"241"	""	"241"	""	""
"26"	"17"	"103"	"149"	"228"	"8"	"5"	"6"	"4"	"3"	"5"	"9"	"520"	""	"520"	""	""
"27"	"18"	"77"	"218"	"311"	"24"	"10"	"4"	"13"	"21"	"23"	"24"	"725"	""	"725"	""	""
"28"	"19"	"28"	"162"	"90"	"7"	"7"	"4"	"1"	"5"	"6"	"7"	"317"	""	"317"	""	""
"29"	"20"	"35"	"305"	"112"	"13"	"8"	"10"	"11"	"13"	"19"	"27"	"553"	""	"553"	""	""
"30"	"21"	"17"	"597"	"83"	"9"	"3"	"9"	"3"	"5"	"7"	"11"	"744"	""	"744"	""	""
"31"	"22"	"89"	"92"	"90"	"3"	"2"	"6"	"5"	"3"	"6"	"10"	"306"	""	"306"	""	""
