"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.Valid.Votes"
"1"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"2"	"1"	"108"	"281"	"2"	"0"	"7"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"4"	"8"	"413"
"3"	"2"	"50"	"418"	"4"	"6"	"28"	"1"	"2"	"53"	"1"	"8"	"1"	"2"	"13"	"31"	"618"
"4"	"3"	"141"	"124"	"4"	"4"	"80"	"2"	"1"	"7"	"1"	"5"	"1"	"1"	"1"	"5"	"377"
"5"	"4"	"151"	"143"	"4"	"5"	"24"	"2"	"4"	"1"	"0"	"3"	"3"	"5"	"8"	"14"	"367"
"6"	"5"	"205"	"33"	"1"	"2"	"4"	"0"	"0"	"0"	"2"	"4"	"1"	"1"	"3"	"9"	"265"
"7"	"6"	"14"	"267"	"1"	"0"	"16"	"0"	"0"	"1"	"0"	"6"	"1"	"1"	"8"	"10"	"325"
"8"	"7"	"33"	"157"	"1"	"10"	"145"	"5"	"6"	"3"	"4"	"2"	"0"	"3"	"6"	"9"	"384"
"9"	"8"	"82"	"214"	"2"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"5"	"310"
"10"	"9"	"186"	"103"	"1"	"12"	"6"	"1"	"0"	"1"	"0"	"3"	"2"	"2"	"6"	"19"	"342"
"11"	"10"	"100"	"184"	"3"	"29"	"2"	"1"	"0"	"3"	"0"	"6"	"2"	"2"	"12"	"22"	"366"
"12"	"11"	"34"	"361"	"2"	"2"	"3"	"0"	"0"	"2"	"1"	"3"	"0"	"0"	"4"	"8"	"420"
"13"	"12"	"298"	"20"	"1"	"1"	"0"	"2"	"0"	"0"	"2"	"1"	"1"	"2"	"3"	"12"	"343"
"14"	"13"	"100"	"254"	"4"	"1"	"51"	"3"	"2"	"0"	"2"	"3"	"1"	"1"	"5"	"14"	"441"
"15"	"14"	"162"	"125"	"2"	"48"	"1"	"1"	"0"	"0"	"0"	"14"	"2"	"0"	"2"	"12"	"369"
"16"	"15"	"216"	"380"	"4"	"11"	"23"	"1"	"3"	"7"	"5"	"7"	"0"	"8"	"13"	"35"	"713"
"17"	"16"	"75"	"122"	"2"	"7"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"6"	"7"	"223"
"18"	"17"	"380"	"79"	"4"	"5"	"3"	"3"	"2"	"1"	"3"	"2"	"3"	"1"	"5"	"19"	"510"
"19"	"18"	"212"	"179"	"5"	"3"	"11"	"1"	"1"	"0"	"0"	"0"	"2"	"7"	"4"	"7"	"432"
"20"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
