"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assembly Constituency - 2010 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electers in Assembly Constituency :- 231841"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. & Name of Assembly Constituency - 220 Obra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"7"	"220"	"1"	""	"23"	"1"	"128"	"5"	"121"	"35"	"3"	"10"	"1"	"5"	"23"	"355"	"1"
"8"	"220"	"1"	"A"	"11"	"3"	"311"	"9"	"43"	"125"	"7"	"8"	"8"	"15"	"42"	"582"	"2"
"9"	"220"	"2"	""	"43"	"4"	"323"	"7"	"69"	"196"	"6"	"13"	"3"	"12"	"33"	"709"	"3"
"10"	"220"	"3"	""	"24"	"5"	"189"	"2"	"66"	"186"	"8"	"4"	"15"	"14"	"142"	"655"	"4"
"11"	"220"	"4"	""	"66"	"4"	"241"	"1"	"85"	"267"	"5"	"7"	"4"	"18"	"43"	"741"	"5"
"12"	"220"	"5"	""	"30"	"2"	"230"	"6"	"112"	"89"	"6"	"10"	"10"	"14"	"55"	"564"	"6"
"13"	"220"	"6"	""	"8"	"1"	"139"	"2"	"79"	"39"	"1"	"7"	"9"	"13"	"43"	"341"	"7"
"14"	"220"	"7"	""	"31"	"3"	"283"	"4"	"122"	"126"	"7"	"19"	"11"	"18"	"34"	"658"	"8"
"15"	"220"	"8"	""	"48"	"4"	"484"	"5"	"56"	"70"	"5"	"12"	"21"	"17"	"15"	"737"	"9"
"16"	"220"	"9"	""	"40"	"0"	"619"	"6"	"50"	"36"	"2"	"14"	"3"	"6"	"12"	"788"	"10"
"17"	"220"	"10"	""	"24"	"2"	"339"	"2"	"19"	"74"	"7"	"5"	"5"	"13"	"24"	"514"	"11"
"18"	"220"	"11"	""	"13"	"1"	"215"	"7"	"18"	"51"	"7"	"13"	"5"	"13"	"16"	"359"	"12"
"19"	"220"	"12"	""	"47"	"2"	"252"	"8"	"152"	"203"	"7"	"11"	"3"	"20"	"63"	"768"	"13"
"20"	"220"	"13"	""	"16"	"6"	"196"	"5"	"13"	"58"	"5"	"5"	"3"	"12"	"28"	"347"	"14"
"21"	"220"	"14"	""	"52"	"5"	"446"	"11"	"15"	"136"	"15"	"15"	"11"	"22"	"51"	"779"	"15"
"22"	"220"	"15"	""	"35"	"11"	"591"	"10"	"12"	"45"	"6"	"17"	"9"	"22"	"14"	"772"	"16"
"23"	"220"	"16"	""	"145"	"5"	"387"	"9"	"24"	"25"	"8"	"7"	"5"	"14"	"10"	"639"	"17"
"24"	"220"	"17"	""	"5"	"2"	"426"	"6"	"19"	"15"	"6"	"56"	"12"	"11"	"18"	"576"	"18"
"25"	"220"	"18"	""	"14"	"1"	"314"	"8"	"41"	"12"	"2"	"8"	"9"	"9"	"37"	"455"	"19"
"26"	"220"	"19"	""	"47"	"3"	"357"	"5"	"66"	"35"	"3"	"15"	"6"	"11"	"35"	"583"	"20"
"27"	"220"	"20"	""	"53"	"2"	"366"	"4"	"33"	"30"	"3"	"6"	"2"	"3"	"26"	"528"	"21"
"28"	"220"	"21"	""	"43"	"5"	"425"	"24"	"34"	"59"	"6"	"8"	"3"	"13"	"52"	"672"	"22"
"29"	"220"	"22"	""	"3"	"0"	"39"	"2"	"98"	"3"	"0"	"1"	"0"	"2"	"56"	"204"	"23"
"30"	"220"	"23"	""	"28"	"10"	"240"	"4"	"103"	"79"	"13"	"10"	"12"	"17"	"193"	"709"	"24"
"31"	"220"	"24"	""	"8"	"2"	"32"	"7"	"194"	"117"	"5"	"10"	"5"	"10"	"393"	"783"	"25"
"32"	"220"	"25"	""	"20"	"1"	"288"	"9"	"42"	"131"	"7"	"7"	"8"	"29"	"85"	"627"	"26"
"33"	"220"	"26"	""	"13"	"3"	"252"	"5"	"126"	"231"	"8"	"8"	"6"	"12"	"35"	"699"	"27"
"34"	"220"	"27"	""	"53"	"8"	"312"	"7"	"57"	"6"	"1"	"9"	"5"	"7"	"17"	"482"	"28"
"35"	"220"	"28"	""	"35"	"0"	"181"	"2"	"35"	"4"	"1"	"7"	"4"	"4"	"16"	"289"	"29"
"36"	"220"	"29"	""	"182"	"4"	"177"	"4"	"47"	"6"	"2"	"11"	"8"	"7"	"16"	"464"	"30"
"37"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"38"	"220"	"30"	""	"125"	"5"	"196"	"11"	"214"	"16"	"12"	"19"	"9"	"12"	"86"	"705"	"31"
"39"	"220"	"31"	""	"15"	"0"	"141"	"3"	"138"	"110"	"3"	"7"	"9"	"11"	"66"	"503"	"32"
"40"	"220"	"32"	""	"264"	"5"	"187"	"12"	"92"	"29"	"6"	"12"	"13"	"13"	"21"	"654"	"33"
"41"	"220"	"33"	""	"233"	"4"	"38"	"3"	"46"	"83"	"9"	"5"	"3"	"19"	"8"	"451"	"34"
"42"	"220"	"34"	""	"41"	"5"	"225"	"8"	"86"	"92"	"12"	"7"	"8"	"22"	"45"	"551"	"35"
"43"	"220"	"35"	""	"153"	"1"	"266"	"5"	"9"	"120"	"2"	"8"	"12"	"8"	"35"	"619"	"36"
"44"	"220"	"36"	""	"190"	"4"	"71"	"2"	"4"	"84"	"6"	"4"	"0"	"4"	"2"	"371"	"37"
"45"	"220"	"37"	""	"192"	"0"	"14"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"38"
"46"	"220"	"38"	""	"21"	"1"	"62"	"41"	"93"	"13"	"1"	"3"	"3"	"4"	"166"	"408"	"39"
"47"	"220"	"39"	""	"63"	"2"	"137"	"3"	"40"	"60"	"5"	"7"	"10"	"14"	"98"	"439"	"40"
"48"	"220"	"40"	""	"132"	"2"	"203"	"4"	"57"	"47"	"2"	"4"	"5"	"9"	"29"	"494"	"41"
"49"	"220"	"41"	""	"40"	"4"	"136"	"5"	"51"	"52"	"0"	"3"	"2"	"1"	"22"	"316"	"42"
"50"	"220"	"42"	""	"20"	"2"	"213"	"13"	"94"	"157"	"4"	"8"	"7"	"8"	"37"	"563"	"43"
"51"	"220"	"43"	""	"28"	"1"	"244"	"9"	"171"	"115"	"6"	"2"	"6"	"9"	"18"	"609"	"44"
"52"	"220"	"44"	""	"13"	"1"	"126"	"1"	"16"	"188"	"2"	"2"	"5"	"12"	"6"	"372"	"45"
"53"	"220"	"45"	""	"140"	"1"	"189"	"6"	"133"	"99"	"5"	"9"	"5"	"6"	"49"	"642"	"46"
"54"	"220"	"46"	""	"63"	"5"	"103"	"13"	"36"	"23"	"0"	"0"	"1"	"1"	"9"	"254"	"47"
"55"	"220"	"47"	""	"24"	"2"	"281"	"7"	"60"	"57"	"10"	"14"	"14"	"18"	"78"	"565"	"48"
"56"	"220"	"48"	""	"3"	"2"	"142"	"5"	"8"	"366"	"7"	"5"	"6"	"14"	"21"	"579"	"49"
"57"	"220"	"49"	""	"9"	"1"	"352"	"3"	"48"	"13"	"4"	"5"	"10"	"11"	"12"	"468"	"50"
"58"	"220"	"50"	""	"57"	"5"	"248"	"13"	"149"	"134"	"5"	"6"	"2"	"18"	"83"	"720"	"51"
"59"	"220"	"51"	""	"78"	"3"	"246"	"5"	"39"	"55"	"1"	"4"	"7"	"10"	"30"	"478"	"52"
"60"	"220"	"52"	""	"64"	"1"	"97"	"2"	"45"	"112"	"4"	"8"	"11"	"7"	"152"	"503"	"53"
"61"	"220"	"53"	""	"48"	"5"	"222"	"7"	"13"	"107"	"5"	"1"	"6"	"10"	"156"	"580"	"54"
"62"	"220"	"54"	""	"18"	"2"	"149"	"2"	"48"	"96"	"3"	"7"	"5"	"8"	"93"	"431"	"55"
"63"	"220"	"55"	""	"18"	"3"	"158"	"4"	"62"	"89"	"4"	"1"	"8"	"19"	"88"	"454"	"56"
"64"	"220"	"56"	""	"4"	"0"	"171"	"1"	"71"	"39"	"4"	"2"	"3"	"4"	"193"	"492"	"57"
"65"	"220"	"57"	""	"126"	"1"	"266"	"4"	"4"	"16"	"1"	"1"	"6"	"7"	"48"	"480"	"58"
"66"	"220"	"58"	""	"14"	"3"	"95"	"5"	"62"	"57"	"5"	"5"	"2"	"6"	"195"	"449"	"59"
"67"	"220"	"59"	""	"199"	"4"	"252"	"11"	"22"	"12"	"1"	"6"	"11"	"8"	"32"	"558"	"60"
"68"	"220"	"60"	""	"46"	"4"	"92"	"4"	"186"	"10"	"10"	"8"	"10"	"10"	"410"	"790"	"61"
"69"	"220"	"61"	""	"15"	"4"	"320"	"1"	"85"	"16"	"5"	"8"	"2"	"11"	"152"	"619"	"62"
"70"	"220"	"62"	""	"8"	"1"	"101"	"2"	"219"	"27"	"2"	"0"	"0"	"5"	"244"	"609"	"63"
"71"	"220"	"63"	""	"30"	"6"	"74"	"3"	"19"	"414"	"7"	"3"	"1"	"14"	"108"	"679"	"64"
"72"	"220"	"64"	""	"15"	"17"	"143"	"0"	"50"	"274"	"8"	"5"	"5"	"20"	"117"	"654"	"65"
"73"	"220"	"65"	""	"25"	"7"	"157"	"18"	"201"	"140"	"13"	"5"	"12"	"6"	"113"	"697"	"66"
"74"	"220"	"66"	""	"13"	"1"	"51"	"1"	"72"	"30"	"2"	"3"	"3"	"8"	"107"	"291"	"67"
"75"	"220"	"67"	""	"42"	"3"	"167"	"15"	"129"	"88"	"5"	"10"	"1"	"6"	"51"	"517"	"68"
"76"	"220"	"68"	""	"12"	"3"	"275"	"9"	"52"	"95"	"3"	"10"	"2"	"15"	"38"	"514"	"69"
"77"	"220"	"69"	""	"16"	"12"	"104"	"13"	"210"	"11"	"7"	"11"	"7"	"19"	"351"	"761"	"70"
"78"	"220"	"70"	""	"127"	"2"	"169"	"2"	"29"	"5"	"2"	"0"	"5"	"5"	"146"	"492"	"71"
"79"	"220"	"71"	""	"34"	"4"	"340"	"8"	"43"	"60"	"6"	"6"	"17"	"17"	"137"	"672"	"72"
"80"	"220"	"72"	""	"3"	"134"	"121"	"2"	"18"	"47"	"1"	"1"	"1"	"7"	"116"	"451"	"73"
"81"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"82"	"220"	"73"	""	"30"	"1"	"76"	"4"	"78"	"158"	"6"	"3"	"3"	"7"	"119"	"485"	"74"
"83"	"220"	"74"	""	"14"	"4"	"128"	"5"	"102"	"476"	"17"	"8"	"8"	"20"	"48"	"830"	"75"
"84"	"220"	"75"	""	"80"	"4"	"119"	"6"	"50"	"262"	"16"	"13"	"8"	"7"	"42"	"607"	"76"
"85"	"220"	"76"	""	"46"	"2"	"56"	"7"	"94"	"163"	"7"	"4"	"7"	"9"	"12"	"407"	"77"
"86"	"220"	"77"	""	"22"	"3"	"153"	"2"	"370"	"23"	"4"	"7"	"7"	"7"	"167"	"765"	"78"
"87"	"220"	"78"	""	"80"	"8"	"282"	"5"	"94"	"51"	"4"	"7"	"10"	"17"	"224"	"782"	"79"
"88"	"220"	"79"	""	"97"	"2"	"112"	"8"	"27"	"108"	"9"	"7"	"2"	"11"	"89"	"472"	"80"
"89"	"220"	"80"	""	"23"	"4"	"12"	"2"	"77"	"134"	"5"	"6"	"1"	"9"	"378"	"651"	"81"
"90"	"220"	"81"	""	"54"	"3"	"250"	"14"	"136"	"95"	"14"	"9"	"11"	"20"	"73"	"679"	"82"
"91"	"220"	"82"	""	"59"	"3"	"96"	"8"	"93"	"81"	"4"	"7"	"1"	"8"	"139"	"499"	"83"
"92"	"220"	"83"	""	"11"	"4"	"60"	"0"	"34"	"25"	"2"	"2"	"2"	"5"	"57"	"202"	"84"
"93"	"220"	"84"	""	"79"	"4"	"74"	"7"	"94"	"10"	"2"	"5"	"5"	"6"	"84"	"370"	"85"
