"Total.No..of.Electors.in.Assembly.Constituency.......216554"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec ted Vote s"	"Total"	"No.  of Tende red Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"7"	"1"	"67"	"507"	"22"	"6"	"4"	"3"	"1"	"6"	"21"	"4"	"9"	"5"	"8"	"12"	"4"	"3"	"4"	"686"	"0"	"686"	"0"	""
"8"	"2"	"59"	"262"	"13"	"4"	"21"	"2"	"3"	"4"	"12"	"7"	"5"	"7"	"9"	"10"	"5"	"11"	"7"	"441"	"0"	"441"	"0"	""
"9"	"3"	"26"	"301"	"10"	"3"	"8"	"2"	"3"	"2"	"11"	"7"	"6"	"5"	"9"	"12"	"15"	"4"	"7"	"431"	"0"	"431"	"0"	""
"10"	"4"	"19"	"302"	"45"	"3"	"12"	"1"	"2"	"1"	"6"	"4"	"5"	"2"	"1"	"7"	"2"	"10"	"0"	"422"	"0"	"422"	"0"	""
"11"	"5"	"90"	"220"	"14"	"11"	"39"	"5"	"1"	"9"	"19"	"12"	"9"	"4"	"10"	"13"	"15"	"28"	"7"	"506"	"0"	"506"	"0"	""
"12"	"6"	"42"	"388"	"9"	"3"	"21"	"1"	"3"	"4"	"9"	"11"	"12"	"13"	"17"	"13"	"8"	"21"	"12"	"587"	"0"	"587"	"0"	""
"13"	"6 A"	"75"	"223"	"9"	"46"	"34"	"3"	"1"	"6"	"8"	"10"	"22"	"8"	"8"	"6"	"6"	"9"	"5"	"479"	"0"	"479"	"0"	""
"14"	"7"	"112"	"361"	"7"	"4"	"13"	"1"	"1"	"2"	"3"	"3"	"4"	"4"	"2"	"5"	"4"	"4"	"4"	"534"	"0"	"534"	"0"	""
"15"	"8"	"116"	"350"	"21"	"8"	"20"	"11"	"2"	"10"	"8"	"1"	"5"	"4"	"1"	"1"	"2"	"11"	"2"	"573"	"0"	"573"	"0"	""
"16"	"9"	"29"	"530"	"19"	"3"	"0"	"0"	"2"	"4"	"15"	"7"	"6"	"3"	"3"	"10"	"14"	"11"	"5"	"661"	"0"	"661"	"0"	""
"17"	"10"	"20"	"367"	"13"	"2"	"1"	"2"	"2"	"1"	"0"	"3"	"4"	"3"	"2"	"10"	"4"	"4"	"3"	"441"	"0"	"441"	"0"	""
"18"	"11"	"49"	"359"	"13"	"3"	"5"	"2"	"4"	"1"	"4"	"8"	"0"	"10"	"3"	"10"	"8"	"20"	"0"	"499"	"0"	"499"	"0"	""
"19"	"12"	"78"	"315"	"10"	"6"	"7"	"1"	"2"	"2"	"20"	"7"	"11"	"9"	"10"	"13"	"15"	"28"	"6"	"540"	"0"	"540"	"0"	""
"20"	"13"	"13"	"221"	"7"	"3"	"1"	"1"	"0"	"1"	"3"	"1"	"2"	"1"	"0"	"2"	"1"	"1"	"4"	"262"	"0"	"262"	"0"	""
"21"	"Total"	"795"	"4706"	"212"	"105"	"186"	"35"	"27"	"53"	"139"	"85"	"100"	"78"	"83"	"124"	"103"	"165"	"66"	"7062"	"0"	"7062"	"0"	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
