"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X233808...149...233957.32.Benipatti"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"1"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"2"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"3"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"4"	"Round- 1"	"1"	""	"9"	""	"61"	""	"1"	""	"96"	""	"4"	""	"57"	""	"4"	""	"1"	""	"5"	""	"4"	""	"3"	""	"6"	""	"16"	""	"2"	""	"2"	""	"11"	""	"8"	""	"3"	""	"4"	""	"8"	""	"11"	""	"316"	""	""	""	"316"	""	""	""
"5"	""	"1A"	""	"7"	""	"17"	""	"2"	""	"39"	""	"7"	""	"138"	""	"0"	""	"3"	""	"0"	""	"0"	""	"2"	""	"6"	""	"3"	""	"8"	""	"2"	""	"6"	""	"11"	""	"3"	""	"3"	""	"3"	""	"6"	""	"266"	""	""	""	"266"	""	""	""
"6"	""	"2"	""	"8"	""	"112"	""	"19"	""	"159"	""	"7"	""	"20"	""	"5"	""	"4"	""	"7"	""	"1"	""	"2"	""	"2"	""	"2"	""	"12"	""	"43"	""	"1"	""	"5"	""	"2"	""	"1"	""	"2"	""	"3"	""	"417"	""	""	""	"417"	""	""	""
"7"	""	"3"	""	"17"	""	"42"	""	"1"	""	"42"	""	"11"	""	"162"	""	"9"	""	"11"	""	"5"	""	"6"	""	"6"	""	"3"	""	"10"	""	"7"	""	"34"	""	"8"	""	"1"	""	"6"	""	"5"	""	"6"	""	"6"	""	"398"	""	""	""	"398"	""	""	""
"8"	""	"4"	""	"7"	""	"57"	""	"14"	""	"2"	""	"2"	""	"279"	""	"3"	""	"10"	""	"4"	""	"4"	""	"4"	""	"2"	""	"2"	""	"3"	""	"46"	""	"12"	""	"1"	""	"2"	""	"3"	""	"2"	""	"6"	""	"465"	""	""	""	"465"	""	""	""
"9"	""	"5"	""	"18"	""	"61"	""	"6"	""	"34"	""	"3"	""	"142"	""	"8"	""	"4"	""	"8"	""	"2"	""	"3"	""	"3"	""	"3"	""	"4"	""	"5"	""	"18"	""	"1"	""	"0"	""	"0"	""	"1"	""	"4"	""	"328"	""	""	""	"328"	""	""	""
"10"	""	"6"	""	"15"	""	"18"	""	"4"	""	"39"	""	"42"	""	"59"	""	"4"	""	"3"	""	"7"	""	"8"	""	"7"	""	"5"	""	"5"	""	"12"	""	"2"	""	"8"	""	"7"	""	"2"	""	"1"	""	"1"	""	"9"	""	"258"	""	""	""	"258"	""	""	""
"11"	""	"7"	""	"54"	""	"114"	""	"4"	""	"18"	""	"3"	""	"93"	""	"5"	""	"4"	""	"1"	""	"1"	""	"2"	""	"1"	""	"2"	""	"3"	""	"3"	""	"12"	""	"1"	""	"1"	""	"0"	""	"2"	""	"0"	""	"324"	""	""	""	"324"	""	""	""
"12"	""	"8"	""	"75"	""	"109"	""	"5"	""	"34"	""	"5"	""	"128"	""	"7"	""	"5"	""	"2"	""	"3"	""	"0"	""	"2"	""	"7"	""	"3"	""	"2"	""	"3"	""	"2"	""	"7"	""	"3"	""	"2"	""	"1"	""	"405"	""	""	""	"405"	""	""	""
