"Candidates.Name"	"ANIL.KUMAR.TRIVEDI"	"KUNWAR.VIJAY.SINGH"	"MANJU.PRAKASH"	"YOGEN.DRA.CHOUH.AN"	"SHYAM.LAL.SINGH.KUSHWA.HA"	"PROF..SUKHADA.PANDE"	"AGNI.DEO.RAY"	"UPENDR.A.KUMAR.DUBEY"	"UMA.SANKAR.RAY"	"OM.PRAKASH.SINGH"	"RAJ.ROUSHA.N.YADAV"	"RAM.KRIPAL.SINGH"	"HARI.KISHUN.RAM"	"TAFIR.HUSSIN"	"TARKE.SHWA.R.PASW.AN"	"DEV.NARAYA.N.SINGH.YADAV"	"BANSH.NARAYA.N.PANDEY"	"BRAHMA.NAND.YADAV"	"BHARTI.KUMARI.PANDEY"	"RAJIV.KUMAR"	"BIR.BAHADUR.UPADHAYA.Y"	"SUNITA.DEVI"	"HRIDAY.A.NARAYA.N.SINGH"	"ANOOP.PRAKASH"	"GAYAT.RI.DEVI"	"Total"
"1"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"5"	"1"	"42"	"143"	"13"	"3"	"79"	"304"	"1"	"1"	"0"	"2"	"3"	"1"	"1"	"1"	"2"	"3"	"5"	"0"	"1"	"1"	"5"	"2"	"2"	"27"	"15"	"657"
"6"	"2"	"24"	"5"	"5"	"1"	"133"	"259"	"0"	"0"	"0"	"3"	"1"	"2"	"3"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"3"	"0"	"1"	"85"	"12"	"541"
"7"	"3"	"23"	"11"	"6"	"0"	"101"	"273"	"4"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"0"	"5"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"20"	"11"	"464"
"8"	"4"	"39"	"78"	"11"	"0"	"67"	"342"	"6"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"11"	"2"	"566"
"9"	"5"	"26"	"67"	"11"	"0"	"81"	"366"	"3"	"3"	"0"	"1"	"0"	"4"	"0"	"1"	"1"	"1"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"4"	"0"	"576"
"10"	"6"	"21"	"53"	"20"	"1"	"67"	"237"	"1"	"1"	"0"	"0"	"1"	"4"	"0"	"2"	"1"	"3"	"5"	"1"	"0"	"1"	"2"	"1"	"0"	"12"	"19"	"453"
"11"	"7"	"11"	"48"	"1"	"1"	"44"	"135"	"1"	"5"	"1"	"1"	"13"	"2"	"6"	"2"	"5"	"8"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"1"	"4"	"294"
"12"	"8"	"18"	"17"	"10"	"0"	"88"	"267"	"0"	"0"	"0"	"0"	"7"	"2"	"0"	"0"	"0"	"1"	"7"	"1"	"2"	"0"	"3"	"3"	"1"	"10"	"2"	"439"
"13"	"9"	"4"	"4"	"149"	"3"	"384"	"201"	"3"	"1"	"3"	"1"	"1"	"5"	"12"	"1"	"1"	"3"	"2"	"1"	"4"	"2"	"6"	"4"	"4"	"1"	"9"	"809"
