"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy,  mi ; ksx esa yk; k t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"------------------------------------------------- fuokZpu {ks= esa   --------------------------------------------- ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"¼l l anh;  vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ -------------------------------           l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k --------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"10"	""	""	""	"pUnz  Hkkuq
i kl oku"	""	""	"uj s' k  nkl"	""	""	"i zsey r k
nsoh"	""	""	"euh\"k
d qekj"	""	""	"eankj s' oj
d qekj  eUVq"	""	""	"equh  y ky
i kl oku"	""	""	""	"nsosUnz
nkl"	""	""	""	"l qxU/kk  nsoh"	""	""	"l hr k  j ke
nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"1"	"20"	""	""	"176"	""	""	"10"	""	""	"300"	""	""	""	"39"	""	"55"	""	""	"8"	""	""	""	"8"	""	""	""	"18"	""	""	"634"	""	""	"0"	""	""	"634"	""	""	"0"	""	""	""	""	""	""
"12"	"2"	"8"	""	""	"149"	""	""	"3"	""	""	"183"	""	""	""	"47"	""	"49"	""	""	"10"	""	""	""	"5"	""	""	""	"12"	""	""	"466"	""	""	"0"	""	""	"466"	""	""	"0"	""	""	""	""	""	""
"13"	"3"	"10"	""	""	"121"	""	""	"11"	""	""	"105"	""	""	""	"25"	""	"77"	""	""	"4"	""	""	""	"2"	""	""	""	"8"	""	""	"363"	""	""	"0"	""	""	"363"	""	""	"0"	""	""	""	""	""	""
"14"	"4"	"8"	""	""	"75"	""	""	"4"	""	""	"148"	""	""	""	"8"	""	"60"	""	""	"7"	""	""	""	"5"	""	""	""	"8"	""	""	"323"	""	""	"0"	""	""	"323"	""	""	"0"	""	""	""	""	""	""
"15"	"5"	"23"	""	""	"185"	""	""	"26"	""	""	"200"	""	""	""	"55"	""	"47"	""	""	"4"	""	""	""	"8"	""	""	""	"14"	""	""	"562"	""	""	"0"	""	""	"562"	""	""	"0"	""	""	""	""	""	""
"16"	"6"	"7"	""	""	"211"	""	""	"3"	""	""	"53"	""	""	""	"3"	""	"8"	""	""	"3"	""	""	""	"2"	""	""	""	"7"	""	""	"297"	""	""	"0"	""	""	"297"	""	""	"0"	""	""	""	""	""	""
"17"	"7"	"19"	""	""	"188"	""	""	"1"	""	""	"127"	""	""	""	"6"	""	"17"	""	""	"4"	""	""	""	"2"	""	""	""	"6"	""	""	"370"	""	""	"0"	""	""	"370"	""	""	"0"	""	""	""	""	""	""
"18"	"8"	"11"	""	""	"105"	""	""	"3"	""	""	"116"	""	""	""	"8"	""	"5"	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	"256"	""	""	"0"	""	""	"256"	""	""	"0"	""	""	""	""	""	""
"19"	"9"	"26"	""	""	"442"	""	""	"18"	""	""	"20"	""	""	""	"14"	""	"69"	""	""	"4"	""	""	""	"4"	""	""	""	"6"	""	""	"603"	""	""	"0"	""	""	"603"	""	""	"0"	""	""	""	""	""	""
"20"	"10"	"15"	""	""	"101"	""	""	"3"	""	""	"30"	""	""	""	"6"	""	"108"	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	"273"	""	""	"0"	""	""	"273"	""	""	"0"	""	""	""	""	""	""
"21"	"11"	"33"	""	""	"220"	""	""	"14"	""	""	"98"	""	""	""	"33"	""	"152"	""	""	"4"	""	""	""	"8"	""	""	""	"11"	""	""	"573"	""	""	"0"	""	""	"573"	""	""	"0"	""	""	""	""	""	""
