"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"AKHILESHWA R KUMAR"	"PUNAM DEVI"	"RAJESH
KUMAR SINHA"	"SANJAY KUMAR"	"SATYA NAND SHARMA"	"BRAHMANAN
D SINGH ALIAS KAKKU SINGH"	"MAYA
SHRIVASTAV A"	"MURTAJA ALI"	"MD. DANISH KHAN"	"SHUBH NARAYAN SINGH YADAV"	"ANIL KUMAR"	"ABHITAB NIRANJAN"	"RANJAN KUMAR"	"RAJIB
RANJAN SINHA"	"HARENDRA PRASAD SINGH"	""	""	""	""
"2"	"1"	"3"	"185"	"29"	"0"	"95"	"9"	"3"	"0"	"4"	"1"	"0"	"2"	"22"	"4"	"7"	"364"	"0"	"364"	"0"
"3"	"2"	"2"	"209"	"21"	"1"	"108"	"11"	"4"	"2"	"8"	"3"	"3"	"3"	"22"	"4"	"8"	"409"	"0"	"409"	"0"
"4"	"3"	"7"	"322"	"3"	"12"	"9"	"0"	"1"	"1"	"2"	"1"	"2"	"0"	"79"	"3"	"15"	"457"	"0"	"457"	"0"
"5"	"4"	"2"	"368"	"11"	"4"	"79"	"7"	"3"	"9"	"3"	"1"	"7"	"2"	"57"	"8"	"19"	"580"	"0"	"580"	"0"
"6"	"5"	"5"	"177"	"17"	"5"	"198"	"21"	"5"	"4"	"1"	"2"	"5"	"3"	"14"	"4"	"6"	"467"	"0"	"467"	"0"
"7"	"6"	"2"	"137"	"10"	"5"	"68"	"3"	"4"	"3"	"3"	"3"	"3"	"6"	"9"	"5"	"8"	"269"	"0"	"269"	"0"
"8"	"7"	"4"	"284"	"18"	"4"	"171"	"16"	"2"	"6"	"1"	"4"	"6"	"3"	"11"	"5"	"24"	"559"	"0"	"559"	"0"
"9"	"8"	"4"	"335"	"12"	"0"	"146"	"3"	"4"	"5"	"1"	"3"	"1"	"5"	"10"	"11"	"11"	"551"	"0"	"551"	"0"
"10"	"9"	"9"	"323"	"13"	"1"	"212"	"14"	"3"	"17"	"2"	"5"	"1"	"10"	"11"	"6"	"12"	"639"	"0"	"639"	"0"
"11"	"10"	"1"	"220"	"10"	"2"	"159"	"11"	"1"	"2"	"1"	"0"	"4"	"2"	"12"	"4"	"10"	"439"	"0"	"439"	"0"
"12"	"11"	"4"	"280"	"14"	"1"	"135"	"4"	"3"	"3"	"1"	"1"	"5"	"2"	"6"	"6"	"23"	"488"	"0"	"488"	"0"
"13"	"12"	"1"	"191"	"9"	"4"	"107"	"20"	"6"	"0"	"0"	"1"	"4"	"3"	"47"	"2"	"8"	"403"	"0"	"403"	"0"
"14"	"13"	"1"	"161"	"3"	"3"	"94"	"5"	"5"	"5"	"2"	"1"	"4"	"0"	"9"	"4"	"5"	"302"	"0"	"302"	"0"
"15"	"14"	"2"	"251"	"13"	"3"	"148"	"26"	"2"	"9"	"4"	"2"	"2"	"2"	"19"	"3"	"8"	"494"	"0"	"494"	"0"
"16"	"15"	"7"	"359"	"6"	"0"	"85"	"6"	"3"	"5"	"3"	"1"	"2"	"2"	"23"	"6"	"10"	"518"	"0"	"518"	"0"
"17"	"16"	"18"	"352"	"28"	"3"	"41"	"4"	"5"	"5"	"6"	"2"	"2"	"4"	"21"	"5"	"27"	"523"	"0"	"523"	"0"
"18"	"17"	"7"	"402"	"29"	"4"	"55"	"4"	"5"	"6"	"9"	"0"	"4"	"3"	"16"	"9"	"19"	"572"	"0"	"572"	"0"
"19"	"18"	"1"	"179"	"14"	"0"	"14"	"0"	"0"	"4"	"2"	"0"	"0"	"1"	"1"	"4"	"44"	"264"	"0"	"264"	"0"
"20"	"19"	"1"	"142"	"19"	"1"	"27"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"32"	"228"	"0"	"228"	"0"
"21"	"19A"	"0"	"137"	"11"	"0"	"15"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"39"	"206"	"0"	"206"	"0"
"22"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"23"	""	"AKHILESHWA R KUMAR"	"PUNAM DEVI"	"RAJESH
KUMAR SINHA"	"SANJAY KUMAR"	"SATYA NAND SHARMA"	"BRAHMANAN
D SINGH ALIAS KAKKU SINGH"	"MAYA
SHRIVASTAV A"	"MURTAJA ALI"	"MD. DANISH KHAN"	"SHUBH NARAYAN SINGH YADAV"	"ANIL KUMAR"	"ABHITAB NIRANJAN"	"RANJAN KUMAR"	"RAJIB
RANJAN SINHA"	"HARENDRA PRASAD SINGH"	""	""	""	""
"24"	"20"	"3"	"249"	"7"	"0"	"23"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"132"	"418"	"0"	"418"	"0"
"25"	"21"	"4"	"275"	"19"	"1"	"31"	"3"	"3"	"1"	"2"	"1"	"0"	"0"	"3"	"1"	"98"	"442"	"0"	"442"	"0"
"26"	"22"	"2"	"337"	"51"	"4"	"33"	"4"	"2"	"3"	"0"	"2"	"1"	"0"	"3"	"11"	"43"	"496"	"0"	"496"	"0"
"27"	"23"	"1"	"329"	"22"	"0"	"34"	"3"	"3"	"2"	"0"	"0"	"1"	"1"	"6"	"2"	"31"	"435"	"0"	"435"	"0"
"28"	"24"	"0"	"316"	"32"	"1"	"37"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"7"	"6"	"57"	"465"	"0"	"465"	"0"
"29"	"25"	"1"	"348"	"19"	"6"	"44"	"4"	"0"	"4"	"0"	"0"	"3"	"1"	"1"	"1"	"38"	"470"	"0"	"470"	"0"
"30"	"26"	"2"	"352"	"25"	"2"	"16"	"2"	"3"	"2"	"1"	"2"	"0"	"0"	"4"	"3"	"114"	"528"	"0"	"528"	"0"
"31"	"27"	"0"	"291"	"35"	"0"	"22"	"3"	"3"	"0"	"0"	"0"	"1"	"1"	"2"	"6"	"71"	"435"	"0"	"435"	"0"
"32"	"28"	"2"	"331"	"36"	"1"	"34"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"6"	"5"	"18"	"438"	"0"	"438"	"0"
"33"	"29"	"4"	"222"	"11"	"0"	"20"	"6"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"4"	"8"	"280"	"0"	"280"	"0"
"34"	"29A"	"2"	"272"	"15"	"1"	"22"	"2"	"2"	"3"	"0"	"1"	"0"	"1"	"2"	"2"	"18"	"343"	"0"	"343"	"0"
"35"	"30"	"4"	"503"	"30"	"1"	"74"	"4"	"5"	"7"	"2"	"1"	"1"	"5"	"15"	"12"	"35"	"699"	"0"	"699"	"0"
"36"	"31"	"7"	"329"	"35"	"0"	"16"	"4"	"3"	"4"	"2"	"0"	"0"	"2"	"6"	"4"	"34"	"446"	"0"	"446"	"0"
"37"	"32"	"7"	"349"	"44"	"2"	"38"	"2"	"3"	"3"	"2"	"0"	"1"	"1"	"3"	"2"	"105"	"562"	"0"	"562"	"0"
"38"	"33"	"5"	"380"	"30"	"2"	"29"	"1"	"3"	"3"	"1"	"0"	"1"	"0"	"4"	"1"	"104"	"564"	"0"	"564"	"0"
"39"	"34"	"6"	"382"	"40"	"3"	"36"	"11"	"10"	"4"	"2"	"0"	"4"	"3"	"16"	"2"	"58"	"577"	"0"	"577"	"0"
"40"	"35"	"7"	"225"	"9"	"0"	"46"	"3"	"1"	"4"	"2"	"0"	"0"	"1"	"9"	"2"	"20"	"329"	"0"	"329"	"0"
"41"	"35A"	"7"	"278"	"11"	"1"	"22"	"4"	"3"	"6"	"1"	"1"	"1"	"1"	"4"	"5"	"20"	"365"	"0"	"365"	"0"
"42"	"36"	"11"	"255"	"30"	"0"	"33"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"82"	"419"	"0"	"419"	"0"
"43"	"37"	"5"	"182"	"18"	"0"	"20"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"47"	"275"	"0"	"275"	"0"
"44"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
