"Total.No..of.Electors.in.Assembly.Constituency........199137"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"7"	"1"	"128"	"36"	"7"	"26"	"67"	"12"	"3"	"1"	"9"	"9"	"4"	"16"	"6"	"19"	"362"	"705"	"0"	"705"	"0"	""
"8"	"2"	"42"	"10"	"75"	"1"	"170"	"4"	"2"	"3"	"5"	"2"	"2"	"2"	"2"	"2"	"108"	"430"	"0"	"430"	"0"	""
"9"	"3"	"80"	"36"	"9"	"41"	"52"	"10"	"0"	"1"	"2"	"1"	"2"	"7"	"3"	"5"	"145"	"394"	"0"	"394"	"0"	""
"10"	"4"	"166"	"16"	"8"	"3"	"16"	"7"	"2"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"78"	"300"	"0"	"300"	"0"	""
"11"	"5"	"76"	"4"	"39"	"39"	"391"	"12"	"1"	"7"	"10"	"4"	"5"	"8"	"2"	"5"	"26"	"629"	"0"	"629"	"0"	""
"12"	"6"	"38"	"5"	"6"	"7"	"183"	"12"	"2"	"1"	"2"	"3"	"2"	"1"	"1"	"1"	"14"	"278"	"0"	"278"	"0"	""
"13"	"7"	"127"	"6"	"7"	"16"	"169"	"8"	"1"	"1"	"1"	"5"	"1"	"3"	"2"	"9"	"345"	"701"	"0"	"701"	"0"	""
"14"	"8"	"61"	"7"	"23"	"8"	"304"	"25"	"4"	"5"	"6"	"8"	"4"	"4"	"4"	"12"	"214"	"689"	"0"	"689"	"0"	""
"15"	"9"	"83"	"12"	"31"	"9"	"312"	"15"	"1"	"7"	"17"	"11"	"12"	"12"	"8"	"22"	"387"	"939"	"0"	"939"	"0"	""
"16"	"10"	"26"	"0"	"3"	"8"	"193"	"3"	"2"	"4"	"2"	"1"	"2"	"3"	"1"	"2"	"103"	"353"	"0"	"353"	"0"	""
"17"	"11"	"64"	"1"	"5"	"57"	"118"	"13"	"0"	"2"	"6"	"0"	"1"	"4"	"1"	"1"	"63"	"336"	"0"	"336"	"0"	""
"18"	"12"	"91"	"6"	"5"	"47"	"512"	"14"	"3"	"3"	"13"	"11"	"11"	"12"	"2"	"8"	"95"	"833"	"0"	"833"	"0"	""
"19"	"13"	"10"	"1"	"81"	"22"	"117"	"14"	"3"	"1"	"3"	"1"	"1"	"6"	"0"	"2"	"97"	"359"	"0"	"359"	"0"	""
"20"	"14"	"119"	"2"	"11"	"18"	"306"	"6"	"4"	"7"	"6"	"1"	"5"	"4"	"4"	"14"	"196"	"703"	"0"	"703"	"0"	""
"21"	"Total"	"1111"	"142"	"310"	"302"	"2910"	"155"	"28"	"43"	"85"	"57"	"52"	"83"	"36"	"102"	"2233"	"7649"	"0"	"7649"	"0"	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"32"	"15"	"49"	"2"	"7"	"16"	"138"	"6"	"1"	"6"	"9"	"8"	"10"	"3"	"1"	"18"	"440"	"714"	"0"	"714"	"0"	""
"33"	"16"	"23"	"0"	"12"	"32"	"22"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"7"	"287"	"389"	"0"	"389"	"0"	""
"34"	"17"	"67"	"8"	"202"	"62"	"110"	"2"	"2"	"1"	"6"	"2"	"4"	"14"	"8"	"12"	"73"	"573"	"0"	"573"	"0"	""
"35"	"18"	"24"	"1"	"20"	"8"	"41"	"0"	"0"	"1"	"0"	"2"	"0"	"3"	"0"	"7"	"275"	"382"	"0"	"382"	"0"	""
"36"	"18 A"	"99"	"9"	"6"	"5"	"185"	"4"	"0"	"0"	"6"	"1"	"0"	"9"	"3"	"2"	"234"	"563"	"0"	"563"	"0"	""
"37"	"19"	"151"	"3"	"9"	"28"	"167"	"0"	"3"	"3"	"3"	"2"	"1"	"1"	"0"	"7"	"205"	"583"	"0"	"583"	"0"	""
"38"	"20"	"115"	"3"	"29"	"9"	"367"	"7"	"2"	"0"	"1"	"1"	"4"	"19"	"2"	"7"	"30"	"596"	"0"	"596"	"0"	""
"39"	"21"	"197"	"4"	"11"	"27"	"224"	"7"	"0"	"4"	"1"	"2"	"1"	"5"	"1"	"3"	"237"	"724"	"0"	"724"	"0"	""
"40"	"22"	"72"	"1"	"1"	"17"	"42"	"1"	"0"	"1"	"3"	"0"	"0"	"2"	"1"	"0"	"68"	"209"	"0"	"209"	"0"	""
