"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 226-SHERGHATTI CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :  226- SHERGHATTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	""	"ARUN KUMAR SINGH"	"CHANDRIKA PRASAD"	"FIROZ AHMAD KHAN"	"VINOD PRASAD YADAV"	"SHAKIL AHMAD KHAN"	"MD. AJIM"	"M. ALEXANDER KHAN URF MOHAMMD"	"RAM PRASAD PRAJAPAT"	"MD. HASIBUDDIN KHAN"	"CHHOTU YADAV"	"JITENDRA KUMAR YADAV"	"NANDAN KUMAR"	""	"MOHAMMAD BAKHATEYAR RANA"	"RAMJEE PASWAN"	"RAM BILAS MANJHI"	"SHASHI BHUSHAN MISHRA"	"SUNITA DEVI"	"SURENDRA KUMAR SUMAN"	"SUSHAMA DEVI"	"Total Valid  Votes"
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"7"	"1"	""	"3"	"1"	"1"	"69"	"25"	"2"	"1"	"1"	"0"	"3"	"1"	"2"	""	"3"	"5"	"2"	"4"	"2"	"0"	"32"	"157"
"8"	"2"	""	"23"	"3"	"36"	"175"	"41"	"11"	"4"	"0"	"1"	"5"	"8"	"7"	""	"3"	"12"	"4"	"8"	"16"	"12"	"133"	"502"
"9"	"3"	""	"14"	"3"	"4"	"232"	"123"	"13"	"4"	"3"	"6"	"11"	"5"	"14"	""	"7"	"18"	"2"	"4"	"1"	"22"	"61"	"547"
"10"	"4"	""	"6"	"6"	"5"	"95"	"40"	"4"	"1"	"1"	"0"	"7"	"3"	"5"	""	"12"	"7"	"0"	"8"	"4"	"17"	"75"	"296"
"11"	"5"	""	"9"	"13"	"3"	"157"	"122"	"16"	"8"	"4"	"3"	"3"	"1"	"18"	""	"12"	"9"	"1"	"10"	"4"	"25"	"126"	"544"
"12"	"6"	""	"6"	"3"	"19"	"253"	"115"	"3"	"3"	"3"	"1"	"2"	"0"	"1"	""	"9"	"4"	"0"	"0"	"4"	"17"	"27"	"470"
"13"	"7"	""	"10"	"6"	"4"	"166"	"47"	"7"	"3"	"1"	"1"	"0"	"2"	"7"	""	"2"	"4"	"2"	"4"	"15"	"11"	"134"	"426"
"14"	"8"	""	"6"	"3"	"27"	"92"	"81"	"12"	"3"	"2"	"1"	"5"	"1"	"10"	""	"6"	"4"	"5"	"11"	"2"	"58"	"13"	"342"
"15"	"9"	""	"5"	"2"	"2"	"171"	"136"	"11"	"0"	"5"	"4"	"6"	"1"	"10"	""	"8"	"5"	"2"	"2"	"2"	"0"	"28"	"400"
"16"	"10"	""	"6"	"3"	"6"	"226"	"98"	"10"	"8"	"1"	"1"	"5"	"5"	"13"	""	"6"	"8"	"7"	"8"	"8"	"2"	"11"	"432"
"17"	"11"	""	"1"	"9"	"5"	"110"	"87"	"3"	"2"	"1"	"2"	"1"	"3"	"2"	""	"5"	"2"	"1"	"3"	"1"	"4"	"8"	"250"
"18"	"12"	""	"5"	"5"	"2"	"100"	"68"	"6"	"5"	"0"	"0"	"2"	"5"	"1"	""	"6"	"3"	"0"	"6"	"2"	"13"	"5"	"234"
"19"	"13"	""	"7"	"10"	"16"	"201"	"23"	"6"	"4"	"1"	"3"	"1"	"2"	"2"	""	"13"	"4"	"7"	"11"	"2"	"12"	"25"	"350"
"20"	"14"	""	"5"	"8"	"2"	"317"	"79"	"10"	"19"	"0"	"2"	"1"	"18"	"5"	""	"2"	"1"	"0"	"1"	"3"	"12"	"39"	"524"
"21"	"15"	""	"9"	"2"	"9"	"193"	"57"	"9"	"10"	"10"	"5"	"6"	"24"	"16"	""	"9"	"16"	"4"	"16"	"8"	"16"	"74"	"493"
"22"	"16"	""	"10"	"9"	"12"	"144"	"68"	"12"	"3"	"13"	"6"	"4"	"9"	"7"	""	"24"	"17"	"12"	"14"	"7"	"107"	"27"	"505"
"23"	"17"	""	"6"	"11"	"5"	"130"	"58"	"9"	"1"	"4"	"4"	"13"	"10"	"11"	""	"14"	"15"	"10"	"17"	"12"	"22"	"94"	"446"
"24"	"18"	""	"16"	"16"	"8"	"123"	"18"	"12"	"5"	"6"	"2"	"8"	"2"	"15"	""	"5"	"28"	"1"	"21"	"8"	"2"	"138"	"434"
"25"	"19"	""	"4"	"6"	"2"	"34"	"79"	"5"	"2"	"2"	"1"	"3"	"2"	"2"	""	"5"	"18"	"3"	"5"	"13"	"111"	"118"	"415"
"26"	"20"	""	"14"	"43"	"5"	"287"	"85"	"18"	"13"	"11"	"12"	"7"	"18"	"12"	""	"22"	"16"	"6"	"9"	"7"	"92"	"29"	"706"
"27"	"21"	""	"2"	"3"	"2"	"162"	"5"	"3"	"1"	"0"	"0"	"0"	"1"	"3"	""	"0"	"0"	"0"	"3"	"4"	"3"	"70"	"262"
"28"	"22"	""	"6"	"5"	"7"	"96"	"88"	"11"	"1"	"2"	"5"	"3"	"5"	"8"	""	"5"	"8"	"6"	"13"	"6"	"5"	"61"	"341"
"29"	"23"	""	"5"	"8"	"27"	"94"	"163"	"5"	"2"	"4"	"2"	"3"	"3"	"7"	""	"5"	"2"	"0"	"12"	"3"	"3"	"98"	"446"
"30"	"24"	""	"7"	"9"	"5"	"99"	"30"	"2"	"2"	"2"	"1"	"6"	"5"	"8"	""	"4"	"8"	"3"	"13"	"13"	"19"	"265"	"501"
"31"	"24"	"A"	"4"	"4"	"15"	"83"	"17"	"7"	"3"	"2"	"4"	"6"	"14"	"6"	""	"6"	"10"	"2"	"22"	"10"	"30"	"120"	"365"
"32"	"25"	""	"14"	"11"	"8"	"115"	"25"	"6"	"1"	"1"	"0"	"1"	"4"	"2"	""	"7"	"3"	"0"	"4"	"17"	"23"	"57"	"299"
"33"	"26"	""	"5"	"8"	"6"	"53"	"12"	"3"	"1"	"4"	"1"	"3"	"5"	"5"	""	"13"	"10"	"5"	"25"	"4"	"46"	"79"	"288"
"34"	"27"	""	"4"	"3"	"10"	"121"	"7"	"6"	"3"	"2"	"1"	"13"	"9"	"8"	""	"27"	"19"	"9"	"20"	"14"	"41"	"44"	"361"
"35"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
