"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"GYANENDRA KUMAR SINGH"	"RANA RANBIR SINGH"	"BIJOY KUMAR SINGH"	"VIJAY KRISHNA"	"SUNIL KUMAR AMBEDKER"	"DULARCHAND YADAV"	"BHIM PRASAD"	"VIJAY KUMAR SINGH"	"AJAY SINGH"	"ANVESH KUMAR CHAUDHARY"	"JITENDRA PRASAD SINGH"	"PUSHPA DEVI"	"BABALU SINGH"	"BINAY KUMAR BHAGAT"	"SUSHIL KUMAR"	""	""	""	""
"2"	"1"	"582"	"5"	"9"	"75"	"1"	"4"	"9"	"3"	"4"	"5"	"17"	"6"	"6"	"11"	"48"	"785"	"0"	"785"	"0"
"3"	"2"	"203"	"1"	"7"	"203"	"5"	"1"	"1"	"1"	"0"	"0"	"3"	"2"	"1"	"1"	"1"	"430"	"0"	"430"	"0"
"4"	"3"	"198"	"5"	"6"	"90"	"2"	"7"	"6"	"1"	"3"	"1"	"36"	"2"	"0"	"4"	"14"	"375"	"0"	"375"	"0"
"5"	"4"	"118"	"0"	"1"	"171"	"0"	"2"	"3"	"0"	"0"	"0"	"36"	"2"	"2"	"0"	"2"	"337"	"0"	"337"	"0"
"6"	"5"	"188"	"4"	"6"	"74"	"4"	"4"	"7"	"8"	"6"	"5"	"117"	"4"	"5"	"5"	"11"	"448"	"0"	"448"	"0"
"7"	"6"	"386"	"3"	"39"	"158"	"1"	"5"	"8"	"2"	"2"	"1"	"11"	"7"	"7"	"8"	"23"	"661"	"0"	"661"	"0"
"8"	"7"	"213"	"1"	"11"	"117"	"2"	"2"	"5"	"3"	"1"	"8"	"61"	"8"	"4"	"4"	"2"	"442"	"0"	"442"	"0"
"9"	"8"	"113"	"2"	"16"	"72"	"1"	"3"	"6"	"2"	"2"	"1"	"61"	"0"	"1"	"1"	"6"	"287"	"0"	"287"	"0"
"10"	"9"	"88"	"2"	"11"	"238"	"15"	"5"	"6"	"4"	"4"	"4"	"136"	"15"	"6"	"6"	"9"	"549"	"0"	"549"	"0"
"11"	"10"	"97"	"11"	"20"	"447"	"26"	"3"	"8"	"5"	"8"	"4"	"124"	"12"	"12"	"8"	"20"	"805"	"0"	"805"	"0"
"12"	"11"	"182"	"2"	"8"	"316"	"10"	"5"	"9"	"2"	"1"	"5"	"47"	"26"	"4"	"10"	"20"	"647"	"0"	"647"	"0"
