"BOOTH.NO"	"AKHATARUL.IMAN"	"DINESH.KUMAR.RAM"	"MUJAHID.ALAM"	"MUHAMMAD.INTEKHAB.ALAM"	"SADIQUE.SAMDANI"	"ASHOK.KUMAR.SINGH"	"MASRUR.ALAM"	"MINHAJ.ALAM"	"BINAY.KUMAR.DAS"	"NASIR.UDDIN"	"MUZAFFAR.KARIM.RIZVI"	"MUMTAZ.AHAMAD"	"YOGENDERA.SINGH"	"SUNITA.GUPTA"	"MD..YUSSOUF"	"Total"
"1"	1	50	7	417	6	6	9	2	2	28	5	3	7	15	6	12	575
"2"	2	152	6	138	1	7	2	1	1	5	3	9	6	4	2	14	351
"3"	3	58	3	278	1	9	6	2	2	27	0	1	3	3	2	2	397
"4"	4	42	3	583	6	18	4	0	1	34	3	1	2	12	8	19	736
"5"	5	86	3	569	7	3	6	1	0	7	0	0	1	3	0	1	687
"6"	6	309	10	290	4	11	7	1	2	25	4	10	8	14	9	17	721
"7"	7	253	5	458	9	15	5	1	2	56	1	2	3	2	3	9	824
"8"	8	353	13	171	8	18	3	2	1	22	3	3	3	1	2	8	611
"9"	9	273	8	283	26	13	3	2	6	49	1	8	7	4	10	14	707
"10"	10	361	19	145	5	20	6	1	1	10	4	7	2	5	7	16	609
"11"	11	217	3	179	2	3	1	0	0	10	0	1	4	6	2	9	437
"12"	12	281	8	305	15	12	9	2	0	19	4	4	9	10	11	31	720
"13"	13	281	12	295	19	25	3	2	0	27	14	4	10	13	9	20	734
"14"	14	240	7	145	11	41	5	2	1	16	8	2	11	11	5	14	519
"15"	15	421	14	218	3	2	3	4	1	5	3	3	2	6	8	23	716
"16"	16	163	4	297	4	9	6	3	0	15	4	1	2	7	6	7	528
"17"	17	135	7	473	15	38	6	1	7	41	12	7	16	9	6	12	785
"18"	18	175	11	222	7	119	14	5	4	38	7	46	10	2	8	16	684
"19"	19	302	8	270	5	14	8	6	7	30	8	9	11	10	18	30	736
"20"	20	331	12	148	8	2	0	2	2	9	0	2	10	3	2	10	541
"21"	21	211	3	128	1	9	0	0	1	6	0	2	0	5	0	1	367
"22"	22	546	19	150	1	25	4	8	2	8	4	7	6	8	7	18	813
"23"	23	521	10	104	4	24	5	0	2	14	2	3	2	3	2	24	720
"24"	24	335	9	154	0	20	1	1	3	24	2	3	4	1	5	9	571
"25"	25	145	5	67	4	16	2	0	3	10	0	3	1	1	0	3	260
"26"	26	228	10	239	6	46	7	1	2	29	5	37	5	3	2	15	635
"27"	27	133	5	77	0	5	0	1	0	6	0	1	0	1	2	6	237
"28"	28	313	2	107	3	96	3	2	3	29	1	4	2	6	6	28	605
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	29	312	10	314	2	15	0	2	3	24	0	8	0	4	1	10	705
"31"	30	329	11	307	6	25	3	8	3	22	3	12	13	0	6	6	754
"32"	31	529	3	48	1	22	0	0	0	8	2	1	6	0	1	0	621
"33"	32	342	11	105	3	10	3	0	0	9	1	1	2	1	1	2	491
"34"	33	98	13	538	8	20	0	1	5	30	5	5	8	10	2	11	754
"35"	34	194	9	161	3	20	2	2	4	16	6	3	8	6	13	11	458
"36"	35	99	3	539	8	11	8	1	1	46	5	3	5	7	5	9	750
"37"	36	178	9	195	3	23	9	3	4	37	8	7	6	5	5	8	500
"38"	37	122	5	56	1	51	2	11	0	7	0	11	3	3	2	2	276
"39"	38	17	1	238	4	7	107	6	6	78	9	9	9	7	8	23	529
"40"	39	379	5	322	5	15	2	9	0	39	2	14	10	1	11	17	831
"41"	40	390	13	51	4	43	5	23	4	11	0	33	1	2	3	6	589
"42"	41	183	7	25	7	4	2	2	0	13	0	2	0	0	3	7	255
"43"	42	255	2	28	3	65	1	1	3	0	1	9	2	0	4	6	380
"44"	43	239	10	34	1	14	1	1	0	5	1	3	23	1	4	5	342
"45"	44	296	6	21	1	21	2	3	1	12	3	44	2	0	5	5	422
"46"	45	450	12	166	25	23	4	4	0	17	3	3	3	5	6	16	737
"47"	46	385	13	388	7	11	4	5	5	31	5	6	3	3	7	5	878
"48"	47	509	22	191	5	8	2	2	4	21	6	9	2	5	9	28	823
"49"	48	500	10	117	4	23	0	12	1	9	0	8	0	3	3	15	705
"50"	49	445	14	93	4	29	3	1	2	8	5	0	6	4	3	11	628
"51"	50	134	4	86	2	48	0	1	1	8	0	1	1	0	0	1	287
"52"	51	352	13	128	11	19	1	1	2	11	0	1	2	2	7	13	563
"53"	52	497	9	230	9	27	3	8	5	11	7	4	6	5	10	29	860
"54"	53	211	8	169	7	21	2	2	3	15	25	3	6	5	7	10	494
"55"	54	461	15	249	7	63	1	5	1	16	1	4	3	10	5	14	855
"56"	55	49	2	50	15	119	3	1	1	13	0	3	1	0	0	3	260
"57"	NA	104	4	111	19	371	8	3	3	16	3	2	4	1	1	4	654
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	56	95	5	234	26	227	6	2	4	25	3	7	12	9	5	25	685
"60"	57	38	0	248	2	11	2	0	1	45	1	0	11	3	1	0	363
"61"	58	244	15	250	8	54	5	3	4	29	2	3	7	6	6	11	647
"62"	59	118	3	60	17	53	3	2	0	4	1	1	2	0	1	5	270
"63"	60	174	7	110	177	62	4	3	0	11	1	4	7	1	0	4	565
"64"	61	488	13	214	5	10	2	2	1	15	2	4	8	3	6	6	779
"65"	62	434	7	134	5	51	10	5	7	23	3	6	18	5	5	35	748
"66"	63	104	6	29	3	135	52	4	3	2	0	10	4	3	1	7	363
"67"	NA	67	6	33	6	264	51	25	4	7	2	9	7	4	4	8	497
"68"	64	177	4	44	5	336	12	5	1	9	1	10	16	3	9	15	647
"69"	65	321	10	315	2	6	4	12	1	21	3	13	8	4	2	6	728
"70"	66	368	21	275	3	8	1	5	1	14	1	3	2	3	4	13	722
"71"	67	758	24	43	0	2	0	0	0	2	1	3	1	1	6	21	862
"72"	68	355	6	158	2	1	0	0	4	22	0	5	2	2	1	12	570
"73"	69	143	3	42	1	1	0	0	0	8	1	0	2	0	2	1	204
"74"	70	316	4	46	5	4	0	1	0	3	0	13	1	0	2	8	403
"75"	NA	319	7	57	2	9	1	8	1	1	2	2	10	2	1	8	430
"76"	71	442	8	291	1	20	3	4	5	14	5	9	8	2	5	23	840
"77"	72	131	7	69	0	7	1	0	0	5	0	2	15	0	1	2	240
"78"	73	169	5	61	0	2	0	0	0	2	0	1	0	1	0	2	243
"79"	74	240	12	56	0	2	1	0	0	4	1	1	0	1	4	7	329
"80"	75	372	10	192	5	69	3	11	3	21	2	3	18	4	7	10	730
"81"	76	285	13	201	6	61	4	22	5	43	8	8	6	6	2	17	687
"82"	77	280	6	263	5	9	5	28	1	30	1	7	15	4	6	9	669
"83"	78	326	13	375	11	18	6	69	9	62	2	6	10	3	11	11	932
"84"	79	47	0	78	2	9	3	65	2	11	0	3	1	3	0	11	235
"85"	80	70	10	386	16	29	3	46	4	45	5	5	4	1	0	9	633
"86"	81	72	0	164	46	8	3	12	5	32	1	2	1	2	4	4	356
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"89"	83	15	3	116	5	6	8	503	9	18	5	7	5	3	5	13	721
"90"	84	73	1	10	2	4	0	1	1	1	0	1	252	7	1	2	356
"91"	85	360	19	109	1	9	2	0	0	9	1	1	14	2	2	4	533
"92"	86	124	2	237	1	10	4	10	4	17	2	11	99	9	4	16	550
"93"	87	99	0	26	1	26	0	1	0	4	0	1	119	1	3	1	282
"94"	88	217	7	316	10	51	11	3	2	26	2	5	53	5	7	6	721
"95"	89	153	6	50	1	118	3	3	1	5	1	1	2	0	1	4	349
"96"	NA	101	6	120	8	195	7	6	2	20	2	1	2	2	1	3	476
"97"	90	67	5	42	8	525	2	10	3	6	1	5	2	2	3	7	688
"98"	91	36	5	47	8	390	21	5	5	6	2	9	7	6	7	15	569
"99"	92	111	7	42	9	338	7	5	3	13	2	9	5	6	5	12	574
"100"	93	238	7	114	15	87	4	50	3	11	0	26	2	3	4	13	577
"101"	94	12	4	31	7	781	9	0	3	9	0	2	6	2	6	7	879
"102"	95	91	3	55	169	30	3	1	0	6	3	12	1	3	2	6	385
"103"	NA	92	8	108	216	22	1	0	2	7	5	13	1	3	1	5	484
"104"	96	148	4	40	189	16	0	0	2	5	3	20	5	2	1	11	446
"105"	97	121	6	96	94	38	2	21	3	11	4	11	6	0	3	5	421
"106"	98	183	11	111	42	80	17	13	1	15	8	5	8	5	3	17	519
"107"	99	109	2	82	248	25	1	4	1	11	2	1	4	1	1	3	495
"108"	100	206	4	68	391	23	4	2	1	7	1	5	7	6	1	10	736
"109"	101	38	3	34	478	15	1	1	0	3	3	1	4	0	0	1	582
"110"	102	140	6	55	275	27	1	2	0	5	2	5	1	0	0	3	522
"111"	103	150	5	103	220	12	4	5	1	13	3	6	3	3	2	3	533
"112"	104	101	5	14	34	10	0	1	0	4	0	25	0	0	4	4	202
"113"	105	160	7	72	377	47	4	3	1	9	3	3	6	2	4	5	703
"114"	106	33	4	26	567	16	1	4	3	5	5	4	11	1	2	4	686
"115"	107	169	7	38	303	22	0	4	1	9	3	10	14	11	6	18	615
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	108	186	6	79	220	17	2	3	5	28	1	6	6	3	0	8	570
"118"	109	103	2	82	428	22	5	0	2	32	7	37	13	4	5	5	747
"119"	110	105	2	212	388	24	8	5	2	40	10	11	9	8	6	23	853
"120"	111	78	2	328	287	11	9	1	2	43	9	2	10	4	0	5	791
"121"	112	240	6	334	57	8	5	2	2	35	7	6	6	4	7	16	735
"122"	113	222	8	229	163	19	12	4	9	66	9	17	9	2	5	8	782
