"Serial.No..of.Polling.Stition"	"Md..Imran"	"Dr..Chandrama.Singh"	"Vikram.Kunwar"	"Samrun.Nisa"	"HamidRaza.Khan"	"AmarNath.Yadav"	"Dr..C..B..Mishra"	"Anil.Kumar.Singh"	"Kamarul.Hak"	"Kaushlendra.Kumar.Singh"	"Tribhuwan.Singh"	"Munni.Devi"	"Rameshwar.Singh"	"Vishwakarma.Bhagat"	"Total.of.Valid.Votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.voters"
"1"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"2"	1	13	8	169	10	131	96	7	16	13	5	6	12	13	21	520	NA	520	NA
"3"	2	7	5	118	9	92	111	7	20	7	4	6	19	8	8	421	NA	421	NA
"4"	3	14	1	22	10	503	14	2	4	77	6	7	10	12	20	702	NA	702	NA
"5"	4	4	3	199	8	95	23	1	6	8	5	2	15	18	11	398	NA	398	NA
"6"	NA	62	14	116	6	63	34	2	9	4	12	7	21	33	35	418	NA	418	NA
"7"	5	68	7	241	9	98	47	5	16	3	3	11	10	10	46	574	NA	574	NA
"8"	6	28	13	443	22	118	31	4	8	18	1	2	21	15	22	746	NA	746	NA
"9"	7	17	10	206	10	126	20	6	13	6	7	3	14	94	29	561	NA	561	NA
"10"	8	15	34	186	5	44	114	8	23	16	8	8	18	11	26	516	NA	516	NA
"11"	9	1	4	10	1	104	49	5	4	8	3	5	1	4	5	204	NA	204	NA
"12"	10	10	8	51	7	50	210	14	45	42	13	17	15	31	17	530	NA	530	NA
"13"	11	10	8	149	13	156	217	15	67	22	14	26	24	17	43	781	NA	781	NA
"14"	12	15	8	261	5	55	110	11	35	17	14	18	24	23	42	638	NA	638	NA
"15"	13	1	9	102	4	97	34	4	6	8	2	5	6	1	7	286	NA	286	NA
"16"	NA	265	132	2273	119	1732	1110	91	272	249	97	123	210	290	332	7295	0	7295	0
"17"	NA	265	132	2273	119	1732	1110	91	272	249	97	123	210	290	332	7295	0	7295	0
"18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"24"	14	8	35	387	12	48	15	5	14	28	8	14	23	21	20	638	NA	638	NA
"25"	15	8	5	41	4	602	42	5	14	23	6	6	11	5	16	788	NA	788	NA
"26"	16	24	5	35	3	136	72	4	17	10	7	1	5	26	9	354	NA	354	NA
"27"	17	55	14	203	12	141	54	5	12	93	7	12	18	45	39	710	NA	710	NA
"28"	18	7	2	130	12	90	8	0	5	12	3	2	10	15	7	303	NA	303	NA
"29"	19	12	12	392	13	150	53	4	13	28	6	5	20	33	22	763	NA	763	NA
"30"	20	9	21	308	16	124	79	7	16	30	6	4	13	9	11	653	NA	653	NA
"31"	21	37	8	401	22	63	47	6	19	8	22	16	59	8	24	740	NA	740	NA
"32"	22	13	8	224	15	81	111	5	35	69	4	3	6	13	18	605	NA	605	NA
"33"	23	16	6	93	18	345	54	5	10	49	12	12	11	7	19	657	NA	657	NA
"34"	24	13	4	94	9	121	179	12	28	73	10	10	6	26	12	597	NA	597	NA
"35"	25	19	3	37	6	122	77	7	11	91	5	4	5	1	11	399	NA	399	NA
"36"	26	16	7	159	6	104	147	12	33	48	9	5	10	9	8	573	NA	573	NA
"37"	27	23	7	37	9	59	353	15	30	19	12	10	12	7	12	605	NA	605	NA
"38"	NA	260	137	2541	157	2186	1291	92	257	581	117	104	209	225	228	8385	0	8385	0
"39"	NA	265	132	2273	119	1732	1110	91	272	249	97	123	210	290	332	7295	0	7295	0
"40"	NA	525	269	4814	276	3918	2401	183	529	830	214	227	419	515	560	15680	0	15680	0
"41"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"47"	28	8	5	106	4	97	125	3	18	14	4	8	5	2	4	403	NA	403	NA
"48"	29	21	7	1	3	398	106	7	7	31	2	1	4	0	12	600	NA	600	NA
"49"	30	26	12	31	3	188	105	4	13	82	6	4	3	3	4	484	NA	484	NA
"50"	31	2	2	26	2	39	29	2	7	141	3	2	1	2	17	275	NA	275	NA
"51"	32	13	11	133	49	142	47	4	17	128	0	2	10	28	15	599	NA	599	NA
"52"	33	7	4	119	24	188	40	8	12	142	6	7	10	12	13	592	NA	592	NA
"53"	34	22	9	24	6	137	47	3	15	199	5	3	4	4	6	484	NA	484	NA
