"BOOTH.NO"	"KRISHANA.NANDAN.PASWAN"	"DINESH.KUMAR.RAJ"	"MAHABALI.PASWAN"	"VIJAY.KUMAR.RAM"	"SAJAWAL.RAM"	"SURENDRA.KUMAR.CHANDRA.ALIAS.SATISH.PASWAN"	"PRAMOD.RAM"	"BINDESHWARI.RAM"	"MUKHLAL.MAJHI"	"KUSUM.DEVI"	"KRISHAN.MOHAN.KUMAR"	"JAMDAR.RAM"	"BADARI.PASWAN"	"MUNNI.MANJHI"	"SURESH.KUMAR"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"2"	1	345	8	1	1	1	81	2	4	2	2	14	4	2	2	8	477
"3"	2	226	5	3	18	3	196	4	3	3	8	5	3	17	2	20	516
"4"	3	130	23	6	111	13	202	5	2	3	11	5	4	4	2	17	538
"5"	4	296	7	2	3	2	203	2	2	0	3	12	5	4	4	8	553
"6"	5	565	21	5	16	7	52	2	1	2	6	9	3	4	2	21	716
"7"	6	355	22	1	4	4	188	2	1	4	4	0	1	2	3	14	605
"8"	7	143	4	0	28	9	96	0	2	0	2	0	0	2	0	13	299
"9"	8	348	11	0	4	0	52	1	5	0	25	1	1	2	2	21	473
"10"	9	349	22	4	11	2	165	5	5	1	3	5	5	5	4	24	610
"11"	10	502	26	5	14	7	70	6	3	2	0	5	3	1	1	26	671
"12"	11	333	12	2	7	6	165	4	1	5	8	5	6	5	10	37	606
"13"	12	273	15	23	6	8	150	5	1	4	6	9	0	7	7	19	533
"14"	13	326	24	9	17	59	219	17	14	6	9	5	3	15	14	47	784
"15"	14	297	19	2	13	4	110	1	1	2	2	7	4	3	4	19	488
"16"	15	381	16	26	95	5	95	1	1	0	2	1	6	3	3	15	650
"17"	16	314	15	0	0	1	112	1	3	1	5	1	0	2	3	21	479
"18"	17	405	20	5	10	2	93	6	3	3	2	2	3	1	2	29	586
"19"	18	424	26	2	2	3	97	2	1	4	2	3	0	11	2	30	609
"20"	19	170	4	0	24	1	131	3	4	1	17	9	1	5	5	13	388
"21"	20	204	7	1	56	3	205	2	2	3	4	8	4	3	1	15	518
"22"	21	210	6	9	122	7	168	5	3	4	6	4	3	4	6	7	564
"23"	22	253	18	3	50	5	199	7	7	49	20	3	7	4	2	12	639
"24"	23	299	17	4	125	3	170	3	3	0	5	0	6	2	0	7	644
"25"	24	296	9	4	4	8	94	4	2	1	4	1	3	1	2	12	445
"26"	25	334	21	5	26	5	69	2	3	0	4	0	1	3	0	9	482
"27"	26	443	14	3	7	3	139	3	4	3	1	2	2	2	7	23	656
"28"	27	279	4	1	2	3	113	0	0	0	1	0	0	4	2	12	421
"29"	28	216	14	3	5	0	115	2	2	0	4	3	3	2	3	8	380
"30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"32"	29	374	14	2	6	25	142	2	3	14	14	6	2	1	0	9	614
"33"	30	338	18	3	47	8	239	10	1	5	4	4	1	4	5	52	739
"34"	31	299	6	4	10	4	229	6	4	5	38	6	4	3	1	15	634
"35"	32	322	16	7	9	5	163	4	1	3	3	2	3	1	2	12	553
"36"	33	321	8	1	48	2	32	0	1	3	13	1	1	2	4	10	447
"37"	34	410	8	1	9	2	75	1	0	2	2	7	0	0	1	8	526
"38"	35	258	23	2	39	41	157	2	3	2	4	2	1	3	6	12	555
"39"	36	196	2	1	7	33	228	3	2	2	1	2	3	1	1	19	501
"40"	37	335	10	0	4	4	179	5	1	2	2	6	2	0	2	12	564
"41"	38	473	21	13	25	12	257	7	1	1	1	2	1	3	0	5	822
"42"	39	101	4	2	31	6	163	2	6	0	7	43	6	4	2	10	387
"43"	40	229	8	3	25	4	56	3	0	2	5	11	5	2	3	44	400
"44"	41	456	17	1	28	18	182	6	2	3	1	4	6	2	4	20	750
"45"	42	230	5	1	48	24	132	4	1	1	2	2	6	1	3	13	473
"46"	43	368	19	5	8	3	110	5	5	0	28	8	0	3	7	25	594
"47"	44	266	27	1	31	7	103	2	1	5	4	2	11	2	3	48	513
"48"	45	343	18	3	15	4	155	12	4	5	4	10	3	3	3	26	608
"49"	46	338	6	5	8	5	123	2	3	2	13	1	1	1	0	18	526
"50"	47	425	33	2	7	6	105	3	1	2	7	2	3	6	2	8	612
"51"	48	267	12	7	39	7	415	20	3	4	10	8	6	13	12	57	880
"52"	49	245	26	7	61	67	161	9	8	7	8	10	7	6	12	32	666
"53"	50	117	2	10	33	7	211	5	0	1	5	4	5	1	1	2	404
"54"	51	101	11	4	48	35	332	8	2	1	9	4	1	2	2	11	571
"55"	52	333	8	45	19	8	262	6	6	2	52	5	13	4	1	14	778
"56"	53	127	4	0	3	10	56	3	0	0	18	0	1	3	0	7	232
"57"	54	120	6	1	19	4	29	0	0	1	4	6	0	1	1	5	197
"58"	55	252	14	2	14	20	260	4	3	5	7	92	4	3	4	21	705
"59"	56	341	13	4	22	12	244	8	5	5	7	9	8	7	6	25	716
"60"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"62"	57	327	33	10	29	4	142	4	3	5	15	22	6	4	9	27	640
"63"	58	229	11	4	4	3	104	2	10	1	6	101	5	1	3	14	498
"64"	59	265	10	3	4	5	140	2	6	2	25	131	0	3	2	18	616
"65"	60	176	14	5	25	10	196	10	3	2	5	10	6	1	1	8	472
"66"	61	113	7	3	73	13	43	1	2	2	4	2	11	1	1	14	290
"67"	62	171	4	0	6	2	107	2	0	1	0	6	6	0	3	3	311
"68"	63	173	7	6	37	10	317	9	7	4	15	10	5	6	6	28	640
"69"	64	219	5	1	63	4	43	0	2	1	1	0	5	0	1	6	351
"70"	65	319	16	5	33	5	248	6	4	7	8	17	8	7	3	28	714
"71"	66	203	14	1	41	5	211	1	2	3	6	60	2	3	1	23	576
"72"	67	108	9	3	24	4	220	5	6	5	21	13	1	4	3	14	440
"73"	68	176	13	6	17	7	37	6	17	5	7	216	5	2	7	116	637
"74"	69	80	2	2	7	3	47	2	11	4	9	92	10	3	1	77	350
"75"	70	109	4	3	19	1	12	0	1	0	0	2	1	0	1	64	217
"76"	71	211	12	2	35	3	95	4	2	3	1	14	1	2	3	10	398
"77"	72	260	22	2	20	3	80	4	4	2	6	48	1	2	2	12	468
"78"	73	313	27	8	126	27	83	5	6	6	16	6	2	4	5	28	662
"79"	74	279	19	8	71	4	37	2	0	1	8	8	0	2	7	25	471
"80"	75	306	14	9	33	28	105	2	2	2	13	8	6	2	3	22	555
"81"	76	289	22	5	79	12	48	3	6	5	3	2	1	2	3	16	496
"82"	77	278	13	4	50	7	54	1	0	1	7	1	2	0	1	3	422
"83"	78	122	10	4	78	6	34	3	0	1	13	3	1	2	1	5	283
"84"	79	329	17	9	55	4	61	2	6	2	1	3	1	4	3	12	509
"85"	80	299	13	38	22	4	7	0	1	1	6	2	1	2	4	13	413
"86"	81	398	9	41	16	1	41	3	0	0	6	2	3	4	2	16	542
"87"	82	357	29	18	36	2	35	4	7	2	43	4	0	2	1	6	546
"88"	83	51	6	5	11	21	227	14	7	3	6	6	5	4	1	15	382
"89"	84	271	24	2	143	49	37	1	5	2	1	5	3	3	5	37	588
"90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"92"	85	246	14	7	64	177	92	6	7	1	12	3	5	2	6	20	662
"93"	86	250	6	6	23	5	128	32	2	13	2	4	1	5	7	25	509
"94"	87	245	17	3	24	11	87	3	6	6	42	30	2	0	5	11	492
"95"	88	161	7	4	26	20	33	2	5	0	2	7	0	0	3	5	275
"96"	89	216	6	1	37	8	55	1	2	1	1	5	11	2	1	8	355
"97"	90	149	9	2	13	1	204	5	1	1	3	9	5	3	1	24	430
