"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE  RULE 56C (2)©]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 56 PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency/Segment  228659"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly/Segment… 25-Parihar (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"8"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"10"	"1"	"1"	""	"95"	"5"	"28"	"152"	"116"	"10"	"3"	"5"	"5"	"14"	"29"	"24"	"6"	"30"	"522"	"0"	"522"	"0"	""
"11"	"2"	"2"	""	"31"	"1"	"15"	"105"	"154"	"11"	"8"	"13"	"22"	"7"	"135"	"12"	"10"	"22"	"546"	"0"	"546"	"0"	""
"12"	"3"	"3"	""	"30"	"1"	"23"	"190"	"248"	"17"	"3"	"5"	"7"	"11"	"23"	"3"	"3"	"11"	"575"	"0"	"575"	"0"	""
"13"	"4"	"4"	""	"80"	"3"	"17"	"238"	"132"	"11"	"2"	"6"	"2"	"13"	"6"	"5"	"8"	"10"	"533"	"0"	"533"	"0"	""
"14"	"5"	"5"	""	"98"	"8"	"3"	"331"	"186"	"20"	"1"	"6"	"11"	"9"	"41"	"16"	"13"	"23"	"766"	"0"	"766"	"0"	""
"15"	"6"	"6"	""	"6"	"4"	"9"	"195"	"109"	"12"	"4"	"6"	"12"	"21"	"26"	"12"	"13"	"28"	"457"	"0"	"457"	"0"	""
"16"	"7"	"7"	""	"23"	"3"	"10"	"342"	"256"	"15"	"7"	"1"	"2"	"10"	"3"	"5"	"9"	"2"	"688"	"0"	"688"	"0"	""
"17"	"8"	"8"	""	"5"	"0"	"7"	"58"	"321"	"13"	"1"	"1"	"1"	"8"	"10"	"8"	"4"	"14"	"451"	"0"	"451"	"0"	""
"18"	"9"	"9"	""	"35"	"0"	"14"	"247"	"220"	"14"	"0"	"5"	"1"	"3"	"8"	"8"	"4"	"4"	"563"	"0"	"563"	"0"	""
"19"	"10"	"10"	""	"83"	"2"	"7"	"119"	"243"	"13"	"1"	"2"	"5"	"9"	"7"	"12"	"11"	"13"	"527"	"0"	"527"	"0"	""
