"Serial.No..of.Polling.Station"	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"TOTAL.NO..OF.VALID.VOTES"	"X..16"	"NO..OF.RAJECTED.VOTES"	"TOTAL"
"1"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"2"	"1"	"29"	"36"	"2"	"1"	"45"	"0"	"2"	"0"	"0"	"71"	"0"	"1"	"1"	"165"	"4"	"2"	"2"	"361"	""	"0"	"361"
"3"	"2"	"240"	"12"	"54"	"5"	"29"	"4"	"2"	"1"	"2"	"188"	"12"	"8"	"2"	"6"	"3"	"27"	"7"	"602"	""	"0"	"602"
"4"	"3"	"98"	"46"	"235"	"3"	"121"	"1"	"2"	"3"	"5"	"211"	"5"	"6"	"2"	"54"	"7"	"9"	"5"	"813"	""	"0"	"813"
"5"	"4"	"183"	"23"	"99"	"2"	"31"	"2"	"11"	"2"	"0"	"19"	"2"	"1"	"0"	"2"	"6"	"5"	"5"	"393"	""	"0"	"393"
"6"	"5"	"94"	"13"	"114"	"4"	"80"	"1"	"8"	"1"	"1"	"80"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"403"	""	"0"	"403"
"7"	"6"	"196"	"27"	"138"	"4"	"107"	"6"	"17"	"4"	"3"	"268"	"7"	"9"	"7"	"23"	"3"	"18"	"11"	"848"	""	"0"	"848"
"8"	"7"	"292"	"28"	"8"	"0"	"63"	"0"	"30"	"2"	"1"	"146"	"1"	"0"	"0"	"9"	"0"	"0"	"0"	"580"	""	"0"	"580"
"9"	"8"	"281"	"30"	"178"	"2"	"91"	"2"	"12"	"1"	"1"	"38"	"0"	"2"	"1"	"1"	"0"	"3"	"7"	"650"	""	"0"	"650"
"10"	"9"	"240"	"133"	"7"	"4"	"120"	"6"	"15"	"4"	"4"	"295"	"6"	"2"	"0"	"9"	"2"	"8"	"3"	"858"	""	"0"	"858"
"11"	"10"	"58"	"67"	"122"	"6"	"64"	"5"	"6"	"0"	"0"	"48"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"382"	""	"0"	"382"
"12"	"11"	"364"	"13"	"196"	"8"	"172"	"3"	"27"	"21"	"6"	"181"	"4"	"6"	"0"	"5"	"1"	"4"	"3"	"1014"	""	"0"	"1014"
"13"	"12"	"159"	"14"	"272"	"1"	"147"	"4"	"23"	"34"	"3"	"53"	"5"	"2"	"3"	"3"	"43"	"5"	"4"	"775"	""	"0"	"775"
"14"	"13"	"424"	"23"	"39"	"14"	"160"	"2"	"37"	"10"	"7"	"30"	"3"	"1"	"2"	"57"	"3"	"7"	"5"	"824"	""	"0"	"824"
"15"	"14"	"174"	"91"	"105"	"1"	"141"	"2"	"16"	"1"	"0"	"4"	"3"	"3"	"1"	"4"	"0"	"3"	"5"	"554"	""	"0"	"554"
"16"	"TOTAL"	"2832"	"556"	"1569"	"55"	"1371"	"38"	"208"	"84"	"33"	"1632"	"51"	"43"	"19"	"341"	"73"	"92"	"60"	"9057"	""	"0"	"9057"
"17"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"18"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"19"	"BF"	"2832"	"556"	"1569"	"55"	"1371"	"38"	"208"	"84"	"33"	"1632"	"51"	"43"	"19"	"341"	"73"	"92"	"60"	"9057"	""	"0"	"9057"
"20"	"15"	"284"	"152"	"39"	"3"	"32"	"5"	"164"	"3"	"8"	"39"	"5"	"5"	"1"	"2"	"5"	"7"	"8"	"762"	""	"0"	"762"
"21"	"16"	"217"	"12"	"365"	"4"	"29"	"2"	"51"	"1"	"4"	"33"	"0"	"11"	"2"	"6"	"3"	"6"	"3"	"749"	""	"0"	"749"
"22"	"17"	"62"	"0"	"1"	"0"	"0"	"1"	"58"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"130"	""	"0"	"130"
"23"	"18"	"144"	"31"	"200"	"4"	"15"	"1"	"8"	"1"	"4"	"119"	"1"	"5"	"2"	"17"	"8"	"3"	"7"	"570"	""	"0"	"570"
"24"	"19"	"541"	"16"	"25"	"2"	"63"	"4"	"24"	"3"	"8"	"18"	"4"	"5"	"65"	"4"	"48"	"3"	"10"	"843"	""	"0"	"843"
"25"	"20"	"16"	"4"	"18"	"5"	"6"	"2"	"25"	"1"	"5"	"53"	"4"	"108"	"10"	"131"	"81"	"200"	"7"	"676"	""	"0"	"676"
"26"	"21"	"195"	"53"	"160"	"12"	"72"	"3"	"4"	"2"	"0"	"35"	"1"	"9"	"11"	"5"	"30"	"9"	"5"	"606"	""	"0"	"606"
"27"	"22"	"301"	"40"	"2"	"12"	"61"	"1"	"19"	"25"	"4"	"40"	"4"	"0"	"1"	"3"	"2"	"0"	"2"	"517"	""	"0"	"517"
