"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total..Valid.Votes"
"1"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"2"	"1"	"71"	"13"	"242"	"81"	"15"	"6"	"4"	"5"	"11"	"20"	"468"
"3"	"2"	"3"	"6"	"11"	"152"	"8"	"5"	"3"	"2"	"1"	"1"	"192"
"4"	"3"	"13"	"20"	"170"	"67"	"22"	"2"	"3"	"1"	"3"	"11"	"312"
"5"	"4"	"12"	"6"	"13"	"272"	"18"	"3"	"7"	"0"	"3"	"2"	"336"
"6"	"5"	"4"	"9"	"40"	"178"	"9"	"3"	"9"	"7"	"1"	"21"	"281"
"7"	"6"	"7"	"5"	"236"	"66"	"23"	"0"	"5"	"4"	"6"	"11"	"363"
"8"	"7"	"3"	"0"	"144"	"97"	"1"	"0"	"4"	"1"	"0"	"7"	"257"
"9"	"8"	"36"	"60"	"257"	"31"	"51"	"1"	"5"	"5"	"7"	"13"	"466"
"10"	"9"	"27"	"82"	"163"	"89"	"10"	"4"	"60"	"11"	"11"	"17"	"474"
"11"	"10"	"21"	"23"	"173"	"127"	"4"	"5"	"12"	"8"	"7"	"21"	"401"
"12"	"11"	"1"	"4"	"383"	"16"	"4"	"1"	"3"	"4"	"2"	"1"	"419"
"13"	"12"	"33"	"8"	"242"	"35"	"10"	"1"	"8"	"0"	"0"	"0"	"337"
"14"	"13"	"59"	"15"	"152"	"217"	"9"	"1"	"13"	"9"	"4"	"11"	"490"
"15"	"14"	"2"	"2"	"79"	"100"	"4"	"0"	"6"	"0"	"0"	"0"	"193"
"16"	"15"	"2"	"4"	"490"	"50"	"6"	"0"	"2"	"6"	"3"	"4"	"567"
"17"	"16"	"13"	"12"	"93"	"375"	"12"	"1"	"7"	"3"	"4"	"21"	"541"
"18"	"17"	"9"	"8"	"25"	"408"	"6"	"3"	"9"	"0"	"1"	"4"	"473"
"19"	"18"	"40"	"19"	"125"	"215"	"22"	"3"	"3"	"1"	"3"	"7"	"438"
"20"	"19"	"4"	"5"	"16"	"397"	"9"	"0"	"2"	"0"	"0"	"2"	"435"
"21"	"20"	"9"	"2"	"339"	"56"	"13"	"2"	"3"	"11"	"3"	"12"	"450"
"22"	"21"	"3"	"21"	"264"	"32"	"1"	"0"	"5"	"3"	"1"	"11"	"341"
"23"	"22"	"16"	"5"	"502"	"35"	"5"	"0"	"2"	"4"	"3"	"15"	"587"
