"Candidat.es..Name........"	"ANITA.RAM"	"X."	"KUSHESHWAR.DAS"	"X..1"	"RAMSEWAK.HAZARI"	"X..2"	"BISHWNATH.PASWAN"	"X..3"	"ANUP.LAL.DAS"	"X..4"	"ARVIND.KUMAR.RAM"	"X..5"	"KUSHESHWAR.MAHTO"	"X..6"	"SHATRUDHAN.KUMAR.PASWAN"	"X..7"	"SINGHESHWAR.RAM"	"X..8"	"SUNIL.PASWAN"	"X..9"	"KAILASH.PASWAN"	"X..10"	"Total.Valied.Votes"	"X..11"	"X..12"
"1"	"BOOTH NO ----->"	1	""	2	""	3	""	4	""	5	""	6	""	7	""	8	""	9	""	10	""	11	""	12	""	""
"2"	""	3	""	4	""	5	""	6	""	7	""	8	""	9	""	10	""	11	""	12	""	13	""	NA	""	""
"3"	"1"	20	""	5	""	256	""	136	""	24	""	13	""	7	""	14	""	20	""	17	""	18	""	530	""	""
"4"	"2"	26	""	3	""	212	""	173	""	28	""	4	""	8	""	11	""	7	""	22	""	48	""	542	""	""
"5"	"3"	14	""	5	""	85	""	212	""	18	""	16	""	6	""	8	""	4	""	173	""	25	""	566	""	""
"6"	"4"	41	""	8	""	129	""	218	""	29	""	24	""	1	""	12	""	5	""	196	""	19	""	682	""	""
"7"	"5"	39	""	6	""	187	""	155	""	21	""	6	""	1	""	4	""	5	""	21	""	14	""	459	""	""
"8"	"6"	25	""	7	""	323	""	20	""	6	""	2	""	0	""	2	""	1	""	14	""	18	""	418	""	""
"9"	"6A"	49	""	4	""	196	""	17	""	3	""	4	""	1	""	3	""	12	""	35	""	27	""	351	""	""
"10"	"7"	24	""	10	""	390	""	108	""	9	""	3	""	3	""	5	""	14	""	11	""	23	""	600	""	""
"11"	"8"	70	""	16	""	342	""	79	""	17	""	6	""	6	""	1	""	6	""	6	""	13	""	562	""	""
"12"	"9"	55	""	4	""	321	""	30	""	6	""	2	""	4	""	0	""	10	""	3	""	12	""	447	""	""
"13"	"10"	126	""	4	""	255	""	31	""	5	""	4	""	3	""	2	""	2	""	5	""	17	""	454	""	""
"14"	"11"	62	""	17	""	360	""	47	""	5	""	6	""	9	""	4	""	10	""	11	""	27	""	558	""	""
"15"	"12"	28	""	3	""	213	""	27	""	9	""	7	""	4	""	6	""	18	""	12	""	16	""	343	""	""
"16"	"13"	44	""	3	""	326	""	43	""	17	""	9	""	4	""	6	""	3	""	9	""	27	""	491	""	""
"17"	"14"	35	""	14	""	359	""	37	""	8	""	1	""	2	""	5	""	5	""	8	""	16	""	490	""	""
"18"	"14A"	26	""	6	""	227	""	13	""	4	""	6	""	3	""	0	""	2	""	4	""	19	""	310	""	""
"19"	"15"	57	""	4	""	287	""	128	""	15	""	11	""	10	""	7	""	4	""	9	""	30	""	562	""	""
"20"	"16"	31	""	7	""	258	""	76	""	15	""	2	""	2	""	6	""	15	""	17	""	34	""	463	""	""
"21"	"17"	83	""	2	""	122	""	41	""	8	""	5	""	0	""	2	""	3	""	5	""	12	""	283	""	""
"22"	"18"	82	""	7	""	216	""	215	""	17	""	4	""	6	""	6	""	7	""	7	""	23	""	590	""	""
"23"	"19"	29	""	2	""	182	""	19	""	1	""	0	""	1	""	2	""	3	""	0	""	11	""	250	""	""
"24"	"20"	94	""	20	""	357	""	190	""	32	""	10	""	5	""	9	""	10	""	7	""	21	""	755	""	""
"25"	"21"	48	""	5	""	269	""	150	""	13	""	7	""	57	""	10	""	7	""	13	""	35	""	614	""	""
"26"	"22"	37	""	8	""	304	""	24	""	3	""	1	""	1	""	2	""	5	""	5	""	16	""	406	""	""
"27"	"23"	26	""	6	""	522	""	100	""	8	""	4	""	2	""	1	""	5	""	9	""	17	""	700	""	""
"28"	"24"	97	""	3	""	262	""	11	""	3	""	6	""	2	""	4	""	7	""	4	""	10	""	409	""	""
"29"	"25"	54	""	9	""	330	""	108	""	19	""	9	""	12	""	10	""	14	""	22	""	59	""	646	""	""
"30"	"26"	35	""	5	""	342	""	48	""	6	""	11	""	1	""	5	""	2	""	4	""	8	""	467	""	""
"31"	"26A"	21	""	3	""	287	""	10	""	2	""	3	""	4	""	7	""	7	""	8	""	18	""	370	""	""
"32"	"27"	80	""	11	""	181	""	197	""	36	""	7	""	21	""	16	""	11	""	11	""	50	""	621	""	""
"33"	"28"	51	""	7	""	401	""	126	""	17	""	10	""	7	""	3	""	9	""	19	""	32	""	682	""	""
"34"	"29"	18	""	10	""	381	""	72	""	7	""	15	""	6	""	2	""	6	""	12	""	25	""	554	""	""
"35"	"30"	25	""	6	""	350	""	301	""	28	""	8	""	6	""	4	""	7	""	3	""	23	""	761	""	""
"36"	"31"	24	""	5	""	211	""	72	""	6	""	4	""	3	""	2	""	6	""	7	""	12	""	352	""	""
"37"	"32"	41	""	9	""	364	""	172	""	21	""	2	""	7	""	9	""	4	""	7	""	30	""	666	""	""
"38"	"33"	16	""	10	""	282	""	172	""	23	""	18	""	2	""	11	""	7	""	7	""	58	""	606	""	""
"39"	"34"	95	""	11	""	275	""	243	""	19	""	6	""	5	""	3	""	5	""	8	""	14	""	684	""	""
"40"	"35"	35	""	19	""	194	""	411	""	39	""	17	""	6	""	12	""	20	""	7	""	37	""	797	""	""
"41"	"36"	45	""	4	""	377	""	10	""	2	""	8	""	2	""	2	""	6	""	13	""	22	""	491	""	""
