"Candidates.Name"	"KRISHNA.KUMAR.RISHI"	"JIWACHH.PASWAN"	"DHARMLAL.RISHI"	"SHALIGRAM.RISHIDEO"	"SANJEEV.KUMAR.PASWAN"	"AKHILESH.RISHIDEO"	"ASHOK.KUMAR.BHARTI"	"GYANCHAND.PASWAN"	"SURESH.BAITHA"	"DILIP.KUMAR.RAJAK"	"SHYAMDEO.PASWAN"	"Total"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13
"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	1	569	13	10	18	3	19	14	7	10	11	55	729
"4"	2	305	6	143	28	3	11	12	8	9	3	32	560
"5"	3	48	3	435	62	5	24	32	10	5	5	5	634
"6"	4	181	12	142	7	3	6	4	5	6	5	18	389
"7"	5	390	8	9	58	5	10	9	2	7	1	12	511
"8"	6	356	15	252	31	7	13	25	15	13	11	66	804
"9"	7	272	14	333	69	10	19	29	13	12	10	41	822
"10"	8	276	13	359	24	6	13	11	11	5	6	27	751
"11"	9	83	6	318	42	1	5	6	5	5	7	32	510
"12"	10	465	17	219	59	8	31	7	9	7	7	24	853
"13"	11	352	17	115	18	6	11	16	6	6	0	9	556
"14"	12	80	5	226	17	3	2	5	1	5	4	31	379
"15"	13	79	5	291	6	4	4	8	6	4	4	10	421
"16"	14	233	15	163	237	12	18	36	25	16	19	64	838
"17"	15	334	11	211	16	4	7	15	11	8	12	94	723
"18"	16	163	12	293	23	2	11	13	9	5	2	20	553
"19"	17	333	16	273	10	3	3	10	3	7	4	17	679
"20"	18	282	5	79	13	3	5	13	2	3	4	23	432
"21"	19	274	16	99	6	3	5	6	3	2	7	25	446
"22"	20	110	3	108	171	15	14	30	16	9	7	8	491
"23"	21	32	3	205	87	3	0	4	4	1	2	5	346
"24"	22	89	3	404	26	4	9	12	3	5	6	18	579
"25"	23	141	9	124	4	4	4	10	5	9	3	26	339
"26"	24	310	8	19	49	9	8	8	7	6	7	84	515
"27"	25	391	13	76	69	5	4	11	9	9	8	37	632
"28"	26	250	11	141	92	5	2	10	13	3	1	35	563
"29"	27	71	3	24	67	9	4	8	3	1	8	14	212
"30"	28	219	9	33	169	21	5	11	6	3	7	39	522
"31"	29	147	3	9	16	4	1	2	2	1	2	9	196
"32"	30	236	14	57	50	8	4	5	3	3	4	14	398
"33"	31	120	18	7	3	2	7	6	2	1	1	148	315
"34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	1	2	3	4	5	6	7	8	9	10	11	12	13
"36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	32	180	13	407	18	7	6	21	36	7	2	92	789
"38"	33	108	7	14	6	2	0	10	3	4	6	133	293
"39"	34	183	6	6	21	3	3	7	7	0	8	397	641
"40"	35	264	14	46	25	4	2	7	2	5	3	77	449
"41"	36	191	7	28	87	4	22	9	11	4	40	296	699
"42"	37	410	13	6	36	3	4	2	2	1	5	39	521
"43"	38	392	9	29	22	1	1	2	0	1	0	16	473
"44"	39	581	18	30	28	0	8	4	3	0	1	37	710
"45"	40	609	14	5	50	4	1	2	0	7	2	54	748
"46"	41	591	32	29	11	5	32	10	2	5	5	36	758
"47"	42	555	10	2	20	3	1	2	4	17	0	105	719
"48"	43	292	12	22	5	1	3	3	4	1	5	127	475
"49"	44	233	5	2	1	1	3	3	0	2	1	167	418
"50"	45	336	15	99	10	1	2	4	6	5	5	74	557
"51"	46	271	6	85	3	1	5	9	3	2	2	22	409
"52"	47	198	9	68	33	0	3	4	2	0	3	25	345
"53"	48	540	17	10	6	0	3	4	5	2	2	32	621
"54"	49	369	7	9	6	4	4	3	3	1	6	91	503
"55"	50	394	13	9	10	2	6	5	3	5	5	42	494
"56"	51	263	11	151	34	8	4	14	12	10	10	90	607
"57"	52	349	10	6	39	2	1	2	0	3	2	5	419
"58"	53	144	2	2	40	1	0	0	1	6	1	2	199
"59"	54	258	10	12	13	3	0	1	5	6	1	16	325
"60"	55	453	4	8	23	1	7	6	3	19	12	32	568
"61"	56	811	26	9	9	2	8	6	5	8	9	25	918
"62"	57	291	14	279	12	3	2	5	6	32	6	38	688
"63"	58	329	8	15	54	1	5	2	4	148	4	33	603
"64"	59	64	8	1	3	1	5	0	0	19	3	2	106
"65"	60	356	7	65	99	11	3	10	7	21	7	18	604
"66"	61	385	19	9	10	8	5	7	16	255	13	39	766
"67"	62	389	12	1	15	1	8	2	2	86	20	15	551
"68"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	1	2	3	4	5	6	7	8	9	10	11	12	13
"70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	63	112	10	138	186	5	3	14	5	89	21	24	607
"72"	64	185	14	281	40	9	6	10	6	9	8	28	596
"73"	65	390	11	4	28	10	5	4	6	23	12	48	541
"74"	66	154	5	6	149	7	2	2	3	3	5	5	341
"75"	67	210	11	69	113	9	6	12	4	3	5	19	461
"76"	NA	113	4	125	52	8	5	7	6	9	4	16	349
"77"	68	463	19	69	27	4	5	19	3	16	14	32	671
"78"	69	230	19	15	222	11	6	12	9	9	9	22	564
"79"	70	298	12	46	24	3	1	7	6	4	4	47	452
