"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"bly Constituency :052---Bahadurganj                                                                                                   No of Voters :208170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favTooutarl Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"OOTH N"	"MD
AKHTER NAMI"	"MOHAMMAD ANZAR NAIMI"	"MOHAMMAD TOUSIF ALAM"	"MOHAMMAD
MASWAR ALAM"	"SHUKAL MURMU"	"AZIM UDDIN"	"ASIF RAHMAN"	"KHOSHI DEVI"	"JAMIRU DIN"	"NOOR AZAM"	"MD. YAHYA"	"RAKESH KUMAR DAS"	"LAKHAN LAL PANDIT"	"SHAMIM ALAM"	"SAKIL AKHTAR"	"HARI
MOHAN SINGH"	"Total"
"6"	"1"	"13"	"13"	"293"	"157"	"41"	"13"	"203"	"15"	"6"	"18"	"16"	"17"	"11"	"17"	"16"	"26"	"875"
"7"	"2"	"3"	"4"	"100"	"168"	"19"	"1"	"49"	"6"	"2"	"4"	"2"	"7"	"80"	"7"	"4"	"5"	"461"
"8"	"3"	"2"	"4"	"77"	"117"	"17"	"4"	"12"	"0"	"1"	"2"	"0"	"2"	"4"	"1"	"1"	"0"	"244"
"9"	"4"	"13"	"20"	"64"	"346"	"47"	"7"	"51"	"18"	"10"	"23"	"3"	"7"	"65"	"3"	"2"	"17"	"696"
"10"	"5"	"11"	"69"	"161"	"284"	"65"	"7"	"24"	"5"	"8"	"50"	"5"	"3"	"5"	"9"	"3"	"19"	"728"
"11"	"6"	"3"	"7"	"60"	"33"	"36"	"22"	"79"	"12"	"19"	"6"	"14"	"15"	"365"	"10"	"8"	"10"	"699"
"12"	"7"	"14"	"11"	"35"	"45"	"12"	"16"	"43"	"8"	"5"	"3"	"3"	"3"	"154"	"3"	"3"	"1"	"359"
"13"	"8"	"5"	"5"	"32"	"77"	"24"	"14"	"5"	"13"	"10"	"12"	"3"	"20"	"379"	"9"	"7"	"12"	"627"
"14"	"9"	"10"	"9"	"16"	"47"	"10"	"30"	"8"	"6"	"16"	"2"	"6"	"6"	"591"	"7"	"7"	"19"	"790"
"15"	"10"	"3"	"2"	"6"	"26"	"9"	"18"	"2"	"8"	"3"	"1"	"2"	"8"	"396"	"2"	"1"	"2"	"489"
"16"	"11"	"1"	"1"	"31"	"17"	"17"	"6"	"30"	"1"	"12"	"2"	"1"	"12"	"439"	"8"	"4"	"15"	"597"
"17"	"12"	"1"	"10"	"48"	"37"	"4"	"3"	"228"	"17"	"6"	"6"	"8"	"11"	"55"	"5"	"6"	"10"	"455"
"18"	"12A"	"3"	"5"	"33"	"105"	"20"	"7"	"163"	"4"	"3"	"7"	"3"	"5"	"59"	"2"	"6"	"4"	"429"
"19"	"13"	"9"	"3"	"73"	"80"	"6"	"3"	"283"	"6"	"6"	"13"	"4"	"4"	"3"	"6"	"1"	"1"	"501"
"20"	"14"	"4"	"1"	"36"	"17"	"69"	"12"	"400"	"26"	"16"	"27"	"6"	"15"	"131"	"11"	"8"	"13"	"792"
"21"	"15"	"8"	"5"	"32"	"34"	"4"	"19"	"521"	"24"	"12"	"38"	"9"	"14"	"36"	"4"	"5"	"13"	"778"
"22"	"16"	"8"	"7"	"83"	"46"	"38"	"8"	"252"	"21"	"12"	"16"	"13"	"19"	"29"	"26"	"6"	"7"	"591"
"23"	"17"	"7"	"4"	"1"	"18"	"8"	"9"	"3"	"4"	"6"	"8"	"4"	"117"	"202"	"2"	"0"	"3"	"396"
"24"	"18"	"10"	"11"	"73"	"47"	"7"	"3"	"1"	"10"	"5"	"12"	"13"	"422"	"21"	"5"	"1"	"2"	"643"
"25"	"19"	"4"	"2"	"94"	"26"	"14"	"5"	"10"	"6"	"5"	"21"	"12"	"314"	"35"	"9"	"11"	"10"	"578"
"26"	"20"	"1"	"9"	"192"	"66"	"13"	"7"	"19"	"12"	"13"	"42"	"11"	"350"	"113"	"12"	"3"	"27"	"890"
"27"	"21"	"15"	"10"	"60"	"80"	"9"	"12"	"321"	"25"	"7"	"18"	"14"	"5"	"5"	"12"	"4"	"7"	"604"
"28"	"22"	"4"	"6"	"7"	"51"	"20"	"6"	"455"	"10"	"5"	"11"	"5"	"1"	"2"	"2"	"1"	"3"	"589"
"29"	"23"	"5"	"2"	"26"	"131"	"10"	"10"	"310"	"24"	"15"	"15"	"8"	"2"	"36"	"6"	"1"	"11"	"612"
"30"	"24"	"13"	"6"	"84"	"110"	"51"	"14"	"279"	"10"	"9"	"7"	"5"	"12"	"87"	"2"	"5"	"2"	"696"
"31"	"25"	"3"	"10"	"9"	"329"	"24"	"8"	"18"	"16"	"4"	"4"	"1"	"5"	"186"	"3"	"2"	"12"	"634"
"32"	"26"	"1"	"21"	"181"	"24"	"4"	"1"	"89"	"5"	"0"	"3"	"11"	"5"	"5"	"25"	"5"	"14"	"394"
"33"	"27"	"6"	"7"	"189"	"153"	"32"	"2"	"15"	"0"	"3"	"5"	"3"	"4"	"36"	"9"	"5"	"8"	"477"
