"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X265858.184.266042.36.Madhubani"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"4"	"1"	"58"	"28"	"214"	"10"	"0"	"3"	"1"	"0"	"0"	"2"	"1"	"6"	"9"	"2"	"2"	"4"	"340"	""	"340"	""
"5"	"2"	"50"	"110"	"163"	"14"	"0"	"2"	"0"	"0"	"6"	"2"	"2"	"2"	"5"	"2"	"9"	"0"	"367"	""	"367"	""
"6"	"3"	"35"	"269"	"225"	"55"	"1"	"6"	"8"	"3"	"13"	"13"	"7"	"22"	"8"	"6"	"19"	"6"	"696"	""	"696"	""
"7"	"4"	"18"	"18"	"2"	"2"	"2"	"0"	"14"	"0"	"1"	"4"	"8"	"672"	"6"	"4"	"3"	"9"	"763"	""	"763"	""
"8"	"5"	"9"	"236"	"131"	"68"	"3"	"7"	"2"	"3"	"3"	"6"	"2"	"3"	"1"	"0"	"5"	"0"	"479"	""	"479"	""
"9"	"6"	"6"	"71"	"6"	"3"	"5"	"2"	"4"	"2"	"1"	"1"	"13"	"307"	"5"	"4"	"9"	"11"	"450"	""	"450"	""
"10"	"7"	"10"	"247"	"70"	"5"	"2"	"5"	"2"	"1"	"2"	"13"	"6"	"96"	"8"	"5"	"9"	"13"	"494"	""	"494"	""
"11"	"8"	"13"	"141"	"244"	"21"	"4"	"4"	"5"	"52"	"14"	"7"	"8"	"31"	"15"	"6"	"12"	"8"	"585"	""	"585"	""
"12"	"9"	"6"	"75"	"203"	"5"	"4"	"4"	"2"	"2"	"2"	"3"	"3"	"2"	"5"	"7"	"7"	"3"	"333"	""	"333"	""
"13"	"10"	"48"	"141"	"410"	"16"	"3"	"2"	"2"	"5"	"4"	"4"	"1"	"3"	"6"	"0"	"4"	"13"	"662"	""	"662"	""
"14"	"11"	"44"	"183"	"253"	"12"	"0"	"1"	"2"	"5"	"3"	"5"	"2"	"6"	"5"	"1"	"4"	"4"	"530"	""	"530"	""
"15"	"12"	"63"	"33"	"148"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"0"	"1"	"6"	"4"	"5"	"8"	"275"	""	"275"	""
"16"	"13"	"25"	"178"	"361"	"4"	"1"	"10"	"2"	"2"	"2"	"1"	"3"	"1"	"1"	"1"	"9"	"8"	"609"	""	"609"	""
"17"	"14"	"14"	"206"	"226"	"17"	"0"	"2"	"6"	"1"	"1"	"5"	"1"	"4"	"2"	"8"	"11"	"8"	"512"	""	"512"	""
"18"	"Total -1"	"399"	"1936"	"2656"	"232"	"25"	"48"	"50"	"77"	"54"	"70"	"57"	"1156"	"82"	"50"	"108"	"95"	"7095"	"0"	"7095"	"0"
"19"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"23"	"B.F."	"399"	"1936"	"2656"	"232"	"25"	"48"	"50"	"77"	"54"	"70"	"57"	"1156"	"82"	"50"	"108"	"95"	"7095"	"0"	"7095"	""
"24"	"15"	"39"	"54"	"259"	"7"	"4"	"2"	"0"	"2"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"1"	"373"	""	"373"	""
"25"	"16"	"9"	"138"	"247"	"4"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"2"	"3"	"1"	"412"	""	"412"	""
"26"	"17"	"39"	"29"	"308"	"10"	"2"	"1"	"2"	"2"	"1"	"1"	"0"	"0"	"16"	"2"	"0"	"1"	"414"	""	"414"	""
"27"	"18"	"69"	"28"	"167"	"7"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"43"	"1"	"1"	"2"	"325"	""	"325"	""
"28"	"19"	"142"	"34"	"206"	"2"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"6"	"1"	"3"	"0"	"399"	""	"399"	""
"29"	"20"	"54"	"223"	"74"	"2"	"0"	"3"	"2"	"0"	"2"	"5"	"0"	"0"	"2"	"1"	"1"	"0"	"369"	""	"369"	""
"30"	"21"	"50"	"205"	"91"	"10"	"0"	"3"	"4"	"2"	"1"	"9"	"2"	"4"	"17"	"3"	"3"	"3"	"407"	""	"407"	""
"31"	"22"	"34"	"80"	"310"	"17"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"4"	"453"	""	"453"	""
"32"	"23"	"18"	"30"	"410"	"147"	"7"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"6"	"2"	"0"	"4"	"633"	""	"633"	""
"33"	"24"	"37"	"169"	"319"	"10"	"5"	"4"	"2"	"1"	"0"	"2"	"1"	"2"	"1"	"0"	"5"	"2"	"560"	""	"560"	""
"34"	"25"	"14"	"208"	"218"	"76"	"2"	"2"	"2"	"7"	"0"	"2"	"1"	"10"	"2"	"2"	"7"	"1"	"554"	""	"554"	""
