"Candidates..Name"	"DADAN.YADAV..MANPA."	"DR..DAUD.ALI"	"PRATIBHA.DEVI"	"SUNIL.KUMAR"	"AYODHYA.KUMAR.SINGH"	"DADAN.YADAV..SAMHAR."	"DHRUV.PRASAD.GUPTA"	"RAJ.RAM.CHOUDHARY"	"BINOD.SINGH"	"SATYENDAR.PRASAD"	"KAMALA.DEVI"	"GORAKH.NATH.SINGH"	"RANJIT.SINGH"	"HARERAM.SINGH"	"TOTAL"
"1"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"33"
"5"	"1"	"7"	"168"	"31"	"61"	"1"	"9"	"35"	"5"	"0"	"1"	"0"	"3"	"3"	"16"	"340"
"6"	"1A"	"1"	"171"	"59"	"5"	"1"	"21"	"35"	"1"	"2"	"1"	"1"	"6"	"2"	"3"	"309"
"7"	"2"	"5"	"260"	"130"	"31"	"5"	"32"	"66"	"4"	"0"	"4"	"0"	"5"	"10"	"8"	"560"
"8"	"3"	"28"	"320"	"65"	"15"	"4"	"70"	"84"	"6"	"1"	"1"	"3"	"4"	"13"	"14"	"628"
"9"	"4"	"13"	"225"	"9"	"126"	"6"	"269"	"35"	"3"	"5"	"8"	"33"	"9"	"5"	"10"	"756"
"10"	"5"	"10"	"55"	"5"	"33"	"1"	"37"	"5"	"0"	"2"	"1"	"1"	"2"	"0"	"0"	"152"
"11"	"6"	"2"	"401"	"7"	"37"	"8"	"12"	"27"	"4"	"0"	"1"	"6"	"1"	"2"	"4"	"512"
"12"	"7"	"5"	"376"	"35"	"49"	"5"	"41"	"79"	"7"	"2"	"0"	"2"	"4"	"8"	"10"	"623"
"13"	"8"	"13"	"412"	"3"	"152"	"6"	"47"	"98"	"19"	"4"	"2"	"4"	"1"	"5"	"4"	"770"
"14"	"9"	"18"	"394"	"20"	"160"	"5"	"62"	"99"	"8"	"7"	"5"	"3"	"2"	"10"	"14"	"807"
"15"	"10"	"33"	"283"	"8"	"35"	"8"	"50"	"71"	"10"	"5"	"5"	"4"	"0"	"4"	"21"	"537"
"16"	"11"	"3"	"368"	"48"	"37"	"9"	"91"	"96"	"6"	"1"	"3"	"5"	"6"	"8"	"15"	"696"
"17"	"12"	"20"	"26"	"6"	"75"	"10"	"442"	"15"	"4"	"5"	"3"	"2"	"1"	"1"	"6"	"616"
"18"	"13"	"4"	"4"	"1"	"58"	"2"	"279"	"10"	"1"	"0"	"0"	"5"	"3"	"3"	"11"	"381"
"19"	"14"	"14"	"335"	"7"	"29"	"3"	"105"	"55"	"15"	"2"	"5"	"4"	"2"	"8"	"15"	"599"
"20"	"15"	"6"	"119"	"14"	"116"	"74"	"11"	"60"	"4"	"2"	"3"	"1"	"2"	"6"	"6"	"424"
"21"	"15A"	"8"	"202"	"16"	"98"	"12"	"13"	"38"	"6"	"4"	"2"	"1"	"7"	"8"	"11"	"426"
"22"	"16"	"5"	"124"	"22"	"12"	"60"	"61"	"65"	"7"	"3"	"7"	"5"	"0"	"1"	"12"	"384"
"23"	"17"	"25"	"334"	"27"	"55"	"34"	"46"	"99"	"3"	"4"	"1"	"4"	"6"	"8"	"11"	"657"
"24"	"18"	"20"	"364"	"49"	"127"	"15"	"85"	"76"	"5"	"10"	"5"	"2"	"6"	"1"	"12"	"777"
