"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 225-GURUA  CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :  225- GURUA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"7"	"1"	""	"6"	"12"	"8"	"239"	"70"	"4"	"2"	"3"	"4"	"5"	"1"	"7"	"8"	"5"	"15"	"389"
"8"	"2"	""	"7"	"11"	"7"	"196"	"190"	"3"	"3"	"4"	"5"	"4"	"6"	"8"	"7"	"0"	"2"	"453"
"9"	"3"	""	"0"	"14"	"0"	"144"	"4"	"0"	"0"	"2"	"0"	"1"	"3"	"1"	"1"	"0"	"3"	"173"
"10"	"4"	""	"1"	"0"	"3"	"163"	"5"	"1"	"3"	"2"	"0"	"0"	"1"	"9"	"4"	"2"	"0"	"194"
"11"	"5"	""	"4"	"5"	"1"	"30"	"140"	"3"	"1"	"1"	"7"	"4"	"11"	"4"	"68"	"1"	"9"	"289"
"12"	"6"	""	"6"	"11"	"52"	"138"	"69"	"5"	"1"	"1"	"15"	"8"	"5"	"11"	"60"	"8"	"6"	"396"
"13"	"7"	""	"47"	"8"	"10"	"190"	"231"	"4"	"2"	"4"	"8"	"7"	"10"	"5"	"9"	"4"	"7"	"546"
"14"	"8"	""	"6"	"22"	"43"	"43"	"66"	"2"	"6"	"8"	"11"	"5"	"10"	"4"	"16"	"6"	"10"	"258"
"15"	"9"	""	"0"	"3"	"2"	"27"	"127"	"0"	"1"	"3"	"0"	"1"	"0"	"2"	"8"	"86"	"2"	"262"
"16"	"10"	""	"29"	"29"	"1"	"50"	"258"	"9"	"1"	"6"	"4"	"8"	"8"	"5"	"21"	"9"	"10"	"448"
"17"	"11"	""	"36"	"57"	"17"	"66"	"242"	"13"	"3"	"9"	"6"	"12"	"16"	"6"	"27"	"7"	"12"	"529"
"18"	"12"	""	"6"	"17"	"9"	"19"	"40"	"2"	"0"	"5"	"6"	"3"	"6"	"4"	"258"	"7"	"5"	"387"
"19"	"13"	""	"10"	"28"	"7"	"92"	"119"	"7"	"1"	"2"	"5"	"7"	"10"	"10"	"36"	"7"	"14"	"355"
"20"	"14"	""	"17"	"4"	"16"	"217"	"165"	"1"	"1"	"4"	"5"	"10"	"8"	"8"	"5"	"2"	"3"	"466"
"21"	"15"	""	"4"	"2"	"1"	"67"	"172"	"3"	"1"	"4"	"3"	"9"	"3"	"1"	"3"	"1"	"2"	"276"
