"Annexure.XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"(Chapter XIV, para 25.9)"	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"4"	"[See rule 56c (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Election to the house of the people from the  10-RAXAUL  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""
"6"	"Part - I"	""	""	""	""	""	""	""	""	""	""	""
"7"	"[To be used both for Parliamentary and Assembly Election]"	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electiors in Assembly Constituency/Segment         2,10,115      "	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of th Assembly/Segment      10 RAXAUL      "	""	""	""	""	""	""	""	""	""	""	""
"10"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""
"11"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"12"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"13"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"14"	"1"	"176"	"7"	"22"	"213"	"194"	"8"	"9"	"629"	"0"	"629"	"0"
"15"	"2"	"174"	"12"	"35"	"309"	"79"	"10"	"54"	"673"	"0"	"673"	"0"
"16"	"3"	"205"	"9"	"13"	"185"	"22"	"8"	"7"	"449"	"0"	"449"	"0"
"17"	"4"	"224"	"9"	"25"	"197"	"44"	"6"	"8"	"513"	"0"	"513"	"0"
