"Assembly.Constituency..140...Hasanpur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 140---Hasanpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of Voters :226173"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates  Name ----->"	"MD ARIF RAZA"	"BACHCHA BABU YADAV"	"RAGHUWANSH MUKHIYA"	"RAJ KUMAR RAY"	"SUNIL KUMAR PUSPAM"	"PARMANAND SAHU"	"RAVINDRA KUMAR GUPTA"	"RAJ KUMAR YADAV"	"SITA RAM PANDIT"	"ANIL DAS"	"ARJUN PRASAD YADAV"	"Total Valid Votes"
"7"	"BOOTH NO"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"8"	"1"	"7"	"2"	"51"	"234"	"65"	"3"	"6"	"105"	"17"	"3"	"8"	"501"
"9"	"2"	"14"	"2"	"63"	"155"	"98"	"12"	"9"	"41"	"10"	"2"	"2"	"408"
"10"	"3"	"19"	"2"	"45"	"199"	"174"	"7"	"8"	"94"	"13"	"4"	"20"	"585"
"11"	"4"	"97"	"5"	"20"	"155"	"180"	"16"	"7"	"73"	"20"	"15"	"68"	"656"
"12"	"5"	"45"	"5"	"121"	"150"	"230"	"19"	"7"	"90"	"10"	"6"	"17"	"700"
"13"	"6"	"48"	"5"	"13"	"328"	"81"	"9"	"15"	"175"	"25"	"8"	"27"	"734"
"14"	"7"	"13"	"1"	"12"	"342"	"146"	"11"	"12"	"92"	"10"	"15"	"25"	"679"
"15"	"8"	"66"	"2"	"10"	"44"	"117"	"7"	"9"	"12"	"4"	"7"	"15"	"293"
"16"	"9"	"36"	"3"	"13"	"372"	"223"	"3"	"2"	"43"	"3"	"0"	"10"	"708"
"17"	"10"	"59"	"9"	"50"	"121"	"236"	"10"	"10"	"71"	"13"	"4"	"53"	"636"
"18"	"11"	"51"	"4"	"7"	"149"	"104"	"6"	"5"	"68"	"9"	"4"	"33"	"440"
"19"	"12"	"30"	"1"	"11"	"211"	"114"	"3"	"2"	"77"	"6"	"0"	"16"	"471"
"20"	"13"	"29"	"5"	"11"	"207"	"275"	"9"	"14"	"75"	"12"	"10"	"23"	"670"
"21"	"14"	"62"	"2"	"9"	"305"	"72"	"2"	"4"	"92"	"2"	"5"	"6"	"561"
"22"	"15"	"15"	"4"	"116"	"240"	"204"	"10"	"15"	"119"	"16"	"11"	"30"	"780"
"23"	"16"	"12"	"0"	"5"	"191"	"71"	"1"	"4"	"40"	"0"	"1"	"12"	"337"
"24"	"16A"	"10"	"5"	"7"	"238"	"80"	"2"	"6"	"40"	"6"	"3"	"10"	"407"
"25"	"17"	"49"	"3"	"6"	"198"	"169"	"7"	"7"	"47"	"6"	"1"	"18"	"511"
"26"	"18"	"15"	"7"	"34"	"40"	"293"	"16"	"7"	"27"	"4"	"7"	"99"	"549"
"27"	"19"	"15"	"1"	"6"	"204"	"82"	"3"	"8"	"78"	"9"	"11"	"81"	"498"
"28"	"20"	"8"	"2"	"10"	"89"	"510"	"18"	"10"	"29"	"7"	"5"	"19"	"707"
"29"	"21"	"20"	"5"	"12"	"143"	"94"	"6"	"4"	"65"	"11"	"4"	"184"	"548"
"30"	"22"	"18"	"7"	"5"	"29"	"217"	"9"	"4"	"21"	"8"	"8"	"89"	"415"
"31"	"23"	"59"	"41"	"9"	"103"	"175"	"41"	"21"	"66"	"12"	"13"	"130"	"670"
"32"	"24"	"13"	"1"	"14"	"113"	"204"	"8"	"5"	"33"	"5"	"2"	"23"	"421"
"33"	"25"	"4"	"2"	"4"	"133"	"120"	"4"	"2"	"61"	"2"	"2"	"70"	"404"
"34"	"26"	"3"	"3"	"1"	"114"	"82"	"6"	"6"	"32"	"4"	"3"	"26"	"280"
"35"	"27"	"8"	"0"	"13"	"77"	"71"	"2"	"0"	"10"	"1"	"2"	"2"	"186"
"36"	"28"	"15"	"3"	"37"	"183"	"440"	"12"	"8"	"62"	"11"	"8"	"79"	"858"
"37"	"29"	"21"	"2"	"9"	"315"	"122"	"3"	"2"	"15"	"2"	"0"	"16"	"507"
"38"	"29A"	"32"	"2"	"9"	"116"	"78"	"1"	"1"	"25"	"7"	"0"	"37"	"308"
"39"	"30"	"3"	"0"	"5"	"123"	"88"	"2"	"0"	"21"	"1"	"0"	"6"	"249"
"40"	"31"	"7"	"4"	"3"	"61"	"309"	"8"	"2"	"16"	"2"	"0"	"42"	"454"
"41"	"32"	"25"	"3"	"8"	"202"	"154"	"4"	"7"	"41"	"5"	"7"	"36"	"492"
"42"	"33"	"11"	"1"	"1"	"120"	"105"	"3"	"4"	"41"	"5"	"4"	"6"	"301"
"43"	"34"	"17"	"1"	"16"	"38"	"315"	"15"	"7"	"15"	"4"	"2"	"14"	"444"
"44"	"34A"	"5"	"0"	"41"	"32"	"160"	"6"	"4"	"19"	"6"	"7"	"16"	"296"
"45"	"35"	"61"	"10"	"16"	"76"	"371"	"14"	"5"	"39"	"8"	"9"	"43"	"652"
"46"	"36"	"14"	"2"	"163"	"90"	"64"	"1"	"4"	"53"	"11"	"3"	"6"	"411"
"47"	"37"	"24"	"0"	"4"	"181"	"90"	"8"	"5"	"70"	"6"	"7"	"26"	"421"
"48"	"38"	"117"	"5"	"14"	"120"	"97"	"5"	"5"	"42"	"9"	"4"	"21"	"439"
"49"	"39"	"22"	"1"	"12"	"256"	"82"	"1"	"2"	"84"	"4"	"4"	"17"	"485"
"50"	"40"	"47"	"3"	"10"	"348"	"68"	"4"	"3"	"78"	"8"	"2"	"12"	"583"
"51"	"41"	"14"	"3"	"16"	"156"	"182"	"8"	"11"	"66"	"12"	"7"	"38"	"513"
"52"	"42"	"6"	"2"	"8"	"198"	"211"	"8"	"5"	"41"	"12"	"1"	"19"	"511"
"53"	"43"	"23"	"0"	"10"	"177"	"356"	"8"	"12"	"49"	"6"	"2"	"27"	"670"
"54"	"44"	"9"	"1"	"66"	"68"	"248"	"6"	"3"	"31"	"2"	"8"	"11"	"453"
"55"	"45"	"18"	"1"	"153"	"134"	"53"	"6"	"3"	"43"	"8"	"2"	"18"	"439"
"56"	"46"	"7"	"0"	"52"	"76"	"159"	"7"	"3"	"34"	"10"	"4"	"29"	"381"
