"Rounnd.No.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"                                                                                                           final result sheet                                                                                                            "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assmebly from the ………212 Dehri Assembly….Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"part-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency…231642………...-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"8"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"9"	"1"	"1"	"249"	"4"	"142"	"7"	"4"	"9"	"1"	"2"	"4"	"4"	"0"	"4"	"28"	"20"	"0"	"12"	"490"	""	"490"	""
"10"	"2"	"2"	"257"	"20"	"218"	"13"	"2"	"4"	"1"	"0"	"0"	"2"	"1"	"2"	"32"	"5"	"0"	"10"	"567"	""	"567"	""
"11"	"3"	"3"	"197"	"2"	"54"	"21"	"2"	"9"	"0"	"5"	"1"	"1"	"6"	"2"	"89"	"10"	"1"	"9"	"409"	""	"409"	""
"12"	"4"	"4"	"147"	"5"	"182"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"25"	"6"	"2"	"12"	"385"	""	"385"	""
"13"	"5"	"5"	"26"	"79"	"167"	"2"	"0"	"11"	"1"	"1"	"1"	"0"	"2"	"0"	"4"	"13"	"2"	"12"	"321"	""	"321"	""
"14"	"6"	"6"	"79"	"6"	"156"	"18"	"1"	"21"	"0"	"2"	"1"	"3"	"4"	"0"	"16"	"19"	"2"	"7"	"335"	""	"335"	""
"15"	"7"	"6  A"	"192"	"6"	"71"	"43"	"0"	"6"	"0"	"0"	"0"	"1"	"4"	"0"	"4"	"7"	"1"	"7"	"342"	""	"342"	""
"16"	"8"	"7"	"74"	"4"	"225"	"3"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"129"	"8"	"1"	"7"	"455"	""	"455"	""
"17"	"9"	"8"	"107"	"10"	"64"	"21"	"2"	"56"	"0"	"0"	"1"	"1"	"5"	"3"	"62"	"13"	"3"	"0"	"348"	""	"348"	""
"18"	"10"	"9"	"39"	"3"	"133"	"6"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"5"	"4"	"1"	"4"	"200"	""	"200"	""
"19"	"11"	"10"	"55"	"14"	"191"	"20"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"94"	"7"	"0"	"7"	"393"	""	"393"	""
"20"	"12"	"11"	"25"	"164"	"227"	"10"	"7"	"4"	"1"	"2"	"1"	"2"	"2"	"1"	"187"	"11"	"1"	"6"	"651"	""	"651"	""
"21"	"13"	"12"	"192"	"5"	"139"	"3"	"1"	"2"	"0"	"2"	"2"	"1"	"0"	"1"	"26"	"12"	"3"	"6"	"395"	""	"395"	""
"22"	"14"	"13"	"65"	"41"	"154"	"61"	"3"	"26"	"0"	"0"	"3"	"3"	"4"	"1"	"30"	"17"	"2"	"7"	"417"	""	"417"	""
"23"	""	"Total"	"1704"	"363"	"2123"	"228"	"30"	"150"	"6"	"14"	"14"	"21"	"30"	"17"	"731"	"152"	"19"	"106"	"5708"	"0"	"5708"	"0"
"24"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Total No. of Electors in Assembly Constituency…231642………...-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
