"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 122-Sonepur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :122-Sonepur                                                                                        No of Voters :223186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates
Name
---- BOOTH NO."	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	""	""	"AJAY SINGH"	""	""	"RABRI DEVI"	""	""	"VINAY KUMAR SINGH"	""	""	"SAMIR SINGH"	""	""	"LAXMI RAI"	""	""	"SURESH PANDIT"	""	""	"RAJESH KUMAR"	""	""	"LILAWTI DEVI"	""	""	"VINAY KU SINGH"	""	""	"SUREND RA RAM"	""	""	"Total
Valid Votes"	""	""	""	""	""	""	""	""
"6"	"1"	""	"A"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""	""	""	""	""	""	""
"7"	"1"	""	""	"13"	""	""	"175"	""	""	"183"	""	""	"2"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"10"	""	""	"4"	""	""	"5"	""	""	"396"	""	""	""	""	""	""	""	""
"8"	"2"	""	""	"3"	""	""	"502"	""	""	"39"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"6"	""	""	"7"	""	""	"13"	""	""	"575"	""	""	""	""	""	""	""	""
"9"	"3"	""	""	"12"	""	""	"195"	""	""	"221"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"1"	""	""	"5"	""	""	"8"	""	""	"10"	""	""	"458"	""	""	""	""	""	""	""	""
"10"	"4"	""	""	"9"	""	""	"171"	""	""	"228"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	"2"	""	""	"422"	""	""	""	""	""	""	""	""
"11"	"5"	""	""	"26"	""	""	"44"	""	""	"250"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"8"	""	""	"2"	""	""	"3"	""	""	"335"	""	""	""	""	""	""	""	""
"12"	"6"	""	""	"12"	""	""	"190"	""	""	"411"	""	""	"9"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"14"	""	""	"3"	""	""	"5"	""	""	"651"	""	""	""	""	""	""	""	""
"13"	"7"	""	""	"12"	""	""	"181"	""	""	"173"	""	""	"7"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"7"	""	""	"3"	""	""	"9"	""	""	"396"	""	""	""	""	""	""	""	""
"14"	"8"	""	""	"25"	""	""	"309"	""	""	"370"	""	""	"6"	""	""	"7"	""	""	"6"	""	""	"7"	""	""	"6"	""	""	"2"	""	""	"7"	""	""	"745"	""	""	""	""	""	""	""	""
"15"	"9"	""	""	"9"	""	""	"199"	""	""	"563"	""	""	"12"	""	""	"5"	""	""	"4"	""	""	"5"	""	""	"17"	""	""	"4"	""	""	"5"	""	""	"823"	""	""	""	""	""	""	""	""
"16"	"10"	""	""	"19"	""	""	"202"	""	""	"367"	""	""	"4"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"11"	""	""	"6"	""	""	"10"	""	""	"625"	""	""	""	""	""	""	""	""
"17"	"11"	""	""	"11"	""	""	"425"	""	""	"105"	""	""	"4"	""	""	"3"	""	""	"4"	""	""	"7"	""	""	"5"	""	""	"4"	""	""	"10"	""	""	"578"	""	""	""	""	""	""	""	""
"18"	"12"	""	""	"23"	""	""	"258"	""	""	"356"	""	""	"4"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"11"	""	""	"3"	""	""	"12"	""	""	"670"	""	""	""	""	""	""	""	""
"19"	"13"	""	""	"16"	""	""	"236"	""	""	"237"	""	""	"6"	""	""	"4"	""	""	"4"	""	""	"3"	""	""	"10"	""	""	"5"	""	""	"17"	""	""	"538"	""	""	""	""	""	""	""	""
"20"	"14"	""	""	"16"	""	""	"258"	""	""	"303"	""	""	"5"	""	""	"4"	""	""	"0"	""	""	"4"	""	""	"11"	""	""	"7"	""	""	"12"	""	""	"620"	""	""	""	""	""	""	""	""
"21"	"15"	""	""	"13"	""	""	"291"	""	""	"278"	""	""	"12"	""	""	"6"	""	""	"4"	""	""	"4"	""	""	"20"	""	""	"18"	""	""	"14"	""	""	"660"	""	""	""	""	""	""	""	""
"22"	"16"	""	""	"4"	""	""	"190"	""	""	"246"	""	""	"7"	""	""	"1"	""	""	"3"	""	""	"1"	""	""	"3"	""	""	"6"	""	""	"10"	""	""	"471"	""	""	""	""	""	""	""	""
"23"	"17"	""	""	"10"	""	""	"154"	""	""	"264"	""	""	"6"	""	""	"5"	""	""	"6"	""	""	"5"	""	""	"9"	""	""	"12"	""	""	"14"	""	""	"485"	""	""	""	""	""	""	""	""
"24"	"18"	""	""	"5"	""	""	"27"	""	""	"278"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"3"	""	""	"2"	""	""	"0"	""	""	"318"	""	""	""	""	""	""	""	""
"25"	"18"	""	""	"6"	""	""	"89"	""	""	"181"	""	""	"5"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"5"	""	""	"2"	""	""	"5"	""	""	"294"	""	""	""	""	""	""	""	""
"26"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"24"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"28"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"29"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"33"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"34"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"35"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"36"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"36"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"38"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"41"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"42"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"44"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"45"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"46"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"47"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"3"	"28"	""	""	"318"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"0"	""	""	"3"	""	""	"360"	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"8"	"160"	""	""	"340"	""	""	"3"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	"2"	""	""	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"6"	"78"	""	""	"50"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"138"	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"2"	"8"	""	""	"683"	""	""	"4"	""	""	"0"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"701"	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"10"	"129"	""	""	"455"	""	""	"5"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"9"	""	""	"10"	""	""	"1"	""	""	"626"	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"10"	"103"	""	""	"376"	""	""	"9"	""	""	"2"	""	""	"1"	""	""	"4"	""	""	"15"	""	""	"5"	""	""	"12"	""	""	"537"	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"2"	"21"	""	""	"735"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"767"	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"5"	"141"	""	""	"412"	""	""	"5"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"3"	""	""	"569"	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"24"	"155"	""	""	"243"	""	""	"3"	""	""	"4"	""	""	"6"	""	""	"6"	""	""	"26"	""	""	"12"	""	""	"27"	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"17"	"117"	""	""	"278"	""	""	"8"	""	""	"3"	""	""	"4"	""	""	"6"	""	""	"16"	""	""	"5"	""	""	"7"	""	""	"461"	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"10"	"150"	""	""	"484"	""	""	"17"	""	""	"6"	""	""	"2"	""	""	"9"	""	""	"22"	""	""	"16"	""	""	"28"	""	""	"744"	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"12"	"90"	""	""	"280"	""	""	"12"	""	""	"4"	""	""	"1"	""	""	"1"	""	""	"7"	""	""	"0"	""	""	"4"	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"14"	"375"	""	""	"65"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"7"	""	""	"11"	""	""	"484"	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"18"	"195"	""	""	"154"	""	""	"3"	""	""	"2"	""	""	"3"	""	""	"3"	""	""	"2"	""	""	"5"	""	""	"3"	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"10"	"377"	""	""	"134"	""	""	"5"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"4"	""	""	"3"	""	""	"6"	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"17"	"321"	""	""	"240"	""	""	"6"	""	""	"1"	""	""	"3"	""	""	"5"	""	""	"4"	""	""	"1"	""	""	"3"	""	""	"601"	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"17"	"231"	""	""	"405"	""	""	"10"	""	""	"4"	""	""	"2"	""	""	"6"	""	""	"16"	""	""	"9"	""	""	"19"	""	""	"719"	""	""	""	""	""	""	""	""	""	""	""	""	""
