"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"3"	"1"	"58"	"3"	"68"	"231"	"8"	"2"	"7"	"1"	"13"	"93"	"7"	"5"	"18"	"6"	"1"	"6"	"1"	"1"	"529"	"0"	"529"	""
"4"	"2"	"125"	"60"	"188"	"109"	"4"	"1"	"1"	"2"	"6"	"2"	"2"	"1"	"3"	"5"	"15"	"10"	"2"	"3"	"539"	"0"	"539"	""
"5"	"3"	"105"	"3"	"217"	"119"	"3"	"0"	"0"	"2"	"3"	"48"	"6"	"3"	"3"	"1"	"8"	"3"	"1"	"3"	"528"	"0"	"528"	""
"6"	"4"	"144"	"62"	"224"	"90"	"3"	"5"	"2"	"2"	"3"	"3"	"3"	"0"	"3"	"7"	"4"	"1"	"5"	"2"	"563"	"0"	"563"	""
"7"	"5"	"8"	"5"	"296"	"330"	"23"	"2"	"3"	"1"	"12"	"6"	"5"	"5"	"25"	"21"	"7"	"20"	"1"	"4"	"774"	"0"	"774"	""
"8"	"6"	"85"	"1"	"53"	"218"	"2"	"0"	"3"	"1"	"1"	"1"	"2"	"0"	"2"	"0"	"68"	"0"	"1"	"0"	"438"	"0"	"438"	""
"9"	"7"	"48"	"74"	"94"	"87"	"5"	"0"	"5"	"1"	"2"	"0"	"2"	"3"	"3"	"3"	"3"	"2"	"2"	"1"	"335"	"0"	"335"	""
"10"	"8"	"25"	"92"	"236"	"310"	"8"	"0"	"0"	"1"	"5"	"4"	"5"	"0"	"9"	"6"	"29"	"2"	"0"	"1"	"733"	"0"	"733"	""
"11"	"9"	"17"	"119"	"239"	"191"	"10"	"0"	"1"	"3"	"6"	"27"	"3"	"0"	"12"	"14"	"15"	"7"	"4"	"3"	"671"	"0"	"671"	""
"12"	"10"	"19"	"55"	"121"	"202"	"1"	"0"	"1"	"7"	"4"	"47"	"1"	"1"	"3"	"1"	"35"	"1"	"2"	"3"	"504"	"0"	"504"	""
"13"	"11"	"88"	"6"	"36"	"388"	"5"	"2"	"3"	"3"	"8"	"6"	"2"	"4"	"25"	"7"	"19"	"8"	"2"	"1"	"613"	"0"	"613"	""
"14"	"11 A"	"48"	"8"	"31"	"170"	"11"	"4"	"0"	"1"	"4"	"0"	"0"	"0"	"9"	"1"	"0"	"2"	"1"	"1"	"291"	"0"	"291"	""
"15"	"12"	"170"	"72"	"147"	"250"	"2"	"4"	"4"	"14"	"8"	"21"	"1"	"3"	"14"	"7"	"15"	"9"	"2"	"1"	"744"	"0"	"744"	""
"16"	"13"	"20"	"161"	"41"	"59"	"3"	"0"	"2"	"3"	"2"	"38"	"3"	"2"	"3"	"5"	"5"	"10"	"1"	"0"	"358"	"0"	"358"	""
"17"	"TOTAL"	"960"	"721"	"1991"	"2754"	"88"	"20"	"32"	"42"	"77"	"296"	"42"	"27"	"132"	"84"	"224"	"81"	"25"	"24"	"7620"	"0"	"7620"	""
"18"	"B.F."	"960"	"721"	"1991"	"2754"	"88"	"20"	"32"	"42"	"77"	"296"	"42"	"27"	"132"	"84"	"224"	"81"	"25"	"24"	"7620"	"0"	"7620"	""
"19"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"21"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"22"	"14"	"3"	"1"	"8"	"248"	"5"	"2"	"3"	"22"	"5"	"9"	"18"	"4"	"10"	"2"	"5"	"6"	"0"	"1"	"352"	"0"	"352"	""
"23"	"15"	"13"	"69"	"155"	"51"	"3"	"2"	"2"	"67"	"5"	"7"	"0"	"1"	"5"	"13"	"4"	"15"	"2"	"3"	"417"	"0"	"417"	""
"24"	"16"	"28"	"10"	"428"	"86"	"4"	"1"	"0"	"1"	"2"	"2"	"2"	"1"	"7"	"9"	"0"	"3"	"1"	"1"	"586"	"0"	"586"	""
"25"	"17"	"23"	"6"	"53"	"175"	"8"	"3"	"3"	"12"	"7"	"9"	"1"	"6"	"30"	"5"	"4"	"11"	"6"	"4"	"366"	"0"	"366"	""
"26"	"18"	"3"	"1"	"107"	"254"	"3"	"1"	"0"	"7"	"5"	"0"	"2"	"1"	"2"	"1"	"2"	"1"	"0"	"0"	"390"	"0"	"390"	""
"27"	"19"	"63"	"10"	"54"	"318"	"14"	"0"	"8"	"7"	"9"	"0"	"1"	"0"	"19"	"7"	"1"	"10"	"3"	"1"	"525"	"0"	"525"	""
"28"	"20"	"46"	"11"	"74"	"111"	"4"	"0"	"2"	"24"	"2"	"0"	"1"	"0"	"4"	"4"	"4"	"4"	"2"	"1"	"294"	"0"	"294"	""
"29"	"21"	"214"	"59"	"87"	"103"	"7"	"11"	"3"	"8"	"5"	"22"	"2"	"3"	"0"	"2"	"48"	"7"	"2"	"2"	"585"	"0"	"585"	""
"30"	"22"	"147"	"18"	"202"	"41"	"2"	"8"	"5"	"10"	"7"	"173"	"3"	"0"	"2"	"2"	"6"	"4"	"3"	"4"	"637"	"0"	"637"	""
"31"	"23"	"98"	"142"	"166"	"38"	"2"	"1"	"1"	"5"	"2"	"18"	"2"	"0"	"6"	"7"	"2"	"8"	"1"	"4"	"503"	"0"	"503"	""
"32"	"24"	"37"	"58"	"48"	"411"	"15"	"5"	"4"	"3"	"6"	"32"	"1"	"5"	"38"	"6"	"11"	"23"	"1"	"4"	"708"	"0"	"708"	""
"33"	"25"	"223"	"6"	"141"	"92"	"3"	"0"	"1"	"2"	"0"	"29"	"1"	"13"	"2"	"0"	"1"	"3"	"3"	"1"	"521"	"0"	"521"	""
"34"	"26"	"16"	"11"	"428"	"9"	"2"	"1"	"0"	"1"	"0"	"3"	"1"	"0"	"1"	"9"	"6"	"3"	"0"	"1"	"492"	"0"	"492"	""
"35"	"27"	"39"	"44"	"128"	"369"	"10"	"1"	"1"	"1"	"4"	"2"	"4"	"2"	"18"	"12"	"2"	"6"	"4"	"6"	"653"	"0"	"653"	""
"36"	"TOTAL"	"1913"	"1167"	"4070"	"5060"	"170"	"56"	"65"	"212"	"136"	"602"	"81"	"63"	"276"	"163"	"320"	"185"	"53"	"57"	"14649"	"0"	"14649"	""
"37"	"B.F."	"1913"	"1167"	"4070"	"5060"	"170"	"56"	"65"	"212"	"136"	"602"	"81"	"63"	"276"	"163"	"320"	"185"	"53"	"57"	"14649"	"0"	"14649"	""
"38"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"40"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"41"	"28"	"353"	"150"	"68"	"202"	"6"	"1"	"2"	"12"	"8"	"3"	"1"	"6"	"17"	"5"	"18"	"42"	"3"	"2"	"899"	"0"	"899"	""
"42"	"29"	"18"	"30"	"480"	"215"	"8"	"2"	"6"	"2"	"5"	"8"	"1"	"2"	"11"	"10"	"9"	"7"	"1"	"1"	"816"	"0"	"816"	""
"43"	"30"	"248"	"3"	"124"	"40"	"2"	"1"	"1"	"3"	"2"	"2"	"1"	"1"	"1"	"5"	"6"	"5"	"10"	"2"	"457"	"0"	"457"	""
"44"	"31"	"74"	"3"	"87"	"145"	"8"	"2"	"2"	"2"	"4"	"0"	"0"	"1"	"6"	"2"	"5"	"4"	"4"	"0"	"349"	"0"	"349"	""
"45"	"32"	"62"	"50"	"350"	"60"	"1"	"1"	"0"	"1"	"2"	"21"	"0"	"1"	"3"	"2"	"7"	"1"	"1"	"0"	"563"	"0"	"563"	""
"46"	"33"	"37"	"19"	"186"	"212"	"8"	"3"	"2"	"0"	"1"	"7"	"0"	"4"	"16"	"4"	"2"	"4"	"1"	"1"	"507"	"0"	"507"	""
"47"	"34"	"69"	"69"	"302"	"22"	"5"	"2"	"1"	"0"	"1"	"5"	"1"	"2"	"3"	"4"	"6"	"3"	"2"	"8"	"505"	"0"	"505"	""
"48"	"35"	"24"	"70"	"322"	"145"	"1"	"0"	"1"	"1"	"2"	"5"	"0"	"2"	"3"	"10"	"4"	"5"	"5"	"7"	"607"	"0"	"607"	""
"49"	"36"	"34"	"22"	"274"	"102"	"3"	"1"	"4"	"3"	"3"	"3"	"2"	"5"	"3"	"9"	"16"	"7"	"0"	"5"	"496"	"0"	"496"	""
