"X."	"Candidates..Name"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
"2"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"3"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"4"	"1"	6	97	4	141	103	1	2	2	0	0	2	2	5	5	13	9	4	1	3	2	2	3	"407"	"0"	"407"	"0"
"5"	"2"	11	98	5	42	276	5	5	47	0	2	2	3	7	2	7	7	12	8	9	2	9	16	"575"	"0"	"575"	"0"
"6"	"3"	5	12	5	35	94	2	1	1	0	0	3	6	0	1	3	3	7	5	0	3	5	10	"201"	"0"	"201"	"0"
"7"	"4"	9	114	12	101	237	3	3	9	1	2	2	3	1	2	1	1	8	11	1	2	11	14	"548"	"0"	"548"	"0"
"8"	"5"	6	39	2	21	192	1	10	3	0	2	3	7	3	1	8	4	22	6	7	4	12	17	"370"	"0"	"370"	"0"
"9"	"5A"	5	116	3	65	98	0	1	2	2	1	3	2	9	0	6	6	10	11	9	1	28	12	"390"	"0"	"390"	"0"
"10"	"6"	5	30	2	31	281	3	0	1	0	1	3	1	2	0	2	7	4	2	0	1	4	4	"384"	"0"	"384"	"0"
"11"	"6A"	3	23	3	40	209	2	1	2	1	3	4	6	6	4	2	55	4	1	1	0	14	7	"391"	"0"	"391"	"0"
"12"	"7"	5	150	6	43	239	7	3	5	7	7	13	15	12	4	29	27	5	4	6	3	13	17	"620"	"0"	"620"	"0"
"13"	"8"	7	124	13	24	308	6	3	1	1	3	6	5	4	3	9	19	15	11	4	2	12	12	"592"	"0"	"592"	"0"
"14"	"9"	6	92	13	29	317	10	2	5	5	4	13	9	11	9	18	28	5	9	7	3	15	29	"639"	"0"	"639"	"0"
"15"	"10"	10	151	6	40	236	4	3	5	4	4	4	9	10	10	13	29	9	10	3	2	8	14	"584"	"0"	"584"	"0"
"16"	"11"	7	82	7	7	201	6	3	17	3	3	5	8	13	5	11	22	5	2	4	3	2	11	"427"	"0"	"427"	"0"
"17"	"12"	14	186	6	24	173	3	0	3	0	2	0	2	3	1	3	1	7	9	3	4	9	9	"462"	"0"	"462"	"0"
"18"	"13"	1	9	0	9	285	3	0	5	0	2	0	1	1	2	10	5	0	0	0	1	6	2	"342"	"0"	"342"	"0"
"19"	"14"	6	315	6	17	68	3	3	2	0	0	4	2	2	2	5	4	6	2	1	4	0	5	"457"	"0"	"457"	"0"
"20"	"15"	18	278	7	23	316	1	5	5	1	7	6	6	6	6	20	21	14	16	5	0	16	21	"798"	"0"	"798"	"0"
"21"	"16"	7	116	1	45	454	6	0	1	3	2	6	7	8	6	17	9	3	4	4	2	7	13	"721"	"0"	"721"	"0"
"22"	"17"	7	65	3	54	210	2	7	4	4	3	4	2	5	2	2	10	2	1	0	0	9	7	"403"	"0"	"403"	"0"
"23"	"18"	7	89	2	27	160	0	0	1	0	0	2	0	2	0	3	13	4	7	4	1	12	17	"351"	"0"	"351"	"0"
"24"	"19"	12	21	9	48	208	3	1	4	1	2	1	1	1	2	5	4	13	3	3	2	2	23	"369"	"0"	"369"	"0"
"25"	"20"	4	45	1	32	205	1	4	6	1	3	4	6	4	1	11	5	7	8	4	1	27	10	"390"	"0"	"390"	"0"
"26"	"21"	4	95	2	55	182	0	1	2	0	0	0	0	1	1	3	1	13	9	5	4	15	13	"406"	"0"	"406"	"0"
"27"	"22"	8	89	8	34	271	5	6	1	1	3	4	4	1	1	5	6	17	6	4	3	7	15	"499"	"0"	"499"	"0"
"28"	"23"	5	150	8	24	121	1	0	0	0	0	2	1	5	2	6	1	7	4	5	1	17	9	"369"	"0"	"369"	"0"
"29"	"24"	3	18	1	74	360	2	1	4	0	2	7	5	5	2	4	8	10	5	3	1	6	19	"540"	"0"	"540"	"0"
"30"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"31"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
