"Candidates.Name..........BOOTH.NO"	"ASHOK.KUMAR"	"MANOJ.KUMAR.SINGH"	"SHIV.BACHAN.YADAV"	"SATYADEO.SINGH"	"SUCHITRA.SINHA"	"UPENDRA.PASWAN"	"JAY.PRAKASH.PANDIT"	"PROF.JAIRAM.PRASAD.SINGH"	"MANTU.KUMAR"	"VINOD.KUMAR"	"BHART.SINGH.BHARTI"	"RAM.ASHRAY.MANJHI"	"LUVKUSH.SINGH"	"VIKRANT.PRATAP.SINGH"	"Total.Valid.Votes"	"X."
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"2"	1	16	8	65	147	11	45	15	5	2	5	7	5	8	21	360	""
"3"	2	7	14	26	110	4	5	1	8	0	1	4	0	0	6	186	""
"4"	3	2	17	211	58	0	0	1	0	0	0	0	0	0	1	290	""
"5"	4	4	16	202	83	7	42	10	2	1	2	3	0	3	6	381	""
"6"	5	8	5	185	191	6	9	5	1	3	8	14	13	4	9	461	""
"7"	6	43	16	48	282	13	22	16	7	5	5	3	0	2	13	475	""
"8"	7	10	0	18	305	4	10	6	0	1	2	3	2	0	0	361	""
"9"	8	7	32	82	88	7	2	6	2	5	14	10	6	9	19	289	""
"10"	9	13	2	354	21	19	2	0	2	0	30	1	4	4	5	457	""
"11"	10	4	9	90	303	16	6	15	7	4	9	3	3	2	9	480	""
"12"	11	7	11	278	169	10	1	1	3	2	14	0	0	0	0	496	""
"13"	12	5	10	142	136	2	94	22	10	6	32	5	4	3	9	480	""
"14"	13	20	10	13	267	6	66	5	4	2	3	2	2	1	0	401	""
"15"	14	5	0	164	2	3	6	1	0	0	1	3	3	1	4	193	""
"16"	15	19	3	3	99	4	4	0	1	0	0	2	1	0	0	136	""
"17"	16	11	4	38	64	7	117	13	6	1	0	2	2	0	4	269	""
"18"	17	78	7	33	161	23	6	4	0	0	13	0	0	2	2	329	""
"19"	18	10	5	222	63	12	22	8	5	2	4	6	9	2	10	380	""
"20"	19	7	2	3	374	2	5	0	2	0	0	2	2	1	4	404	""
"21"	20	12	4	0	209	1	0	0	0	0	0	0	1	1	2	230	""
"22"	21	3	2	113	161	2	3	1	12	3	13	3	8	4	9	337	""
"23"	22	7	2	99	177	3	13	6	1	0	1	1	2	1	1	314	""
"24"	23	3	1	209	165	5	74	23	3	1	4	0	4	2	1	495	""
"25"	24	13	18	60	199	30	47	10	5	3	15	6	5	6	10	427	""
"26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"27"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"28"	25	10	33	112	99	5	41	10	6	31	10	1	2	6	7	373	""
"29"	26	4	102	10	164	10	11	11	5	2	7	6	8	2	8	350	""
"30"	27	4	1	12	211	3	7	1	1	0	0	3	0	0	2	245	""
"31"	28	31	10	82	134	41	73	15	5	5	3	10	14	4	13	440	""
"32"	29	6	100	104	47	3	14	1	0	1	16	3	3	0	4	302	""
"33"	30	3	24	82	57	4	102	7	5	2	2	1	1	1	4	295	""
"34"	31	4	14	75	166	8	12	20	8	5	7	12	3	3	21	358	""
"35"	32	10	3	155	266	11	8	6	4	3	9	6	4	4	10	499	""
"36"	33	9	4	181	211	4	59	14	2	5	8	4	4	6	16	527	""
"37"	34	4	89	56	120	2	66	7	3	7	2	4	21	1	15	397	""
"38"	35	13	19	101	239	13	61	13	6	5	9	6	3	2	4	494	""
"39"	36	1	1	34	478	13	1	1	4	0	4	5	2	1	8	553	""
"40"	37	3	38	46	435	7	7	5	5	2	4	5	2	2	4	565	""
"41"	38	6	30	167	348	8	5	2	10	2	11	10	13	6	16	634	""
"42"	39	81	0	5	45	5	0	1	0	0	0	0	0	0	0	137	""
"43"	40	2	16	69	222	6	21	5	10	0	4	7	5	4	15	386	""
"44"	41	11	154	7	165	4	0	1	2	1	5	2	1	3	10	366	""
"45"	42	11	31	107	198	19	2	11	4	5	5	7	1	6	10	417	""
"46"	43	11	79	11	173	7	14	2	2	0	0	1	1	3	4	308	""
"47"	44	2	1	87	130	2	6	4	4	1	3	5	4	3	7	259	""
"48"	45	120	12	35	70	5	64	8	4	8	1	0	5	4	12	348	""
"49"	46	13	177	114	131	6	10	6	7	5	2	6	9	7	25	518	""
"50"	47	45	24	62	38	8	2	2	1	0	0	0	1	0	2	185	""
"51"	48	37	4	13	141	16	2	4	1	1	1	3	1	1	1	226	""
"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"53"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"54"	49	19	0	40	145	5	1	2	2	0	4	2	2	0	0	222	""
"55"	50	2	2	10	304	32	3	3	3	1	5	3	1	0	8	377	""
"56"	51	5	6	358	30	3	3	0	0	1	3	0	1	2	2	414	""
"57"	52	4	5	232	132	6	3	4	6	2	5	10	12	6	24	451	""
"58"	53	12	8	10	200	23	0	4	6	2	3	2	2	0	9	281	""
"59"	54	5	5	109	406	14	1	4	8	1	2	4	1	3	7	570	""
"60"	55	23	21	77	386	10	6	11	8	0	2	3	2	2	8	559	""
"61"	56	1	2	129	43	3	5	3	1	3	24	1	1	2	3	221	""
"62"	57	8	37	27	495	20	7	7	6	2	6	11	13	5	29	673	""
"63"	58	9	6	101	194	42	9	3	5	1	15	5	2	1	3	396	""
"64"	59	1	4	83	161	2	60	12	10	2	6	1	3	1	4	350	""
"65"	60	5	9	62	174	4	18	10	8	1	6	2	2	4	8	313	""
"66"	61	10	11	117	197	5	39	13	4	10	2	6	8	7	13	442	""
"67"	62	2	2	27	188	8	43	12	6	3	8	6	4	5	8	322	""
"68"	63	4	11	116	194	5	23	13	16	7	4	10	14	8	30	455	""
"69"	64	2	34	72	150	15	40	9	4	3	11	5	9	3	16	373	""
"70"	65	10	3	276	100	7	5	2	12	0	20	3	12	9	17	476	""
"71"	66	14	5	353	69	15	18	9	4	5	23	4	5	5	9	538	""
"72"	67	87	7	143	132	7	3	1	0	0	10	2	2	0	3	397	""
"73"	68	3	56	102	263	15	8	8	15	3	7	4	4	3	6	497	""
"74"	69	121	33	27	380	5	8	5	5	2	1	1	3	3	7	601	""
"75"	70	4	2	141	100	11	7	3	8	4	15	2	5	7	6	315	""
"76"	71	40	34	56	247	5	9	5	6	6	6	6	3	3	18	444	""
"77"	72	9	7	112	98	5	15	1	4	1	5	12	8	6	3	286	""
"78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"79"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"80"	73	19	6	349	29	6	2	1	2	3	63	2	10	5	3	500	""
"81"	74	17	9	82	387	14	3	12	12	8	7	20	12	13	22	618	""
"82"	75	84	33	44	385	10	9	5	5	4	9	3	6	0	9	606	""
"83"	76	21	15	75	478	5	11	14	7	43	2	11	3	12	17	714	""
"84"	77	20	1	170	36	2	0	6	1	1	12	1	1	2	6	259	""
"85"	78	11	7	184	142	7	11	2	11	4	10	5	4	4	14	416	""
"86"	79	5	20	10	263	14	2	6	14	13	7	2	6	6	2	370	""
"87"	80	2	58	8	178	3	104	20	2	6	6	5	6	3	21	422	""
"88"	81	3	9	347	185	13	9	8	2	2	9	5	15	6	11	624	""
"89"	82	15	50	148	209	14	40	6	15	12	15	23	17	9	26	599	""
"90"	83	23	32	16	279	10	89	20	6	6	3	5	2	3	5	499	""
"91"	84	48	25	61	73	4	41	7	1	1	3	5	2	8	18	297	""
"92"	85	7	2	166	104	17	5	0	3	1	7	9	3	2	8	334	""
"93"	86	13	48	138	161	20	99	19	9	5	5	4	6	7	25	559	""
"94"	87	11	93	29	200	9	77	15	11	5	6	5	2	5	16	484	""
"95"	88	0	0	242	22	0	18	1	0	0	1	0	0	0	0	284	""
"96"	89	19	4	97	151	5	20	2	2	3	8	1	2	0	5	319	""
"97"	90	40	16	53	263	13	5	7	5	5	9	10	3	5	17	451	""
"98"	91	14	6	107	106	5	2	9	4	1	0	1	1	0	2	258	""
"99"	92	139	1	7	71	3	1	1	0	0	2	1	1	0	1	228	""
"100"	93	30	26	263	288	5	18	3	1	1	8	2	1	2	8	656	""
"101"	94	10	25	152	214	8	9	0	0	3	6	5	4	1	7	444	""
"102"	95	5	57	39	114	2	40	7	4	1	3	0	4	5	3	284	""
"103"	96	2	8	149	122	12	3	8	4	1	4	2	8	4	11	338	""
"104"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"105"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"106"	97	16	8	164	88	10	5	4	0	0	1	1	1	1	5	304	""
"107"	98	5	13	54	114	3	12	7	1	1	2	1	1	3	8	225	""
"108"	99	11	31	60	174	9	10	11	12	3	6	6	78	3	23	437	""
"109"	100	9	2	137	290	15	3	0	9	2	2	4	7	2	5	487	""
"110"	101	55	78	220	171	24	3	4	4	1	7	7	6	6	10	596	""
"111"	102	1	0	86	175	6	1	1	3	1	2	1	4	0	4	285	""
"112"	103	3	3	169	246	7	4	1	4	0	8	7	4	7	5	468	""
"113"	104	8	32	136	29	4	9	4	1	0	0	1	1	1	3	229	""
"114"	105	6	2	127	333	19	20	8	9	2	14	18	7	2	12	579	""
"115"	106	7	16	194	29	5	84	8	5	1	1	5	4	4	5	368	""
"116"	107	67	2	129	261	5	5	6	2	1	4	7	4	3	13	509	""
"117"	108	13	30	168	323	18	35	8	5	2	7	21	12	3	23	668	""
"118"	109	16	2	15	79	6	0	5	4	0	0	0	0	0	2	129	""
"119"	110	2	4	422	32	3	1	2	0	0	2	6	1	3	4	482	""
"120"	111	9	12	513	62	1	5	3	1	2	2	0	3	4	5	622	""
"121"	112	14	18	150	154	6	4	1	4	4	2	5	7	17	5	391	""
"122"	113	7	4	248	74	3	2	0	4	8	2	9	7	200	20	588	""
"123"	114	25	1	76	51	1	4	6	1	2	1	4	0	2	9	183	""
"124"	115	16	49	193	172	1	2	6	8	4	7	8	6	4	10	486	""
"125"	116	28	9	5	181	5	2	10	2	4	1	3	3	1	9	263	""
"126"	117	22	11	127	130	5	50	9	3	3	5	1	7	2	2	377	""
"127"	118	11	5	166	262	12	12	5	3	2	3	3	4	3	11	502	""
"128"	119	19	52	144	292	9	21	8	14	0	7	4	7	4	14	595	""
"129"	120	5	4	301	162	4	0	2	3	2	0	1	5	26	12	527	""
"130"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"131"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"132"	121	53	10	147	183	3	6	3	4	2	2	2	7	6	5	433	""
"133"	122	28	53	65	140	9	101	23	6	0	4	3	3	5	18	458	""
"134"	123	66	5	59	125	3	0	2	1	1	2	2	1	3	4	274	""
"135"	124	218	0	34	20	0	0	0	0	0	0	0	0	4	1	277	""
"136"	125	11	12	384	129	3	7	2	3	1	1	0	3	3	3	562	""
"137"	126	11	6	290	166	14	3	4	5	0	5	1	1	0	5	511	""
"138"	127	14	10	23	382	9	4	3	2	0	2	5	3	1	2	460	""
"139"	128	8	35	114	312	9	13	5	3	5	3	5	1	4	13	530	""
"140"	129	106	30	37	298	11	7	8	11	8	2	3	1	3	4	529	""
"141"	130	445	12	16	10	0	0	0	0	2	1	2	0	6	41	535	""
"142"	131	9	52	112	284	23	39	15	13	6	10	10	10	11	16	610	""
"143"	132	38	18	285	83	4	0	5	1	0	12	10	4	2	8	470	""
"144"	133	92	24	152	144	14	7	7	11	5	7	1	7	3	22	496	""
"145"	134	0	28	31	30	1	2	3	4	3	0	3	8	4	11	128	""
"146"	135	79	63	161	115	10	1	2	3	3	3	7	3	7	18	475	""
"147"	136	165	20	12	158	9	0	3	0	1	2	5	3	2	7	387	""
"148"	137	123	87	96	308	18	23	10	8	0	6	4	7	3	22	715	""
"149"	138	29	50	87	169	42	4	10	10	2	8	3	4	3	8	429	""
"150"	139	88	9	37	104	2	3	2	1	1	0	1	5	4	5	262	""
