"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"102&  d qpk; dksV  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"4"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"5"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"6"	"1"	""	"210"	"10"	"81"	"214"	"43"	"2"	"1"	"3"	""	"4"	"9"	"2"	"123"	"6"	"10"	"718"	"0"	"718"
"7"	"2"	""	"194"	"3"	"97"	"21"	"67"	"9"	"0"	"7"	""	"2"	"11"	"2"	"139"	"7"	"21"	"580"	"0"	"580"
"8"	"3"	""	"111"	"0"	"48"	"49"	"8"	"0"	"1"	"4"	""	"1"	"1"	"1"	"19"	"1"	"8"	"252"	"0"	"252"
"9"	"4"	""	"265"	"10"	"153"	"22"	"62"	"7"	"3"	"10"	""	"5"	"34"	"8"	"21"	"14"	"39"	"653"	"0"	"653"
"10"	"5"	""	"208"	"14"	"138"	"19"	"35"	"8"	"3"	"9"	""	"4"	"13"	"17"	"263"	"9"	"26"	"766"	"0"	"766"
"11"	"6"	""	"360"	"10"	"81"	"38"	"15"	"5"	"7"	"13"	""	"7"	"24"	"7"	"54"	"13"	"33"	"667"	"0"	"667"
"12"	"7"	""	"50"	"3"	"211"	"23"	"14"	"3"	"2"	"1"	""	"1"	"1"	"8"	"47"	"5"	"21"	"390"	"0"	"390"
"13"	"7¼d½"	""	"148"	"6"	"144"	"17"	"11"	"5"	"2"	"32"	""	"4"	"14"	"10"	"67"	"7"	"38"	"505"	"0"	"505"
"14"	"8"	""	"112"	"3"	"82"	"11"	"14"	"7"	"10"	"29"	""	"10"	"12"	"15"	"208"	"27"	"57"	"597"	"0"	"597"
"15"	"9"	""	"65"	"9"	"110"	"19"	"9"	"3"	"10"	"102"	""	"4"	"11"	"9"	"72"	"6"	"14"	"443"	"0"	"443"
"16"	"10"	""	"91"	"6"	"122"	"11"	"13"	"3"	"17"	"425"	""	"14"	"22"	"12"	"53"	"12"	"26"	"827"	"0"	"827"
"17"	"11"	""	"192"	"6"	"128"	"13"	"9"	"3"	"5"	"17"	""	"4"	"15"	"3"	"62"	"7"	"11"	"475"	"0"	"475"
"18"	"12"	""	"88"	"3"	"115"	"4"	"3"	"3"	"1"	"5"	""	"2"	"4"	"1"	"54"	"3"	"10"	"296"	"0"	"296"
"19"	"13"	""	"185"	"11"	"124"	"27"	"18"	"4"	"7"	"18"	""	"10"	"10"	"16"	"312"	"20"	"35"	"797"	"0"	"797"
"20"	"; ksx"	""	"2279"	"94"	"1634"	"488"	"321"	"62"	"69"	"675"	""	"72"	"181"	"111"	"1494"	"137"	"349"	"7966"	"0"	"7966"
"21"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"22"	"d qy  ; ksx"	""	"2279"	"94"	"1634"	"488"	"321"	"62"	"69"	"675"	""	"72"	"181"	"111"	"1494"	"137"	"349"	"7966"	"0"	"7966"
"23"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
