"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 133---Samastipur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :133---Samastipur                                                                                                                                                                                                                 No of Voters :211933"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates  Name ----->"	"AKHTARUL ISLAM SAHIN"	"ARUN KUMAR SINGH"	"TARUN KUMAR"	"DINESH KUMAR SHARMA"	"RAMNATH THAKUR"	""	"ISHRAT JAHAN"	""	"UPENDRA SINGH"	""	"KRISHNA GOPAL SHARMA"	""	"DINESH KUMAR RAI"	""	"PRITHWI RAJ BHAGAT"	""	"PRAMILA RAI"	""	"VIRENDRA KUMAR"	""	"JAI SHANKAR RAI"	"TRIBHUWAN SAH"	"SAROJ KUMAR SINHA"	"Total Valid Votes"
"7"	"BOOTH NO ----->"	"1"	"2"	"3"	"4"	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"
"8"	"1"	"61"	"2"	"49"	"4"	"326"	""	"4"	""	"2"	""	"10"	""	"39"	""	"1"	""	"16"	""	"12"	""	"2"	"8"	"8"	"544"
"9"	"2"	"87"	"1"	"41"	"3"	"148"	""	"9"	""	"2"	""	"5"	""	"9"	""	"1"	""	"92"	""	"2"	""	"0"	"1"	"7"	"408"
"10"	"3"	"80"	"3"	"31"	"2"	"237"	""	"3"	""	"4"	""	"2"	""	"28"	""	"1"	""	"10"	""	"6"	""	"0"	"4"	"7"	"418"
"11"	"4"	"321"	"5"	"18"	"5"	"139"	""	"7"	""	"5"	""	"8"	""	"42"	""	"6"	""	"43"	""	"21"	""	"5"	"21"	"43"	"689"
"12"	"5"	"100"	"8"	"152"	"9"	"317"	""	"6"	""	"5"	""	"6"	""	"60"	""	"6"	""	"43"	""	"19"	""	"3"	"7"	"20"	"761"
"13"	"6"	"66"	"4"	"47"	"2"	"193"	""	"1"	""	"6"	""	"2"	""	"45"	""	"2"	""	"13"	""	"9"	""	"3"	"7"	"3"	"403"
"14"	"7"	"173"	"9"	"47"	"8"	"222"	""	"1"	""	"50"	""	"2"	""	"33"	""	"3"	""	"2"	""	"3"	""	"1"	"14"	"6"	"574"
"15"	"8"	"77"	"3"	"158"	"2"	"360"	""	"1"	""	"70"	""	"1"	""	"34"	""	"2"	""	"4"	""	"6"	""	"4"	"6"	"1"	"729"
"16"	"9"	"89"	"8"	"11"	"0"	"138"	""	"1"	""	"1"	""	"2"	""	"30"	""	"1"	""	"5"	""	"0"	""	"1"	"5"	"14"	"306"
"17"	"10"	"204"	"5"	"58"	"4"	"231"	""	"5"	""	"3"	""	"3"	""	"49"	""	"11"	""	"11"	""	"12"	""	"12"	"27"	"23"	"658"
"18"	"11"	"55"	"3"	"78"	"4"	"143"	""	"1"	""	"1"	""	"2"	""	"16"	""	"1"	""	"7"	""	"3"	""	"3"	"3"	"7"	"327"
"19"	"12"	"178"	"6"	"104"	"9"	"320"	""	"8"	""	"1"	""	"6"	""	"56"	""	"5"	""	"24"	""	"10"	""	"10"	"10"	"40"	"787"
"20"	"13"	"273"	"13"	"87"	"10"	"339"	""	"8"	""	"3"	""	"1"	""	"58"	""	"4"	""	"34"	""	"16"	""	"6"	"8"	"24"	"884"
"21"	"14"	"138"	"5"	"59"	"13"	"213"	""	"4"	""	"4"	""	"2"	""	"26"	""	"7"	""	"12"	""	"6"	""	"9"	"19"	"25"	"542"
"22"	"14A"	"223"	"2"	"86"	"4"	"61"	""	"3"	""	"2"	""	"0"	""	"8"	""	"4"	""	"7"	""	"7"	""	"4"	"4"	"10"	"425"
"23"	"15"	"294"	"9"	"52"	"7"	"245"	""	"11"	""	"5"	""	"1"	""	"44"	""	"3"	""	"22"	""	"18"	""	"10"	"18"	"30"	"769"
"24"	"16"	"316"	"19"	"51"	"47"	"336"	""	"5"	""	"3"	""	"5"	""	"47"	""	"7"	""	"35"	""	"11"	""	"4"	"21"	"23"	"930"
"25"	"17"	"302"	"8"	"17"	"3"	"112"	""	"5"	""	"2"	""	"1"	""	"12"	""	"5"	""	"16"	""	"3"	""	"4"	"12"	"24"	"526"
"26"	"18"	"266"	"12"	"28"	"5"	"52"	""	"3"	""	"1"	""	"4"	""	"15"	""	"4"	""	"20"	""	"9"	""	"6"	"29"	"31"	"485"
"27"	"19"	"121"	"4"	"22"	"7"	"183"	""	"7"	""	"6"	""	"2"	""	"24"	""	"5"	""	"29"	""	"11"	""	"4"	"7"	"14"	"446"
"28"	"20"	"27"	"2"	"76"	"4"	"266"	""	"7"	""	"0"	""	"2"	""	"28"	""	"1"	""	"34"	""	"3"	""	"0"	"4"	"8"	"462"
"29"	"21"	"43"	"6"	"138"	"10"	"290"	""	"7"	""	"1"	""	"6"	""	"32"	""	"1"	""	"38"	""	"7"	""	"1"	"7"	"3"	"590"
"30"	"22"	"212"	"7"	"9"	"7"	"353"	""	"10"	""	"4"	""	"3"	""	"59"	""	"9"	""	"104"	""	"26"	""	"6"	"13"	"24"	"846"
"31"	"23"	"127"	"2"	"37"	"1"	"270"	""	"8"	""	"1"	""	"0"	""	"41"	""	"3"	""	"27"	""	"10"	""	"0"	"12"	"12"	"551"
"32"	"24"	"61"	"6"	"18"	"1"	"424"	""	"6"	""	"1"	""	"6"	""	"59"	""	"12"	""	"47"	""	"20"	""	"1"	"5"	"21"	"688"
"33"	"25"	"227"	"2"	"61"	"4"	"325"	""	"2"	""	"3"	""	"3"	""	"51"	""	"4"	""	"9"	""	"5"	""	"2"	"5"	"5"	"708"
"34"	"26"	"325"	"11"	"3"	"0"	"24"	""	"0"	""	"0"	""	"0"	""	"5"	""	"3"	""	"5"	""	"1"	""	"1"	"8"	"3"	"389"
"35"	"27"	"204"	"5"	"47"	"3"	"100"	""	"2"	""	"2"	""	"3"	""	"45"	""	"5"	""	"7"	""	"6"	""	"2"	"10"	"23"	"464"
"36"	"28"	"273"	"1"	"41"	"1"	"179"	""	"4"	""	"0"	""	"0"	""	"47"	""	"2"	""	"3"	""	"1"	""	"1"	"4"	"7"	"564"
"37"	"29"	"162"	"1"	"21"	"2"	"126"	""	"1"	""	"1"	""	"1"	""	"44"	""	"3"	""	"7"	""	"5"	""	"3"	"5"	"13"	"395"
"38"	"30"	"299"	"5"	"84"	"4"	"126"	""	"5"	""	"1"	""	"0"	""	"19"	""	"6"	""	"4"	""	"6"	""	"4"	"5"	"8"	"576"
"39"	"30A"	"270"	"2"	"5"	"0"	"18"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	"4"	"6"	"309"
"40"	"31"	"638"	"11"	"28"	"4"	"61"	""	"2"	""	"1"	""	"1"	""	"20"	""	"2"	""	"12"	""	"3"	""	"2"	"8"	"16"	"809"
"41"	"32"	"73"	"1"	"28"	"2"	"210"	""	"2"	""	"0"	""	"10"	""	"32"	""	"2"	""	"5"	""	"0"	""	"2"	"5"	"4"	"376"
"42"	"33"	"265"	"13"	"34"	"3"	"134"	""	"5"	""	"5"	""	"2"	""	"32"	""	"1"	""	"2"	""	"4"	""	"4"	"13"	"8"	"525"
