"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"
"1"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 117 --- Marhaura  CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency : 117 Marhaura                                                                                                                                                                                                                                                               No. of Voters: 187178"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ISHRAR AHMAD KHAN JITENDRA KUMAR RAI
LAL BABU RAY
SHAFI AHMAD
SHASHI SHEKHAR AJAY KUMAR RAY AYUB MIYAN KHURSHID ALAM NAGENDRA RAI
NAGESHWAR PD. YADAV ANITA NAVEEN
ANIL PRASAD
ABDUL HAQUE ARUN SINGH
UMESH SINGH USHA DEVI KAMAL KHAN KAMESHWAR RAI JAI RAM RAI
JUGUNU PRASAD
NILESH KR. SINGH
MADAN SINGH MAHMMAD ISA LAXMAN PRASAD YADAV LAL BABU ROY
BIRENDRA KUMAR YADAV SHOBHA DEVI
SHYAM PRAVESH SINGH SATYENDRA PRASAD SINGH
TOTAL VALID VOTES
NO. OF REJECTED VOTES TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOOTH  BOOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"_NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"_EXT        1           2            3           4         5        6        7        8        9        10        11      12     13      14        15      16      17      18      19        20        21      22     23     24     25     26      27      28      29     TOTAL   TOTAL    TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"13"	""	"85"	""	""	"68"	""	"3"	""	"3"	""	"3"	"3"	"1"	""	"1"	""	"9"	"119"	""	"2"	""	"5"	"19"	"5"	""	"4"	""	"13"	""	"5"	"15"	""	"8"	""	"11"	""	"4"	""	"6"	"1"	"9"	""	"3"	"47"	""	"0"	"3"	""	"468"	""	"0"	""	""	""	""	""
"19"	"27"	""	"52"	""	""	"69"	""	"30"	""	"2"	""	"2"	"2"	"3"	""	"8"	""	"4"	"47"	""	"2"	""	"1"	"8"	"9"	""	"2"	""	"7"	""	"2"	"3"	""	"1"	""	"42"	""	"4"	""	"2"	"0"	"3"	""	"2"	"189"	""	"4"	"6"	""	"533"	""	"0"	""	""	""	""	""
"20"	"32"	""	"75"	""	""	"30"	""	"7"	""	"2"	""	"3"	"1"	"3"	""	"7"	""	"3"	"46"	""	"7"	""	"5"	"20"	"3"	""	"4"	""	"14"	""	"3"	"76"	""	"6"	""	"7"	""	"2"	""	"4"	"3"	"2"	""	"4"	"41"	""	"5"	"9"	""	"424"	""	"0"	""	"424"	""	""	""
"21"	"8"	""	"122"	""	""	"23"	""	"3"	""	"0"	""	"2"	"1"	"2"	""	"2"	""	"1"	"14"	""	"1"	""	"1"	"3"	"2"	""	"2"	""	"6"	""	"8"	"62"	""	"3"	""	"12"	""	"2"	""	"1"	"3"	"0"	""	"5"	"39"	""	"7"	"9"	""	"344"	""	"0"	""	"344"	""	""	""
"22"	"45"	""	"59"	""	""	"58"	""	"7"	""	"2"	""	"2"	"0"	"1"	""	"1"	""	"3"	"11"	""	"3"	""	"5"	"8"	"1"	""	"3"	""	"8"	""	"7"	"112"	""	"5"	""	"5"	""	"3"	""	"2"	"3"	"4"	""	"4"	"23"	""	"2"	"5"	""	"392"	""	"0"	""	"392"	""	""	""
"23"	"70"	""	"36"	""	""	"19"	""	"6"	""	"2"	""	"1"	"1"	"1"	""	"3"	""	"0"	"5"	""	"1"	""	"20"	"4"	"2"	""	"4"	""	"6"	""	"3"	"151"	""	"4"	""	"3"	""	"0"	""	"0"	"0"	"0"	""	"1"	"8"	""	"1"	"3"	""	"355"	""	"0"	""	"355"	""	""	""
"24"	"61"	""	"100"	""	""	"22"	""	"3"	""	"4"	""	"3"	"1"	"3"	""	"6"	""	"3"	"48"	""	"3"	""	"4"	"9"	"5"	""	"5"	""	"23"	""	"11"	"161"	""	"8"	""	"11"	""	"10"	""	"12"	"7"	"7"	""	"15"	"22"	""	"4"	"25"	""	"596"	""	"0"	""	"596"	""	""	""
"25"	"26"	""	"231"	""	""	"86"	""	"5"	""	"2"	""	"0"	"0"	"0"	""	"0"	""	"2"	"62"	""	"2"	""	"1"	"56"	"21"	""	"5"	""	"1"	""	"2"	"32"	""	"1"	""	"4"	""	"5"	""	"1"	"3"	"3"	""	"6"	"58"	""	"1"	"8"	""	"624"	""	"0"	""	"624"	""	""	""
"26"	"96"	""	"22"	""	""	"69"	""	"8"	""	"0"	""	"2"	"0"	"1"	""	"4"	""	"0"	"6"	""	"4"	""	"2"	"115"	"13"	""	"1"	""	"2"	""	"2"	"5"	""	"4"	""	"1"	""	"1"	""	"1"	"4"	"4"	""	"4"	"2"	""	"1"	"4"	""	"378"	""	"0"	""	"378"	""	""	""
"27"	"98"	""	"20"	""	""	"90"	""	"11"	""	"2"	""	"4"	"3"	"1"	""	"3"	""	"4"	"21"	""	"4"	""	"3"	"88"	"33"	""	"3"	""	"4"	""	"0"	"6"	""	"2"	""	"5"	""	"4"	""	"0"	"1"	"0"	""	"1"	"3"	""	"0"	"5"	""	"419"	""	"0"	""	"419"	""	""	""
"28"	"0"	""	"200"	""	""	"14"	""	"0"	""	"0"	""	"1"	"0"	"0"	""	"0"	""	"4"	"0"	""	"0"	""	"0"	"29"	"0"	""	"0"	""	"0"	""	"0"	"1"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	"0"	""	"0"	"0"	""	"249"	""	"0"	""	"249"	""	""	""
"29"	"15"	""	"12"	""	""	"3"	""	"0"	""	"1"	""	"0"	"0"	"0"	""	"0"	""	"0"	"3"	""	"1"	""	"1"	"213"	"0"	""	"1"	""	"3"	""	"1"	"0"	""	"0"	""	"1"	""	"0"	""	"0"	"1"	"0"	""	"0"	"0"	""	"0"	"3"	""	"259"	""	"0"	""	"259"	""	""	""
"30"	"11"	""	"373"	""	""	"112"	""	"9"	""	"2"	""	"0"	"0"	"0"	""	"1"	""	"1"	"0"	""	"0"	""	"0"	"41"	"11"	""	"0"	""	"2"	""	"2"	"4"	""	"0"	""	"1"	""	"1"	""	"1"	"1"	"2"	""	"1"	"15"	""	"2"	"0"	""	"593"	""	"0"	""	"593"	""	""	""
"31"	"16"	""	"249"	""	""	"90"	""	"10"	""	"1"	""	"4"	"3"	"8"	""	"6"	""	"5"	"6"	""	"3"	""	"1"	"18"	"15"	""	"3"	""	"8"	""	"5"	"2"	""	"3"	""	"28"	""	"2"	""	"1"	"2"	"1"	""	"0"	"6"	""	"3"	"4"	""	"503"	""	"0"	""	"503"	""	""	""
"32"	"518"	""	"1636"	""	""	"753"	""	"102"	""	"23"	""	"27"	"15"	"24"	""	"42"	""	"39"	"388"	""	"33"	""	"49"	"631"	"120"	""	"37"	""	"97"	""	"51"	"630"	""	"45"	""	"131"	""	"38"	""	"31"	"29"	"35"	""	"46"	"453"	""	"30"	"84"	""	"6137"	""	"0"	""	"6137"	""	""	""
"33"	"19"	""	"265"	""	""	"35"	""	"3"	""	"2"	""	"1"	"1"	"2"	""	"0"	""	"1"	"0"	""	"4"	""	"1"	"14"	"1"	""	"0"	""	"6"	""	"5"	"17"	""	"9"	""	"20"	""	"4"	""	"0"	"2"	"1"	""	"2"	"2"	""	"6"	"9"	""	"432"	""	"0"	""	"432"	""	""	""
"34"	"9"	""	"179"	""	""	"65"	""	"7"	""	"1"	""	"2"	"0"	"0"	""	"1"	""	"1"	"7"	""	"0"	""	"2"	"11"	"2"	""	"3"	""	"7"	""	"0"	"21"	""	"3"	""	"5"	""	"0"	""	"1"	"2"	"3"	""	"1"	"4"	""	"4"	"5"	""	"346"	""	"0"	""	"346"	""	""	""
"35"	"95"	""	"184"	""	""	"70"	""	"2"	""	"1"	""	"0"	"0"	"0"	""	"3"	""	"0"	"4"	""	"3"	""	"1"	"11"	"3"	""	"3"	""	"2"	""	"6"	"4"	""	"2"	""	"12"	""	"2"	""	"1"	"1"	"1"	""	"1"	"2"	""	"1"	"1"	""	"416"	""	"0"	""	"416"	""	""	""
