"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	""	""	"vkfny  gl u vkt kn"	"ekfud  panz j k;"	"eks0 ' kkSdr  gql Su"	"eks0 fl fíd"	"gchcwj  j geku"	"mi sUnz egr ks"	"fnyhi  dqekj  j k;"	"i zse dqekj  j k;"	"egcwc vkye"	"' kkg vkye"	"l quhy  pkS/kj h"	"[ okt k ' kkghn"	"nqy ky  pUnz xksLokeh"	"eks0 ' kdhy"	"' kkghu f' kj hu vkt kn"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"2"	"1"	"1"	"6"	"1"	"5"	"20"	"75"	"5"	"7"	"23"	"183"	"12"	"32"	"19"	"450"	"13"	"9"	"23"	"883"	"0"	"883"	"0"
"3"	"2"	"2"	"21"	"5"	"6"	"3"	"119"	"8"	"6"	"5"	"69"	"4"	"15"	"49"	"253"	"6"	"0"	"6"	"575"	"0"	"575"	"0"
"4"	"3"	"3"	"45"	"2"	"3"	"6"	"103"	"5"	"5"	"13"	"177"	"8"	"11"	"8"	"147"	"1"	"1"	"8"	"543"	"0"	"543"	"0"
"5"	"4"	"4"	"287"	"14"	"9"	"7"	"95"	"6"	"4"	"5"	"15"	"3"	"7"	"5"	"60"	"0"	"1"	"17"	"535"	"0"	"535"	"0"
"6"	"5"	"5"	"169"	"5"	"9"	"6"	"16"	"17"	"2"	"6"	"34"	"1"	"1"	"71"	"42"	"1"	"2"	"7"	"389"	"0"	"389"	"0"
"7"	"6"	"6"	"59"	"6"	"9"	"7"	"17"	"10"	"2"	"5"	"8"	"5"	"44"	"29"	"391"	"8"	"2"	"15"	"617"	"0"	"617"	"0"
"8"	"7"	"7"	"409"	"10"	"7"	"5"	"4"	"10"	"2"	"4"	"29"	"4"	"12"	"14"	"63"	"4"	"6"	"26"	"609"	"0"	"609"	"0"
"9"	"8"	"8"	"213"	"8"	"12"	"16"	"42"	"13"	"4"	"9"	"122"	"4"	"9"	"29"	"153"	"3"	"3"	"9"	"649"	"0"	"649"	"0"
"10"	"9"	"9"	"13"	"1"	"14"	"20"	"8"	"4"	"4"	"10"	"19"	"8"	"13"	"13"	"492"	"8"	"5"	"22"	"654"	"0"	"654"	"0"
"11"	"10"	"10"	"59"	"4"	"8"	"46"	"36"	"3"	"5"	"20"	"151"	"6"	"2"	"8"	"78"	"9"	"3"	"21"	"459"	"0"	"459"	"0"
"12"	"11"	"11"	"6"	"1"	"1"	"62"	"14"	"5"	"1"	"4"	"82"	"4"	"12"	"5"	"152"	"3"	"4"	"4"	"360"	"0"	"360"	"0"
