"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"AJIT KUMAR JHA"	"KAMALESH KUMAR SINGH"	"PRATIMA DEVI"	"SHATRUGHNA SAHU"	"SHARFUDDIN"	"GAGANDEO RAM"	"JAY PRAKASH SHARMA"	"MD. ZULFAQAR ANWAR"	"MD. NASRUDDIN ANSARI"	"RAJIV KUMAR SINGH"	"RAJESH KUMAR SINGH"	"SANJAY KUMAR SINGH"	"SANJAY PRASAD"	"SURESH KUMAR SINGH"	"MD. HABIBULAH"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"3"	"1"	"94"	"14"	"90"	"3"	"163"	"7"	"3"	"2"	"4"	"10"	"10"	"7"	"12"	"8"	"20"	"447"	"0"	"447"	""
"4"	"2"	"132"	"9"	"29"	"4"	"239"	"7"	"0"	"2"	"4"	"5"	"22"	"4"	"2"	"6"	"15"	"480"	"0"	"480"	""
"5"	"3"	"109"	"8"	"26"	"4"	"290"	"9"	"1"	"3"	"1"	"14"	"5"	"4"	"3"	"6"	"11"	"494"	"0"	"494"	""
"6"	"4"	"25"	"4"	"114"	"2"	"126"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"1"	"2"	"281"	"0"	"281"	""
"7"	"5"	"100"	"31"	"188"	"8"	"240"	"11"	"6"	"1"	"4"	"7"	"13"	"6"	"11"	"9"	"14"	"649"	"0"	"649"	""
"8"	"6"	"14"	"1"	"81"	"3"	"44"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"2"	"151"	"0"	"151"	""
"9"	"7"	"120"	"22"	"106"	"8"	"303"	"7"	"4"	"5"	"2"	"8"	"5"	"1"	"4"	"2"	"4"	"601"	"0"	"601"	""
"10"	"8"	"67"	"7"	"91"	"1"	"67"	"4"	"3"	"2"	"0"	"3"	"5"	"5"	"4"	"2"	"4"	"265"	"0"	"265"	""
