"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 227-IMAMGANJ  CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :  227 - IMAMGANJ"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"7"	"1"	""	"10"	"3"	"241"	"9"	"3"	"1"	"5"	"6"	"5"	"6"	"289"
"8"	"2"	""	"42"	"4"	"161"	"13"	"1"	"3"	"13"	"12"	"7"	"14"	"270"
"9"	"3"	""	"23"	"5"	"196"	"13"	"4"	"5"	"4"	"4"	"1"	"3"	"258"
"10"	"4"	""	"82"	"23"	"272"	"22"	"11"	"6"	"9"	"10"	"2"	"9"	"446"
"11"	"5"	""	"54"	"15"	"274"	"18"	"17"	"9"	"12"	"9"	"10"	"7"	"425"
"12"	"6"	""	"97"	"4"	"212"	"10"	"2"	"4"	"6"	"6"	"5"	"6"	"352"
"13"	"7"	""	"14"	"4"	"304"	"11"	"2"	"1"	"3"	"5"	"2"	"12"	"358"
"14"	"8"	""	"60"	"7"	"211"	"28"	"3"	"2"	"4"	"1"	"6"	"6"	"328"
"15"	"9"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
