"P.S."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total"
"1"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"2"	"1"	"12"	"34"	"5"	"302"	"6"	"6"	"3"	"3"	"2"	"4"	"30"	"6"	"11"	"12"	"436"
"3"	"2"	"3"	"185"	"13"	"389"	"5"	"1"	"4"	"1"	"1"	"5"	"13"	"5"	"5"	"11"	"641"
"4"	"3"	"56"	"95"	"4"	"356"	"14"	"0"	"0"	"1"	"1"	"0"	"13"	"5"	"5"	"11"	"561"
"5"	"4"	"19"	"98"	"6"	"114"	"5"	"0"	"1"	"1"	"1"	"1"	"4"	"4"	"1"	"5"	"260"
"6"	"5"	"13"	"171"	"11"	"190"	"5"	"0"	"2"	"1"	"2"	"5"	"13"	"6"	"12"	"30"	"461"
"7"	"6"	"71"	"47"	"4"	"310"	"4"	"3"	"15"	"1"	"2"	"2"	"7"	"4"	"7"	"10"	"487"
"8"	"7"	"5"	"198"	"7"	"132"	"4"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"5"	"9"	"364"
"9"	"8"	"6"	"107"	"3"	"301"	"7"	"0"	"1"	"0"	"0"	"2"	"6"	"1"	"1"	"8"	"443"
"10"	"9"	"33"	"175"	"9"	"183"	"6"	"1"	"3"	"3"	"1"	"2"	"2"	"3"	"6"	"8"	"435"
"11"	"10"	"7"	"407"	"6"	"79"	"3"	"0"	"1"	"0"	"1"	"2"	"4"	"4"	"16"	"26"	"556"
"12"	"11"	"10"	"102"	"7"	"459"	"10"	"3"	"3"	"2"	"4"	"8"	"23"	"9"	"14"	"31"	"685"
"13"	"12"	"17"	"208"	"5"	"385"	"14"	"0"	"5"	"0"	"4"	"3"	"18"	"5"	"17"	"33"	"714"
"14"	"13"	"2"	"7"	"1"	"170"	"2"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"4"	"4"	"194"
"15"	"14"	"21"	"97"	"2"	"260"	"11"	"4"	"4"	"5"	"7"	"8"	"38"	"10"	"14"	"37"	"518"
"16"	"15"	"2"	"103"	"6"	"250"	"7"	"0"	"8"	"0"	"1"	"2"	"5"	"3"	"8"	"7"	"402"
"17"	"16"	"16"	"258"	"6"	"187"	"5"	"3"	"10"	"1"	"2"	"5"	"11"	"1"	"8"	"13"	"526"
"18"	"17"	"7"	"30"	"7"	"236"	"12"	"7"	"8"	"6"	"7"	"7"	"15"	"7"	"8"	"12"	"369"
"19"	"18"	"2"	"94"	"6"	"205"	"3"	"1"	"0"	"1"	"1"	"0"	"8"	"1"	"3"	"8"	"333"
"20"	"19"	"12"	"101"	"6"	"297"	"9"	"1"	"4"	"0"	"1"	"0"	"12"	"3"	"4"	"11"	"461"
"21"	"20"	"5"	"123"	"6"	"219"	"5"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"3"	"3"	"370"
"22"	"21"	"3"	"110"	"3"	"204"	"9"	"1"	"0"	"1"	"1"	"4"	"8"	"3"	"8"	"10"	"365"
"23"	"22"	"27"	"37"	"2"	"161"	"6"	"4"	"2"	"2"	"0"	"3"	"9"	"3"	"4"	"11"	"271"
"24"	"23"	"1"	"121"	"9"	"131"	"5"	"0"	"2"	"0"	"0"	"2"	"15"	"3"	"4"	"11"	"304"
"25"	"24"	"2"	"243"	"6"	"90"	"6"	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"3"	"5"	"361"
"26"	"25"	"5"	"21"	"3"	"222"	"8"	"0"	"0"	"4"	"2"	"4"	"22"	"2"	"3"	"11"	"307"
"27"	"26"	"2"	"38"	"5"	"212"	"6"	"1"	"4"	"1"	"1"	"3"	"12"	"1"	"9"	"12"	"307"
"28"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"29"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"30"	"27"	"31"	"148"	"4"	"247"	"10"	"2"	"2"	"1"	"3"	"6"	"27"	"6"	"24"	"29"	"540"
