"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"3"	"1"	"7"	"80"	"14"	"189"	"129"	"1"	"2"	"3"	"2"	"4"	"1"	"18"	"7"	"4"	"3"	"15"	"0"	"20"	"4"	"16"	"1"	"3"	"523"	"0"	"523"	""
"4"	"2"	"7"	"1"	"5"	"3"	"191"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"217"	"0"	"217"	""
"5"	"3"	"31"	"112"	"11"	"94"	"430"	"7"	"3"	"5"	"3"	"1"	"2"	"43"	"4"	"1"	"6"	"8"	"7"	"4"	"7"	"5"	"4"	"6"	"794"	"0"	"794"	""
"6"	"4"	"16"	"66"	"11"	"30"	"235"	"2"	"3"	"1"	"2"	"0"	"0"	"7"	"4"	"2"	"2"	"12"	"3"	"14"	"1"	"0"	"2"	"1"	"414"	"0"	"414"	""
"7"	"5"	"12"	"194"	"13"	"4"	"71"	"1"	"5"	"4"	"3"	"3"	"5"	"67"	"30"	"7"	"3"	"18"	"1"	"2"	"1"	"0"	"0"	"1"	"445"	"0"	"445"	""
"8"	"6"	"39"	"78"	"8"	"9"	"174"	"2"	"1"	"1"	"4"	"3"	"4"	"16"	"76"	"5"	"1"	"8"	"4"	"5"	"1"	"1"	"4"	"6"	"450"	"0"	"450"	""
"9"	"7"	"2"	"111"	"9"	"7"	"118"	"3"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"6"	"1"	"6"	"4"	"4"	"0"	"0"	"0"	"0"	"276"	"0"	"276"	""
"10"	"8"	"11"	"204"	"12"	"17"	"130"	"3"	"3"	"3"	"4"	"5"	"1"	"44"	"45"	"4"	"5"	"6"	"6"	"32"	"0"	"0"	"4"	"1"	"540"	"0"	"540"	""
"11"	"9"	"6"	"79"	"8"	"23"	"170"	"3"	"4"	"2"	"11"	"2"	"5"	"4"	"4"	"1"	"2"	"9"	"54"	"7"	"0"	"0"	"1"	"3"	"398"	"0"	"398"	""
"12"	"10"	"5"	"191"	"33"	"166"	"146"	"7"	"2"	"0"	"2"	"2"	"0"	"10"	"3"	"2"	"1"	"1"	"2"	"40"	"0"	"0"	"2"	"0"	"615"	"0"	"615"	""
