"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"101&  xksi kxat   fo/kku  l Hkk fuokZpu {ks= l s fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"4"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"6"	"1"	"18"	"143"	"20"	"155"	"11"	"2"	"2"	"5"	"2"	"4"	"7"	"8"	"9"	"386"	"0"	"386"	""
"7"	"2"	"14"	"168"	"17"	"226"	"13"	"6"	"4"	"5"	"11"	"22"	"10"	"28"	"29"	"553"	"0"	"553"	""
"8"	"3"	"23"	"67"	"26"	"396"	"18"	"6"	"4"	"9"	"5"	"6"	"7"	"8"	"7"	"582"	"0"	"582"	""
"9"	"4"	"38"	"162"	"16"	"124"	"16"	"6"	"1"	"3"	"3"	"2"	"7"	"3"	"5"	"386"	"0"	"386"	""
"10"	"5"	"34"	"307"	"17"	"74"	"2"	"3"	"8"	"5"	"3"	"5"	"4"	"15"	"4"	"481"	"0"	"481"	""
"11"	"6"	"8"	"34"	"9"	"99"	"7"	"0"	"1"	"2"	"0"	"2"	"1"	"1"	"3"	"167"	"0"	"167"	""
"12"	"7"	"8"	"101"	"7"	"117"	"10"	"5"	"2"	"2"	"8"	"3"	"1"	"4"	"5"	"273"	"0"	"273"	""
"13"	"8"	"63"	"146"	"8"	"90"	"5"	"3"	"3"	"5"	"10"	"1"	"9"	"18"	"7"	"368"	"0"	"368"	""
"14"	"9"	"6"	"30"	"2"	"83"	"3"	"4"	"1"	"1"	"6"	"1"	"3"	"1"	"3"	"144"	"0"	"144"	""
"15"	"10"	"22"	"125"	"7"	"181"	"8"	"8"	"1"	"9"	"16"	"8"	"9"	"15"	"9"	"418"	"0"	"418"	""
"16"	"11"	"20"	"130"	"9"	"59"	"10"	"1"	"1"	"2"	"4"	"1"	"2"	"4"	"4"	"247"	"0"	"247"	""
"17"	"12"	"52"	"124"	"6"	"22"	"4"	"6"	"3"	"6"	"1"	"2"	"0"	"11"	"9"	"246"	"0"	"246"	""
"18"	"13"	"12"	"176"	"13"	"244"	"8"	"5"	"4"	"3"	"7"	"7"	"2"	"11"	"9"	"501"	"0"	"501"	""
