"er.nku.dsUnz.l.a....k"	"vo.kfogkj.h.pkS.kj.h"	"O..kl.nso.i.zl.kn"	"X..kkghn.gql.Su"	"JhdkUr..t.h"	"l.at.ho.dqekj"	"bt.gk..y..gd"	"mi.sUnz.fr.okj.h"	"uSeqí.hu.val.kj.h"	"fo..odekZ.i.zl.kn.pkSgku"	"vt....dqekj"	"vCnqy..fj.t.oku.val.kj.h"	"vfHk..ksd..dqekj"	"vyh.v..r.j"	"t.ykywnhu.vgen"	"t.y.s..oj..Hkxr"	"fnyhi..dqekj"	"uj.s..k.pUn...kno"	"Hkhe.i.zl.kn...kno"	"eal.qj..vkye"	"j.kt...dqekj....kekZ"	"X..kdqUr.yk.nsoh"	"X..kEHkw.i.zl.kn"	"l.axhr.k.fl.Ugk"	"X..kQh..y..gd"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy.l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"2"	1	73	477	15	7	3	2	2	1	2	0	4	1	1	1	3	3	3	3	3	1	0	2	0	0	607	0	607	0
"3"	2	186	250	11	5	1	1	3	29	4	4	1	2	4	6	10	41	10	22	6	7	3	0	6	154	766	0	766	0
"4"	3	222	436	18	8	0	5	4	14	5	4	27	1	1	5	9	4	3	5	3	1	1	1	0	0	777	0	777	0
"5"	4	201	122	7	0	0	0	1	15	3	0	3	1	0	2	3	1	2	2	1	1	1	0	3	6	375	0	375	0
"6"	5	187	113	12	2	0	3	0	2	3	1	0	2	1	0	2	0	8	11	2	0	0	0	1	3	353	0	353	0
"7"	NA	251	36	6	1	0	0	0	9	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	308	0	308	0
"8"	6	221	344	10	4	0	1	1	8	6	2	2	0	0	3	9	3	12	9	10	3	9	6	7	3	673	0	673	0
"9"	NA	1341	1778	79	27	4	12	11	78	23	11	38	8	7	17	37	52	38	52	25	13	14	9	17	168	3859	0	3859	0
"10"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11"	NA	1341	1778	79	27	4	12	11	78	23	11	38	8	7	17	37	52	38	52	25	13	14	9	17	168	3859	0	3859	0
"12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
