"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X243458.102.243560.35.Bisfi"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"4"	"1"	"18"	"139"	"11"	"13"	"234"	"10"	"5"	"17"	"3"	"4"	"5"	"2"	"2"	"3"	"10"	"476"	""	"476"	""
"5"	"2"	"8"	"49"	"14"	"1"	"247"	"9"	"2"	"4"	"1"	"2"	"2"	"0"	"2"	"2"	"19"	"362"	""	"362"	""
"6"	"3"	"24"	"94"	"5"	"4"	"302"	"12"	"2"	"5"	"2"	"0"	"1"	"7"	"0"	"1"	"17"	"476"	""	"476"	""
"7"	"4"	"31"	"229"	"9"	"1"	"140"	"4"	"1"	"5"	"5"	"3"	"2"	"4"	"2"	"2"	"5"	"443"	""	"443"	""
"8"	"5"	"12"	"203"	"6"	"2"	"81"	"6"	"4"	"1"	"0"	"2"	"1"	"8"	"1"	"0"	"5"	"332"	""	"332"	""
"9"	"6"	"12"	"47"	"3"	"5"	"274"	"11"	"6"	"4"	"3"	"3"	"1"	"20"	"1"	"5"	"11"	"406"	""	"406"	""
"10"	"7"	"19"	"231"	"1"	"1"	"181"	"2"	"3"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"448"	""	"448"	""
"11"	"8"	"71"	"292"	"6"	"1"	"39"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"5"	"420"	""	"420"	""
"12"	"9"	"18"	"184"	"12"	"1"	"335"	"7"	"8"	"14"	"3"	"11"	"9"	"10"	"1"	"4"	"9"	"626"	""	"626"	""
"13"	"10"	"7"	"21"	"3"	"3"	"489"	"4"	"1"	"5"	"0"	"0"	"4"	"17"	"2"	"1"	"6"	"563"	""	"563"	""
"14"	"11"	"23"	"110"	"10"	"14"	"300"	"11"	"6"	"11"	"3"	"5"	"9"	"44"	"7"	"5"	"9"	"567"	""	"567"	""
"15"	"12"	"17"	"371"	"6"	"5"	"122"	"12"	"4"	"6"	"1"	"5"	"7"	"3"	"0"	"14"	"11"	"584"	""	"584"	""
"16"	"13"	"9"	"265"	"6"	"1"	"182"	"3"	"2"	"8"	"26"	"1"	"4"	"0"	"1"	"0"	"9"	"517"	""	"517"	""
"17"	"14"	"20"	"519"	"7"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"555"	""	"555"	""
"18"	"Total -1"	"289"	"2754"	"99"	"53"	"2930"	"92"	"45"	"85"	"49"	"37"	"46"	"116"	"20"	"39"	"121"	"6775"	"0"	"6775"	"0"
"19"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"23"	"B.F."	"289"	"2754"	"99"	"53"	"2930"	"92"	"45"	"85"	"49"	"37"	"46"	"116"	"20"	"39"	"121"	"6775"	"0"	"6775"	""
"24"	"15"	"8"	"67"	"0"	"3"	"388"	"2"	"3"	"2"	"2"	"5"	"5"	"0"	"1"	"3"	"5"	"494"	""	"494"	""
"25"	"16"	"25"	"350"	"8"	"2"	"96"	"5"	"2"	"2"	"9"	"1"	"3"	"2"	"2"	"2"	"9"	"518"	""	"518"	""
"26"	"17"	"8"	"393"	"10"	"3"	"10"	"0"	"1"	"28"	"3"	"3"	"0"	"1"	"4"	"11"	"14"	"489"	""	"489"	""
"27"	"18"	"38"	"23"	"6"	"5"	"246"	"136"	"7"	"4"	"5"	"5"	"2"	"37"	"2"	"6"	"30"	"552"	""	"552"	""
"28"	"19"	"20"	"55"	"5"	"7"	"82"	"30"	"5"	"2"	"3"	"1"	"1"	"9"	"8"	"6"	"20"	"254"	""	"254"	""
"29"	"20"	"9"	"69"	"12"	"1"	"165"	"25"	"3"	"4"	"3"	"7"	"2"	"13"	"5"	"2"	"31"	"351"	""	"351"	""
"30"	"21"	"20"	"84"	"5"	"2"	"214"	"11"	"5"	"9"	"4"	"7"	"3"	"172"	"0"	"9"	"17"	"562"	""	"562"	""
"31"	"22"	"26"	"156"	"3"	"2"	"152"	"22"	"1"	"5"	"0"	"6"	"3"	"5"	"0"	"3"	"11"	"395"	""	"395"	""
"32"	"23"	"3"	"4"	"1"	"0"	"155"	"183"	"3"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"4"	"360"	""	"360"	""
"33"	"24"	"2"	"12"	"2"	"0"	"63"	"121"	"3"	"2"	"5"	"2"	"3"	"3"	"0"	"0"	"5"	"223"	""	"223"	""
"34"	"25"	"16"	"100"	"7"	"6"	"130"	"9"	"4"	"10"	"1"	"5"	"2"	"24"	"4"	"8"	"20"	"346"	""	"346"	""
"35"	"26"	"28"	"87"	"7"	"7"	"155"	"48"	"3"	"6"	"3"	"1"	"0"	"105"	"6"	"4"	"7"	"467"	""	"467"	""
"36"	"27"	"92"	"344"	"29"	"7"	"25"	"7"	"9"	"5"	"7"	"3"	"2"	"52"	"8"	"15"	"10"	"615"	""	"615"	""
"37"	"28"	"47"	"133"	"0"	"4"	"277"	"15"	"5"	"3"	"2"	"4"	"1"	"47"	"1"	"0"	"4"	"543"	""	"543"	""
"38"	"Total -2"	"342"	"1877"	"95"	"49"	"2158"	"614"	"54"	"83"	"47"	"51"	"28"	"471"	"41"	"72"	"187"	"6169"	"0"	"6169"	"0"
"39"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"41"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"43"	"B.F."	"631"	"4631"	"194"	"102"	"5088"	"706"	"99"	"168"	"96"	"88"	"74"	"587"	"61"	"111"	"308"	"12944"	"0"	"12944"	"0"
"44"	"29"	"58"	"158"	"4"	"8"	"56"	"20"	"3"	"1"	"4"	"4"	"7"	"170"	"4"	"3"	"7"	"507"	""	"507"	""
"45"	"30"	"8"	"200"	"4"	"1"	"136"	"6"	"2"	"7"	"3"	"7"	"5"	"23"	"11"	"17"	"18"	"448"	""	"448"	""
"46"	"31"	"15"	"57"	"1"	"4"	"164"	"9"	"1"	"13"	"2"	"2"	"1"	"11"	"30"	"4"	"4"	"318"	""	"318"	""
"47"	"32"	"20"	"240"	"9"	"3"	"48"	"7"	"1"	"3"	"0"	"5"	"1"	"13"	"9"	"23"	"19"	"401"	""	"401"	""
"48"	"33"	"14"	"165"	"10"	"8"	"211"	"15"	"8"	"10"	"8"	"6"	"14"	"32"	"5"	"10"	"26"	"542"	""	"542"	""
"49"	"34"	"17"	"91"	"4"	"5"	"105"	"113"	"4"	"4"	"2"	"3"	"4"	"32"	"5"	"9"	"30"	"428"	""	"428"	""
