"er.nku.dsUnz.l.a....k"	"t.xekr.ks.nsoh"	"uSeqy..gd..fl.Ì.hdh"	"i.zHkwukFk.fl.ag"	"fot......kadj..nwcs"	"fcuksn.dqekj..fl.ag"	"eksgEen.vl.xj"	"vkse.i.zdk..k...kno"	"vmu.vyh"	"t.kosn.csx"	"i.j.egal...feJk"	"cy.sUnz.dqekj..j.k."	"j.ke.uj.s..k.i.f.Mr"	"fcfi.u.fcgkj.h.fl.ag"	"vfuy....kno"	"mes..k.l.kg"	"doy....kno"	"t....i.zdk..k...kno"	"i.j.es..oj..fl.ag"	"foÿek.i.zl.kn"	"fot....dqekj..fl.ag"	"fczt.s..k.dqekj..j.k."	"l.R..nso.fl.ag"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"2"	1	252	2	30	18	222	9	6	4	12	2	6	15	1	10	6	6	13	16	1	4	5	5	645	NA	NA	NA
"3"	2	291	9	8	23	23	2	5	12	64	4	7	10	5	1	11	19	15	72	7	6	13	7	614	NA	NA	NA
"4"	3	189	24	5	150	28	11	5	7	6	4	6	24	11	6	30	47	15	0	2	8	1	4	583	NA	NA	NA
"5"	4	25	11	91	17	139	3	1	0	2	0	3	1	0	17	3	2	5	3	0	3	4	2	332	NA	NA	NA
"6"	5	176	3	4	53	65	7	3	0	10	6	3	14	2	15	9	17	13	4	4	9	3	5	425	NA	NA	NA
"7"	6	137	4	3	21	34	3	1	1	6	1	0	15	3	2	20	11	30	5	2	13	1	11	324	NA	NA	NA
"8"	NA	83	5	0	0	91	4	2	0	4	2	7	5	2	12	11	10	12	3	5	2	0	6	266	NA	NA	NA
"9"	7	91	5	7	108	30	10	10	14	285	20	5	38	3	4	4	7	20	4	2	12	3	11	693	NA	NA	NA
"10"	NA	1244	63	148	390	632	49	33	38	389	39	37	122	27	67	94	119	123	107	23	57	30	51	3882	0	0	0
"11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"16"	8	42	5	7	12	79	7	15	10	71	4	5	12	4	40	11	6	3	6	5	3	1	5	353	NA	NA	NA
"17"	NA	32	7	97	16	81	2	11	5	15	2	6	8	5	19	49	21	8	12	6	6	0	4	412	NA	NA	NA
"18"	9	25	3	4	332	31	7	2	2	20	3	1	6	4	1	0	5	1	1	2	2	2	0	454	NA	NA	NA
"19"	10	23	1	3	7	145	2	24	1	18	3	2	10	2	53	2	6	3	3	0	2	2	0	312	NA	NA	NA
"20"	11	89	5	2	2	79	5	2	1	6	1	4	4	2	26	7	8	64	3	7	4	3	4	328	NA	NA	NA
"21"	12	114	2	3	7	112	36	3	6	84	5	6	6	0	5	10	17	26	7	2	4	14	14	483	NA	NA	NA
"22"	13	9	24	1	12	162	0	0	0	3	1	2	1	0	0	1	1	15	0	0	1	5	1	239	NA	NA	NA
"23"	14	102	19	1	20	165	4	9	0	1	1	4	3	1	0	8	7	17	9	1	3	4	4	383	NA	NA	NA
"24"	NA	436	66	118	408	854	63	66	25	218	20	30	50	18	144	88	71	137	41	23	25	31	32	2964	0	0	0
"25"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
