"،"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"2"	"1"	"1"	"41"	"361"	"13"	"3"	"4"	"2"	"5"	"0"	"2"	"3"	"10"	"97"	"541"	"0"	"541"	"0"
"3"	"2"	"2"	"28"	"130"	"22"	"4"	"19"	"0"	"1"	"0"	"2"	"7"	"5"	"226"	"444"	"0"	"444"	"0"
"4"	"3"	"3"	"74"	"608"	"152"	"6"	"21"	"7"	"2"	"6"	"7"	"9"	"14"	"77"	"983"	"0"	"983"	"0"
"5"	"4"	"4"	"42"	"544"	"42"	"10"	"60"	"6"	"4"	"5"	"1"	"10"	"7"	"66"	"797"	"0"	"797"	"0"
"6"	"5"	"5"	"46"	"277"	"49"	"147"	"30"	"2"	"0"	"3"	"10"	"4"	"12"	"233"	"813"	"0"	"813"	"0"
"7"	"6"	"6"	"18"	"126"	"16"	"236"	"59"	"3"	"3"	"5"	"2"	"3"	"4"	"15"	"490"	"0"	"490"	"0"
"8"	"7"	"7"	"32"	"350"	"81"	"7"	"90"	"6"	"0"	"5"	"8"	"4"	"8"	"25"	"616"	"0"	"616"	"0"
"9"	"8"	"8"	"40"	"421"	"43"	"142"	"66"	"10"	"5"	"7"	"5"	"4"	"12"	"22"	"777"	"0"	"777"	"0"
"10"	"9"	"9"	"38"	"365"	"27"	"1"	"17"	"5"	"2"	"1"	"2"	"8"	"6"	"35"	"507"	"0"	"507"	"0"
"11"	"10"	"10"	"19"	"331"	"79"	"26"	"48"	"5"	"3"	"5"	"2"	"4"	"10"	"20"	"552"	"0"	"552"	"0"
"12"	"11"	"11"	"51"	"440"	"69"	"53"	"31"	"5"	"5"	"6"	"9"	"4"	"5"	"29"	"707"	"0"	"707"	"0"
"13"	"12"	"12"	"53"	"511"	"53"	"135"	"46"	"7"	"40"	"6"	"8"	"12"	"97"	"43"	"1011"	"0"	"1011"	"0"
"14"	"13"	"13"	"36"	"365"	"312"	"16"	"34"	"3"	"2"	"8"	"18"	"8"	"10"	"32"	"844"	"0"	"844"	"0"
"15"	"14"	"14"	"20"	"232"	"35"	"2"	"47"	"1"	"2"	"0"	"2"	"1"	"5"	"98"	"445"	"0"	"445"	"0"
