"Candidates..Name"	"AMRITA.SINGH"	"MAHACHANDR.A.PRASAD.SINGH"	"RAMESH.KUMAR.SINGH"	"RAJU.KUMAR.SINGH"	"RAM.VICHAR.RAY"	"MRITUNJAY.SUMAN"	"YADAV.LAL.PATEL"	"RUPNATH.RAY"	"UPENDRA.KUMAR.SINGH"	"KEDAR.PRASAD.SINGH"	"GAYA.PASWAN"	"NAND.KISHOR.BHAGAT"	"MD..NABI.HASSAN"	"LALBABU.SINGH"	"VINAY.KUMAR"	"Total"
"1"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"6"	"1"	"7"	"68"	"0"	"348"	"72"	"2"	"7"	"2"	"6"	"1"	"5"	"12"	"2"	"2"	"5"	"539"
"7"	"2"	"6"	"63"	"3"	"246"	"99"	"2"	"7"	"3"	"0"	"5"	"8"	"31"	"14"	"9"	"14"	"510"
"8"	"3"	"12"	"78"	"8"	"190"	"281"	"1"	"18"	"4"	"3"	"5"	"6"	"12"	"2"	"1"	"4"	"625"
"9"	"4"	"6"	"6"	"1"	"89"	"287"	"7"	"3"	"1"	"0"	"0"	"16"	"6"	"2"	"2"	"5"	"431"
"10"	"5"	"0"	"12"	"1"	"137"	"86"	"2"	"0"	"2"	"4"	"3"	"9"	"16"	"6"	"2"	"2"	"282"
"11"	"6"	"0"	"13"	"1"	"139"	"62"	"1"	"4"	"3"	"1"	"0"	"4"	"1"	"0"	"1"	"0"	"230"
"12"	"7"	"3"	"27"	"4"	"237"	"170"	"2"	"1"	"5"	"3"	"6"	"4"	"5"	"2"	"2"	"3"	"474"
"13"	"8"	"5"	"51"	"7"	"290"	"100"	"2"	"0"	"3"	"0"	"0"	"2"	"16"	"7"	"2"	"2"	"487"
"14"	"9"	"5"	"92"	"5"	"414"	"70"	"1"	"4"	"3"	"3"	"1"	"5"	"14"	"4"	"2"	"3"	"626"
"15"	"10"	"1"	"90"	"5"	"365"	"79"	"1"	"0"	"3"	"5"	"0"	"5"	"21"	"5"	"2"	"3"	"585"
"16"	"11"	"7"	"89"	"4"	"439"	"282"	"9"	"5"	"3"	"6"	"2"	"13"	"17"	"9"	"6"	"15"	"906"
"17"	"12"	"3"	"42"	"2"	"145"	"186"	"6"	"8"	"6"	"4"	"7"	"6"	"13"	"5"	"5"	"17"	"455"
"18"	"13"	"9"	"16"	"9"	"289"	"366"	"17"	"7"	"11"	"5"	"7"	"19"	"33"	"13"	"15"	"20"	"836"
"19"	"14"	"13"	"87"	"11"	"237"	"341"	"15"	"11"	"9"	"6"	"6"	"22"	"37"	"21"	"10"	"26"	"852"
"20"	"15"	"9"	"18"	"5"	"317"	"185"	"3"	"3"	"2"	"3"	"2"	"9"	"19"	"8"	"1"	"17"	"601"
"21"	"16"	"5"	"47"	"12"	"336"	"116"	"2"	"3"	"4"	"3"	"6"	"13"	"32"	"12"	"2"	"10"	"603"
"22"	"17"	"9"	"106"	"15"	"146"	"114"	"2"	"5"	"1"	"1"	"2"	"1"	"4"	"3"	"5"	"4"	"418"
"23"	"18"	"11"	"49"	"16"	"197"	"324"	"6"	"7"	"8"	"8"	"8"	"21"	"32"	"9"	"9"	"18"	"723"
