"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 229-BODHGAYA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :  229- BODHGAYA"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"7"	"1"	""	"11"	"87"	"17"	"11"	"363"	"4"	"5"	"9"	"7"	"11"	"525"
"8"	"2"	""	"24"	"231"	"15"	"13"	"152"	"10"	"3"	"8"	"10"	"11"	"477"
"9"	"3"	""	"4"	"128"	"10"	"10"	"115"	"8"	"0"	"5"	"10"	"5"	"295"
"10"	"4"	""	"4"	"9"	"3"	"3"	"182"	"10"	"1"	"2"	"4"	"5"	"223"
"11"	"5"	""	"10"	"64"	"170"	"8"	"160"	"5"	"9"	"7"	"8"	"10"	"451"
"12"	"6"	""	"9"	"216"	"73"	"10"	"67"	"2"	"4"	"7"	"13"	"8"	"409"
"13"	"7"	""	"18"	"233"	"68"	"26"	"204"	"16"	"2"	"11"	"8"	"19"	"605"
"14"	"8"	""	"16"	"176"	"9"	"15"	"277"	"12"	"2"	"9"	"18"	"25"	"559"
"15"	"9"	""	"17"	"173"	"22"	"32"	"393"	"8"	"8"	"15"	"20"	"17"	"705"
"16"	"10"	""	"10"	"256"	"10"	"16"	"451"	"6"	"6"	"11"	"33"	"8"	"807"
"17"	"11"	""	"19"	"201"	"15"	"22"	"264"	"15"	"8"	"11"	"20"	"15"	"590"
"18"	"12"	""	"4"	"79"	"12"	"14"	"115"	"3"	"4"	"7"	"11"	"6"	"255"
"19"	"13"	""	"6"	"66"	"6"	"6"	"166"	"14"	"5"	"12"	"13"	"13"	"307"
"20"	"14"	""	"27"	"205"	"21"	"8"	"373"	"13"	"11"	"16"	"30"	"46"	"750"
"21"	"15"	""	"4"	"131"	"7"	"24"	"225"	"3"	"1"	"3"	"5"	"4"	"407"
"22"	"16"	""	"6"	"117"	"14"	"19"	"205"	"7"	"8"	"12"	"20"	"15"	"423"
"23"	"17"	""	"7"	"240"	"12"	"12"	"189"	"2"	"1"	"4"	"11"	"7"	"485"
"24"	"18"	""	"9"	"154"	"6"	"36"	"245"	"3"	"5"	"7"	"9"	"8"	"482"
"25"	"19"	""	"15"	"327"	"27"	"26"	"212"	"5"	"7"	"18"	"26"	"33"	"696"
"26"	"20"	""	"3"	"132"	"11"	"25"	"265"	"7"	"4"	"10"	"10"	"4"	"471"
"27"	"21"	""	"18"	"219"	"21"	"37"	"289"	"8"	"9"	"7"	"24"	"13"	"645"
"28"	"22"	""	"6"	"418"	"26"	"21"	"284"	"6"	"6"	"9"	"27"	"21"	"824"
"29"	"23"	""	"4"	"182"	"4"	"16"	"217"	"0"	"2"	"3"	"4"	"5"	"437"
"30"	"24"	""	"5"	"246"	"13"	"11"	"183"	"8"	"5"	"8"	"10"	"5"	"494"
"31"	"24"	"A"	"5"	"195"	"21"	"20"	"118"	"4"	"4"	"7"	"11"	"7"	"392"
"32"	"25"	""	"7"	"121"	"11"	"12"	"332"	"12"	"5"	"5"	"9"	"5"	"519"
"33"	"26"	""	"7"	"276"	"10"	"32"	"287"	"5"	"3"	"7"	"15"	"6"	"648"
"34"	"27"	""	"0"	"124"	"8"	"5"	"154"	"2"	"3"	"2"	"5"	"4"	"307"
"35"	"28"	""	"8"	"115"	"5"	"5"	"328"	"2"	"1"	"3"	"3"	"0"	"470"
"36"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"37"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"38"	"29"	""	"8"	"164"	"15"	"13"	"300"	"8"	"1"	"2"	"9"	"7"	"527"
"39"	"30"	""	"4"	"162"	"11"	"13"	"91"	"7"	"1"	"10"	"9"	"9"	"317"
